genes	orthology
YBR117C	Non-Core
YIL150C	Non-Core
YNR001C	Non-Core
YBL068W	Non-Core
YMR253C	Non-Core
YJR025C	Non-Core
YDR110W	Non-Core
YGL033W	Non-Core
YNL101W	Non-Core
YER045C	Non-Core
YNL055C	Non-Core
YNL079C	Non-Core
YML005W	Non-Core
YDL085C-A	Non-Core
YDL200C	Non-Core
YEL039C	Non-Core
YDR356W	Non-Core
YHL018W	Non-Core
YKL132C	Non-Core
YJR066W	Non-Core
YPL089C	Non-Core
YDR441C	Non-Core
YMR018W	Non-Core
YGR004W	Non-Core
YGL229C	Non-Core
YDR314C	Non-Core
YKL026C	Non-Core
YAL029C	Non-Core
YMR192W	Non-Core
YML087C	Non-Core
YLR213C	Non-Core
YKL129C	Non-Core
YPR115W	Non-Core
YLR072W	Non-Core
YOR180C	Non-Core
YOL039W	Non-Core
YMR090W	Non-Core
YGR097W	Non-Core
YMR072W	Non-Core
YLR284C	Non-Core
YML120C	Non-Core
YKL032C	Non-Core
YOL126C	Non-Core
YDL078C	Non-Core
YKL124W	Non-Core
YOL095C	Non-Core
YML072C	Non-Core
YOR219C	Non-Core
YJR106W	Non-Core
YKR014C	Non-Core
YHR049W	Non-Core
YMR085W	Non-Core
YJL078C	Non-Core
YHR110W	Non-Core
YHR091C	Non-Core
YBR219C	Non-Core
YLR048W	Non-Core
YML063W	Non-Core
YDR453C	Non-Core
YOR316C	Non-Core
YGL014W	Non-Core
YNL098C	Non-Core
YPR198W	Non-Core
YPR072W	Non-Core
YLL010C	Non-Core
YLR126C	Non-Core
YIL164C	Non-Core
YDL080C	Non-Core
YOR321W	Non-Core
YKR078W	Non-Core
YJL129C	Non-Core
YLL056C	Non-Core
YDL093W	Non-Core
YLR011W	Non-Core
YDR518W	Non-Core
YNL264C	Non-Core
YBR210W	Non-Core
YMR318C	Non-Core
YER062C	Non-Core
YJL193W	Non-Core
YHL036W	Non-Core
YPL036W	Non-Core
YIL053W	Non-Core
YOR038C	Non-Core
YIL124W	Non-Core
YHR043C	Non-Core
YLR028C	Non-Core
YNR027W	Non-Core
YJL094C	Non-Core
YER072W	Non-Core
YHR044C	Non-Core
YPR120C	Non-Core
YNL323W	Non-Core
YPL019C	Non-Core
YCR004C	Non-Core
YIL162W	Non-Core
YGR109C	Non-Core
YER039C	Non-Core
YKL005C	Non-Core
YJR010C-A	Non-Core
YLR262C-A	Non-Core
YGR017W	Non-Core
YGR263C	Non-Core
YEL066W	Non-Core
YJL055W	Non-Core
YPR193C	Non-Core
YJL196C	Non-Core
YIR042C	Non-Core
YOR238W	Non-Core
YOR388C	Non-Core
YGR203W	Non-Core
YJL212C	Non-Core
YCR018C	Non-Core
YCR021C	Non-Core
YCL024W	Non-Core
YNR059W	Non-Core
YDL243C	Non-Core
YBR054W	Non-Core
YPL004C	Non-Core
YDR539W	Non-Core
YGL257C	Non-Core
YNL331C	Non-Core
YOL019W	Non-Core
YDL109C	Non-Core
YHL035C	Non-Core
YDR483W	Non-Core
YEL065W	Non-Core
YIR039C	Non-Core
YLR442C	Non-Core
YMR180C	Non-Core
YJR155W	Non-Core
YOL164W	Non-Core
YAL061W	Non-Core
YER076C	Non-Core
YJR154W	Non-Core
YHL026C	Non-Core
YML101C	Non-Core
YOL154W	Non-Core
YLR411W	Non-Core
YDR538W	Non-Core
YDR524C	Non-Core
YHR056C	Non-Core
YDR033W	Non-Core
YBR199W	Non-Core
YEL070W	Non-Core
YDR438W	Non-Core
YDR303C	Non-Core
YNL270C	Non-Core
YDR403W	Non-Core
YLR249W	Non-Core
YIR038C	Non-Core
YPL248C	Non-Core
YER001W	Non-Core
YJR077C	Non-Core
YBR195C	Non-Core
YDR425W	Non-Core
YHR087W	Non-Core
YLR035C	Non-Core
YJL042W	Non-Core
YNL183C	Non-Core
YJR111C	Non-Core
YBL090W	Non-Core
YJR103W	Non-Core
YPL024W	Non-Core
YGR129W	Non-Core
YGL020C	Non-Core
YMR319C	Non-Core
YML079W	Non-Core
YDR507C	Non-Core
YKL108W	Non-Core
YMR159C	Non-Core
YDR444W	Non-Core
YIR019C	Non-Core
YGL144C	Non-Core
YCL026C-B	Non-Core
YKL054C	Non-Core
YDR194C	Non-Core
YKL052C	Non-Core
YMR294W	Non-Core
YIL102C-A	Non-Core
YDR286C	Non-Core
YDL037C	Non-Core
YML081C-A	Non-Core
YAL060W	Non-Core
YJR051W	Non-Core
YBR163W	Non-Core
YGR072W	Non-Core
YBR233W-A	Non-Core
YML043C	Non-Core
YDL018C	Non-Core
YBL014C	Non-Core
YJR156C	Non-Core
YEL047C	Non-Core
YNL332W	Non-Core
YNL070W	Non-Core
YLR214W	Non-Core
YOR215C	Non-Core
YML051W	Non-Core
YMR168C	Non-Core
YOR080W	Non-Core
YHL040C	Non-Core
YER185W	Non-Core
YBR168W	Non-Core
YOR273C	Non-Core
YGR213C	Non-Core
YDL067C	Non-Core
YKR067W	Non-Core
YCL048W	Non-Core
YMR087W	Non-Core
YGL209W	Non-Core
YDR171W	Non-Core
YHR138C	Non-Core
YDR076W	Non-Core
YDR488C	Non-Core
YKR064W	Non-Core
YNL246W	Non-Core
YJL110C	Non-Core
YDL101C	Non-Core
YIL014W	Non-Core
YLR250W	Non-Core
YPL166W	Non-Core
YMR129W	Non-Core
YKL174C	Non-Core
YNL009W	Non-Core
YDL244W	Non-Core
YFL058W	Non-Core
YKR106W	Non-Core
YDR423C	Non-Core
YNL335W	Non-Core
YKL071W	Non-Core
YBR295W	Non-Core
YLR313C	Non-Core
YJL213W	Non-Core
YBR278W	Non-Core
YOR365C	Non-Core
YBR008C	Non-Core
YHR106W	Non-Core
YKL038W	Non-Core
YHR048W	Non-Core
YJR089W	Non-Core
YMR149W	Non-Core
YDR520C	Non-Core
YGL176C	Non-Core
YFL052W	Non-Core
YCL061C	Non-Core
YGL035C	Non-Core
YMR069W	Non-Core
YNL278W	Non-Core
YHR156C	Non-Core
YCL012C	Non-Core
YOR373W	Non-Core
YFL048C	Non-Core
YLR132C	Non-Core
YNL187W	Non-Core
YML088W	Non-Core
YDR367W	Non-Core
YDR428C	Non-Core
YGL164C	Non-Core
YLR080W	Non-Core
YBR145W	Non-Core
YJR112W-A	Non-Core
YCL047C	Non-Core
YCR030C	Non-Core
YGL093W	Non-Core
YNL193W	Non-Core
YKR082W	Non-Core
YEL015W	Non-Core
YKL163W	Non-Core
YCL029C	Non-Core
YBR033W	Non-Core
YGL129C	Non-Core
YPR200C	Non-Core
YPR196W	Non-Core
YLR098C	Non-Core
YDR124W	Non-Core
YDR103W	Non-Core
YGR288W	Non-Core
YBR298C	Non-Core
YJL159W	Non-Core
YGR289C	Non-Core
YNL149C	Non-Core
YIL017C	Non-Core
YJR160C	Non-Core
YIR030C	Non-Core
YOR144C	Non-Core
YKL107W	Non-Core
YMR117C	Non-Core
YLR440C	Non-Core
YFL055W	Non-Core
YJR053W	Non-Core
YBR137W	Non-Core
YOR198C	Non-Core
YBL028C	Non-Core
YBR297W	Non-Core
YEL007W	Non-Core
YOR337W	Non-Core
YER046W	Non-Core
YBR022W	Non-Core
YLL046C	Non-Core
YMR016C	Non-Core
YLR446W	Non-Core
YDR085C	Non-Core
YNL208W	Non-Core
YEL030W	Non-Core
YOL158C	Non-Core
YDL218W	Non-Core
YGL038C	Non-Core
YBR177C	Non-Core
YOL070C	Non-Core
YLR368W	Non-Core
YIL073C	Non-Core
YMR111C	Non-Core
YJL127C-B	Non-Core
YJL171C	Non-Core
YIL024C	Non-Core
YPR070W	Non-Core
YMR044W	Non-Core
YGL181W	Non-Core
YHL034C	Non-Core
YDR352W	Non-Core
YML112W	Non-Core
YBL103C	Non-Core
YNL125C	Non-Core
YOR205C	Non-Core
YNR056C	Non-Core
YER030W	Non-Core
YDL044C	Non-Core
YER028C	Non-Core
YLR024C	Non-Core
YLR211C	Non-Core
YBR119W	Non-Core
YLR067C	Non-Core
YDR384C	Non-Core
YLR165C	Non-Core
YDR160W	Non-Core
YFL049W	Non-Core
YIL088C	Non-Core
YER113C	Non-Core
YPL095C	Non-Core
YEL001C	Non-Core
YML052W	Non-Core
YJL122W	Non-Core
YOL116W	Non-Core
YLR335W	Non-Core
YKL011C	Non-Core
YKR091W	Non-Core
YOR083W	Non-Core
YGL262W	Non-Core
YOL029C	Non-Core
YPL193W	Non-Core
YJR056C	Non-Core
YDR485C	Non-Core
YER063W	Non-Core
YMR164C	Non-Core
YCL002C	Non-Core
YPL064C	Non-Core
YER161C	Non-Core
YPR017C	Non-Core
YER128W	Non-Core
YNL162W-A	Non-Core
YNL236W	Non-Core
YDL002C	Non-Core
YKR084C	Non-Core
YGR212W	Non-Core
YOR221C	Non-Core
YMR019W	Non-Core
YOR138C	Non-Core
YER180C-A	Non-Core
YER124C	Non-Core
YBR207W	Non-Core
YOR249C	Non-Core
YOR352W	Non-Core
YDR118W	Non-Core
YPL113C	Non-Core
YAR002W	Non-Core
YJL178C	Non-Core
YMR191W	Non-Core
YKL093W	Non-Core
YGL170C	Non-Core
YBR076W	Non-Core
YKR015C	Non-Core
YLR312C	Non-Core
YPL272C	Non-Core
YOR350C	Non-Core
YFL020C	Non-Core
YFR036W	Non-Core
YHR159W	Non-Core
YML117W	Non-Core
YLR267W	Non-Core
YGR236C	Non-Core
YMR172W	Non-Core
YPL033C	Non-Core
YER044C-A	Non-Core
YLR392C	Non-Core
YIL122W	Non-Core
YNL160W	Non-Core
YHR139C	Non-Core
YOR097C	Non-Core
YPR164W	Non-Core
YLR263W	Non-Core
YNR069C	Non-Core
YMR219W	Non-Core
YIL011W	Non-Core
YOR179C	Non-Core
YJL162C	Non-Core
YOL025W	Non-Core
YGL222C	Non-Core
YDR422C	Non-Core
YAL037W	Non-Core
YLL025W	Non-Core
YPL077C	Non-Core
YAL063C	Non-Core
YCR024C-A	Non-Core
YOL104C	Non-Core
YKL061W	Non-Core
YPL253C	Non-Core
YLR457C	Non-Core
YOR098C	Non-Core
YER106W	Non-Core
YCL028W	Non-Core
YOR213C	Non-Core
YLR031W	Non-Core
YPL144W	Non-Core
YGR180C	Non-Core
YPL049C	Non-Core
YGL090W	Non-Core
YNR034W-A	Non-Core
YMR147W	Non-Core
YPR134W	Non-Core
YEL025C	Non-Core
YBR071W	Non-Core
YGL117W	Non-Core
YOR189W	Non-Core
YJR011C	Non-Core
YDR261C	Non-Core
YBR036C	Non-Core
YOR011W	Non-Core
YGL121C	Non-Core
YJL043W	Non-Core
YKR022C	Non-Core
YLR049C	Non-Core
YDR022C	Non-Core
YPR158W	Non-Core
YKR098C	Non-Core
YNR004W	Non-Core
YLR037C	Non-Core
YJL070C	Non-Core
YLR190W	Non-Core
YBR259W	Non-Core
YPL018W	Non-Core
YDL227C	Non-Core
YLR315W	Non-Core
YJL209W	Non-Core
YAR050W	Non-Core
YOL101C	Non-Core
YLR224W	Non-Core
YHR061C	Non-Core
YML058W	Non-Core
YCL058W-A	Non-Core
YBR067C	Non-Core
YOL007C	Non-Core
YMR025W	Non-Core
YLL049W	Non-Core
YOL047C	Non-Core
YJR039W	Non-Core
YOL091W	Non-Core
YER176W	Non-Core
YHL038C	Non-Core
YIL013C	Non-Core
YJL185C	Non-Core
YOR152C	Non-Core
YBR107C	Non-Core
YLR254C	Non-Core
YER104W	Non-Core
YPR106W	Non-Core
YPL192C	Non-Core
YKR041W	Non-Core
YHR211W	Non-Core
YDR374W-A	Non-Core
YDR383C	Non-Core
YFR039C	Non-Core
YJR094C	Non-Core
YCL025C	Non-Core
YDL021W	Non-Core
YOR178C	Non-Core
YIL071C	Non-Core
YHR015W	Non-Core
YJL149W	Non-Core
YGL071W	Non-Core
YGR023W	Non-Core
YOL036W	Non-Core
YJL019W	Non-Core
YPL274W	Non-Core
YDR508C	Non-Core
YGL134W	Non-Core
YIL016W	Non-Core
YER167W	Non-Core
YJL103C	Non-Core
YLR110C	Non-Core
YNL133C	Non-Core
YPL055C	Non-Core
YNL295W	Non-Core
YJL089W	Non-Core
YER033C	Non-Core
YPL256C	Non-Core
YOR066W	Non-Core
YGL032C	Non-Core
YBR108W	Non-Core
YER132C	Non-Core
YGR222W	Non-Core
YJL148W	Non-Core
YBR131W	Non-Core
YGR102C	Non-Core
YMR101C	Non-Core
YOR372C	Non-Core
YKL106W	Non-Core
YPL075W	Non-Core
YBR194W	Non-Core
YNL199C	Non-Core
YJL173C	Non-Core
YIL161W	Non-Core
YLL005C	Non-Core
YDR461W	Non-Core
YML006C	Non-Core
YIL009C-A	Non-Core
YFR023W	Non-Core
YMR160W	Non-Core
YHR103W	Non-Core
YDR399W	Non-Core
YJL051W	Non-Core
YLR225C	Non-Core
YDR475C	Non-Core
YEL005C	Non-Core
YMR291W	Non-Core
YDR065W	Non-Core
YLR364W	Non-Core
YPR084W	Non-Core
YLR052W	Non-Core
YLR413W	Non-Core
YGL081W	Non-Core
YNL309W	Non-Core
YGR140W	Non-Core
YGR156W	Non-Core
YCR076C	Non-Core
YLR094C	Non-Core
YHR035W	Non-Core
YDL059C	Non-Core
YDL169C	Non-Core
YNL042W	Non-Core
YMR107W	Non-Core
YER111C	Non-Core
YIL055C	Non-Core
YPL201C	Non-Core
YNL214W	Non-Core
YGL128C	Non-Core
YDR466W	Non-Core
YML017W	Non-Core
YOL053W	Non-Core
YBR058C-A	Non-Core
YGL036W	Non-Core
YIL156W	Non-Core
YOR371C	Non-Core
YGL162W	Non-Core
YBR091C	Non-Core
YKL168C	Non-Core
YBR128C	Non-Core
YBR258C	Non-Core
YMR206W	Non-Core
YDR072C	Non-Core
YJR021C	Non-Core
YBR250W	Non-Core
YMR124W	Non-Core
YER137C	Non-Core
YGR106C	Non-Core
YGR177C	Non-Core
YLR040C	Non-Core
YGL197W	Non-Core
YKL042W	Non-Core
YBR047W	Non-Core
YKL214C	Non-Core
YGR079W	Non-Core
YBR152W	Non-Core
YKL065C	Non-Core
YBR068C	Non-Core
YKL187C	Non-Core
YDR381C-A	Non-Core
YNL078W	Non-Core
YHL019C	Non-Core
YMR122W-A	Non-Core
YER158C	Non-Core
YLR135W	Non-Core
YDR532C	Non-Core
YGR169C-A	Non-Core
YMR181C	Non-Core
YGL249W	Non-Core
YLR437C	Non-Core
YML119W	Non-Core
YGL061C	Non-Core
YDR163W	Non-Core
YER077C	Non-Core
YLR054C	Non-Core
YJL184W	Non-Core
YOR354C	Non-Core
YOR279C	Non-Core
YIL136W	Non-Core
YGL185C	Non-Core
YGL228W	Non-Core
YNL076W	Non-Core
YPR133W-A	Non-Core
YDR309C	Non-Core
YER024W	Non-Core
YDR123C	Non-Core
YIL135C	Non-Core
YPL071C	Non-Core
YJR135C	Non-Core
YEL017C-A	Non-Core
YDR197W	Non-Core
YLR079W	Non-Core
YOR195W	Non-Core
YIR025W	Non-Core
YER032W	Non-Core
YDR310C	Non-Core
YLR288C	Non-Core
YPL194W	Non-Core
YGL226C-A	Non-Core
YOR276W	Non-Core
YLR095C	Non-Core
YOR030W	Non-Core
YLR219W	Non-Core
YDR222W	Non-Core
YNR045W	Non-Core
YDR499W	Non-Core
YPL229W	Non-Core
YOL082W	Non-Core
YLR332W	Non-Core
YML113W	Non-Core
YDL220C	Non-Core
YIL139C	Non-Core
YIR010W	Non-Core
YLR307C-A	Non-Core
YOR060C	Non-Core
YJL170C	Non-Core
YNL100W	Non-Core
YGL025C	Non-Core
YNR024W	Non-Core
YJL073W	Non-Core
YGR117C	Non-Core
YPL039W	Non-Core
YPL186C	Non-Core
YBR085C-A	Non-Core
YOR324C	Non-Core
YBR255C-A	Non-Core
YBR165W	Non-Core
YBR149W	Non-Core
YAL055W	Non-Core
YDR014W	Non-Core
YOL028C	Non-Core
YDR056C	Non-Core
YJL016W	Non-Core
YOR302W	Non-Core
YOL042W	Non-Core
YLR431C	Non-Core
YNL164C	Non-Core
YGL113W	Non-Core
YNL103W	Non-Core
YHR081W	Non-Core
YKR005C	Non-Core
YNL258C	Non-Core
YIL127C	Non-Core
YOR062C	Non-Core
YGR146C	Non-Core
YGR237C	Non-Core
YOL020W	Non-Core
YGL108C	Non-Core
YDR395W	Non-Core
YLR301W	Non-Core
YLL061W	Non-Core
YMR275C	Non-Core
YLR376C	Non-Core
YPR009W	Non-Core
YER034W	Non-Core
YCR020C-A	Non-Core
YNL159C	Non-Core
YGR179C	Non-Core
YMR144W	Non-Core
YNR010W	Non-Core
YBR283C	Non-Core
YDR249C	Non-Core
YHR192W	Non-Core
YKL204W	Non-Core
YDR503C	Non-Core
YBR077C	Non-Core
YPL269W	Non-Core
YMR148W	Non-Core
YIL002C	Non-Core
YOR267C	Non-Core
YPR122W	Non-Core
YNR058W	Non-Core
YJL161W	Non-Core
YMR094W	Non-Core
YOR147W	Non-Core
YCR075W-A	Non-Core
YNL002C	Non-Core
YPR057W	Non-Core
YOR045W	Non-Core
YDR506C	Non-Core
YOR230W	Non-Core
YML013W	Non-Core
YLL003W	Non-Core
YLR353W	Non-Core
YBL006C	Non-Core
YBR212W	Non-Core
YHR184W	Non-Core
YKL112W	Non-Core
YIR003W	Non-Core
YOR208W	Non-Core
YIR017C	Non-Core
YBL025W	Non-Core
YAL028W	Non-Core
YDR046C	Non-Core
YDL225W	Non-Core
YGR065C	Non-Core
YDR307W	Non-Core
YJR004C	Non-Core
YDR082W	Non-Core
YHR060W	Non-Core
YPL158C	Non-Core
YLR436C	Non-Core
YDR070C	Non-Core
YKL049C	Non-Core
YJL165C	Non-Core
YLR139C	Non-Core
YNL225C	Non-Core
YOR304C-A	Non-Core
YCL051W	Non-Core
YLL042C	Non-Core
YNR049C	Non-Core
YOL117W	Non-Core
YGR052W	Non-Core
YNL307C	Non-Core
YJL146W	Non-Core
YMR258C	Non-Core
YER075C	Non-Core
YOL044W	Non-Core
YDL005C	Non-Core
YBR238C	Non-Core
YNL314W	Non-Core
YIL036W	Non-Core
YDR078C	Non-Core
YEL048C	Non-Core
YML029W	Non-Core
YDR420W	Non-Core
YKL198C	Non-Core
YNL086W	Non-Core
YDR439W	Non-Core
YGR142W	Non-Core
YMR157C	Non-Core
YER018C	Non-Core
YKR049C	Non-Core
YDR391C	Non-Core
YJL133C-A	Non-Core
YLR390W	Non-Core
YDR478W	Non-Core
YDR206W	Non-Core
YNL176C	Non-Core
YGR275W	Non-Core
YPL161C	Non-Core
YDR370C	Non-Core
YHL014C	Non-Core
YPL005W	Non-Core
YBL039W-B	Non-Core
YNR057C	Non-Core
YIR024C	Non-Core
YCR020W-B	Non-Core
YER092W	Non-Core
YGR122W	Non-Core
YDR235W	Non-Core
YGL075C	Non-Core
YDL110C	Non-Core
YNL050C	Non-Core
YOL083W	Non-Core
YPL148C	Non-Core
YDR369C	Non-Core
YDL160C-A	Non-Core
YPL255W	Non-Core
YJL099W	Non-Core
YNL188W	Non-Core
YJL131C	Non-Core
YNL216W	Non-Core
YBL081W	Non-Core
YDR186C	Non-Core
YMR066W	Non-Core
YMR299C	Non-Core
YDR153C	Non-Core
YOL056W	Non-Core
YKL063C	Non-Core
YBR044C	Non-Core
YMR070W	Non-Core
YMR198W	Non-Core
YML115C	Non-Core
YMR184W	Non-Core
YGL146C	Non-Core
YGR120C	Non-Core
YDR156W	Non-Core
YBR120C	Non-Core
YDL180W	Non-Core
YJL065C	Non-Core
YIR014W	Non-Core
YMR204C	Non-Core
YLR226W	Non-Core
YOR229W	Non-Core
YDR285W	Non-Core
YOR114W	Non-Core
YBL045C	Non-Core
YML066C	Non-Core
YCR082W	Non-Core
YLR408C	Non-Core
YGR126W	Non-Core
YML062C	Non-Core
YIL146C	Non-Core
YDL232W	Non-Core
YNL166C	Non-Core
YDR494W	Non-Core
YJR136C	Non-Core
YGR030C	Non-Core
YGR075C	Non-Core
YOR342C	Non-Core
YGR161C	Non-Core
YHR143W	Non-Core
YOR019W	Non-Core
YPR171W	Non-Core
YDR528W	Non-Core
YFR042W	Non-Core
YNR022C	Non-Core
YER115C	Non-Core
YML108W	Non-Core
YLR199C	Non-Core
YIR018W	Non-Core
YPL156C	Non-Core
YKR037C	Non-Core
YPL202C	Non-Core
YJR059W	Non-Core
YPR034W	Non-Core
YJL192C	Non-Core
YLR443W	Non-Core
YGL145W	Non-Core
YPR114W	Non-Core
YMR199W	Non-Core
YGR249W	Non-Core
YDR239C	Non-Core
YHR167W	Non-Core
YDR201W	Non-Core
YHL006C	Non-Core
YLR091W	Non-Core
YMR134W	Non-Core
YNR014W	Non-Core
YMR267W	Non-Core
YMR163C	Non-Core
YBR125C	Non-Core
YCR043C	Non-Core
YDR073W	Non-Core
YML023C	Non-Core
YNL077W	Non-Core
YOR266W	Non-Core
YHR149C	Non-Core
YLR257W	Non-Core
YBR275C	Non-Core
YJL023C	Non-Core
YMR086W	Non-Core
YBL010C	Non-Core
YKR007W	Non-Core
YPR075C	Non-Core
YBL031W	Non-Core
YDL027C	Non-Core
YOR137C	Non-Core
YER147C	Non-Core
YLR141W	Non-Core
YBL101C	Non-Core
YKR011C	Non-Core
YER083C	Non-Core
YBR098W	Non-Core
YJR032W	Non-Core
YNL327W	Non-Core
YML019W	Non-Core
YLR021W	Non-Core
YHL025W	Non-Core
YLR329W	Non-Core
YDR351W	Non-Core
YGR196C	Non-Core
YCR086W	Non-Core
YLR064W	Non-Core
YFR013W	Non-Core
YLR233C	Non-Core
YDR195W	Non-Core
YOR377W	Non-Core
YKL176C	Non-Core
YDR131C	Non-Core
YDL099W	Non-Core
YML037C	Non-Core
YPL100W	Non-Core
YGR206W	Non-Core
YGR250C	Non-Core
YDR279W	Non-Core
YLR394W	Non-Core
YBR180W	Non-Core
YEL018W	Non-Core
YEL017W	Non-Core
YDR350C	Non-Core
YPR151C	Non-Core
YBR272C	Non-Core
YHR136C	Non-Core
YKL075C	Non-Core
YLR385C	Non-Core
YLR227C	Non-Core
YOR315W	Non-Core
YBR130C	Non-Core
YDR138W	Non-Core
YOR264W	Non-Core
YPL139C	Non-Core
YLR369W	Non-Core
YBR211C	Non-Core
YPL112C	Non-Core
YDR240C	Non-Core
YKR075C	Non-Core
YDL129W	Non-Core
YKL048C	Non-Core
YAL056W	Non-Core
YPL245W	Non-Core
YIL119C	Non-Core
YPL219W	Non-Core
YDR380W	Non-Core
YPR068C	Non-Core
YJR030C	Non-Core
YDL176W	Non-Core
YPR148C	Non-Core
YCL005W	Non-Core
YIL057C	Non-Core
YMR187C	Non-Core
YDR216W	Non-Core
YML111W	Non-Core
YLR287C	Non-Core
YDR295C	Non-Core
YPL168W	Non-Core
YOR026W	Non-Core
YDL121C	Non-Core
YMR209C	Non-Core
YGR239C	Non-Core
YPR046W	Non-Core
YDR119W-A	Non-Core
YDL053C	Non-Core
YKR020W	Non-Core
YGR134W	Non-Core
YDR219C	Non-Core
YGR221C	Non-Core
YCR020C	Non-Core
YML107C	Non-Core
YER153C	Non-Core
YMR257C	Non-Core
YDL211C	Non-Core
YMR298W	Non-Core
YGL223C	Non-Core
YDR192C	Non-Core
YPR109W	Non-Core
YPL241C	Non-Core
YDR317W	Non-Core
YML011C	Non-Core
YNL304W	Non-Core
YJL147C	Non-Core
YFR008W	Non-Core
YHR022C	Non-Core
YCL063W	Non-Core
YJL047C	Non-Core
YPR116W	Non-Core
YIL132C	Non-Core
YER149C	Non-Core
YNL249C	Non-Core
YOR078W	Non-Core
YGR041W	Non-Core
YDL073W	Non-Core
YGR068C	Non-Core
YDR130C	Non-Core
YLR404W	Non-Core
YKR046C	Non-Core
YCR069W	Non-Core
YAL031C	Non-Core
YNL158W	Non-Core
YAL059W	Non-Core
YDR227W	Non-Core
YLL038C	Non-Core
YAL027W	Non-Core
YMR052W	Non-Core
YBR157C	Non-Core
YPL189C-A	Non-Core
YPR036W-A	Non-Core
YDR179C	Non-Core
YNL145W	Non-Core
YNL311C	Non-Core
YLR360W	Non-Core
YDR387C	Non-Core
YLR363C	Non-Core
YHR118C	Non-Core
YKR027W	Non-Core
YMR252C	Non-Core
YJR005C-A	Non-Core
YER038C	Non-Core
YBR262C	Non-Core
YMR282C	Non-Core
YPR083W	Non-Core
YBR197C	Non-Core
YDR184C	Non-Core
YHR196W	Non-Core
YMR064W	Non-Core
YGR130C	Non-Core
YER180C	Non-Core
YML091C	Non-Core
YGR251W	Non-Core
YHR127W	Non-Core
YPL159C	Non-Core
YJR003C	Non-Core
YJL117W	Non-Core
YNL254C	Non-Core
YKL130C	Non-Core
YLL033W	Non-Core
YPL267W	Non-Core
YDR113C	Non-Core
YMR270C	Non-Core
YLR320W	Non-Core
YER053C-A	Non-Core
YJR043C	Non-Core
YOR220W	Non-Core
YOL136C	Non-Core
YGR015C	Non-Core
YIL137C	Non-Core
YGR168C	Non-Core
YGR077C	Non-Core
YIR016W	Non-Core
YGR294W	Non-Core
YFR017C	Non-Core
YEL049W	Non-Core
YPR101W	Non-Core
YLR361C-A	Non-Core
YKR045C	Non-Core
YKR102W	Non-Core
YHR105W	Non-Core
YJR151C	Non-Core
YPL096C-A	Non-Core
YFR046C	Non-Core
YKL079W	Non-Core
YIL152W	Non-Core
YPL052W	Non-Core
YNL195C	Non-Core
YLR102C	Non-Core
YKL018C-A	Non-Core
YHR195W	Non-Core
YKL208W	Non-Core
YGL057C	Non-Core
YOR010C	Non-Core
YDR260C	Non-Core
YNR009W	Non-Core
YJR083C	Non-Core
YIL040W	Non-Core
YKL138C-A	Non-Core
YPL187W	Non-Core
YJR115W	Non-Core
YLR018C	Non-Core
YDR357C	Non-Core
YBR225W	Non-Core
YHR083W	Non-Core
YOR355W	Non-Core
YER150W	Non-Core
YIL027C	Non-Core
YGL029W	Non-Core
YGL005C	Non-Core
YKR096W	Non-Core
YNL215W	Non-Core
YIL077C	Non-Core
YOR228C	Non-Core
YHR001W-A	Non-Core
YEL059C-A	Non-Core
YLR068W	Non-Core
YDL173W	Non-Core
YLL007C	Non-Core
YDR315C	Non-Core
YJR046W	Non-Core
YNR040W	Non-Core
YLR356W	Non-Core
YDL123W	Non-Core
YBR129C	Non-Core
YKL057C	Non-Core
YHR109W	Non-Core
YDL115C	Non-Core
YKL096W	Non-Core
YGR016W	Non-Core
YBL043W	Non-Core
YOL063C	Non-Core
YDR202C	Non-Core
YHR017W	Non-Core
YGR057C	Non-Core
YHR197W	Non-Core
YLR119W	Non-Core
YKR004C	Non-Core
YKR006C	Non-Core
YKL186C	Non-Core
YIL151C	Non-Core
YGR049W	Non-Core
YKR044W	Non-Core
YGR166W	Non-Core
YKR100C	Non-Core
YNL196C	Non-Core
YNL074C	Non-Core
YBR050C	Non-Core
YEL033W	Non-Core
YOR177C	Non-Core
YGL263W	Non-Core
YDL248W	Non-Core
YCL049C	Non-Core
YGR153W	Non-Core
YMR017W	Non-Core
YER035W	Non-Core
YGR295C	Non-Core
YEL057C	Non-Core
YKR101W	Non-Core
YKL219W	Non-Core
YPR005C	Non-Core
YOR383C	Non-Core
YBR148W	Non-Core
YNL336W	Non-Core
YFL062W	Non-Core
YCR005C	Non-Core
YHR160C	Non-Core
YHR152W	Non-Core
YGR035C	Non-Core
YMR255W	Non-Core
YJL038C	Non-Core
YKR077W	Non-Core
YDR096W	Non-Core
YMR251W-A	Non-Core
YKL105C	Non-Core
YOR382W	Non-Core
YDR281C	Non-Core
YER084W	Non-Core
YCR089W	Non-Core
YML053C	Non-Core
YDR461C-A	Non-Core
YMR175W	Non-Core
YIR021W	Non-Core
YIL169C	Non-Core
YOL015W	Non-Core
YPL027W	Non-Core
YLR346C	Non-Core
YIL089W	Non-Core
YDL214C	Non-Core
YMR030W	Non-Core
YOL131W	Non-Core
YMR207C	Non-Core
YJR161C	Non-Core
YPR204W	Non-Core
YLR154C	Non-Core
YJL217W	Non-Core
YMR081C	Non-Core
YHR126C	Non-Core
YCR007C	Non-Core
YOR012W	Non-Core
YPL163C	Non-Core
