genes	orthology
YER102W	Multi-Core
YMR142C	Multi-Core
YDR012W	Multi-Core
YER117W	Multi-Core
YOR312C	Multi-Core
YDL075W	Multi-Core
YDR026C	Multi-Core
YHR010W	Multi-Core
YDR225W	Multi-Core
YPL090C	Multi-Core
YHR115C	Multi-Core
YLR406C	Multi-Core
YOR293W	Multi-Core
YDR450W	Multi-Core
YDR379W	Multi-Core
YCR073C	Multi-Core
YDR155C	Multi-Core
YLR083C	Multi-Core
YKR013W	Multi-Core
YLR185W	Multi-Core
YHR141C	Multi-Core
YBR062C	Multi-Core
YML027W	Multi-Core
YPL079W	Multi-Core
YBR048W	Multi-Core
YGR148C	Multi-Core
YFR014C	Multi-Core
YMR143W	Multi-Core
YFL039C	Multi-Core
YML024W	Multi-Core
YOR286W	Multi-Core
YBR147W	Multi-Core
YER074W	Multi-Core
YJL198W	Multi-Core
YGL076C	Multi-Core
YMR006C	Multi-Core
YKL081W	Multi-Core
YGL189C	Multi-Core
YOL121C	Multi-Core
YGR192C	Multi-Core
YDR151C	Multi-Core
YBL027W	Multi-Core
YMR194W	Multi-Core
YPR102C	Multi-Core
YDR500C	Multi-Core
YCR031C	Multi-Core
YDL191W	Multi-Core
YIL131C	Multi-Core
YGL021W	Multi-Core
YML026C	Multi-Core
YFL034C-A	Multi-Core
YDL083C	Multi-Core
YNL001W	Multi-Core
YEL054C	Multi-Core
YDL137W	Multi-Core
YGR136W	Multi-Core
YBL056W	Multi-Core
YMR043W	Multi-Core
YOR375C	Multi-Core
YBR084C-A	Multi-Core
YNL162W	Multi-Core
YGR124W	Multi-Core
YGR243W	Multi-Core
YKR057W	Multi-Core
YBL087C	Multi-Core
YNL110C	Multi-Core
YGR085C	Multi-Core
YBR082C	Multi-Core
YMR121C	Multi-Core
YDL088C	Multi-Core
YPL140C	Multi-Core
YOR304W	Multi-Core
YOR040W	Multi-Core
YOR096W	Multi-Core
YCR026C	Multi-Core
YML056C	Multi-Core
YDL066W	Multi-Core
YBL016W	Multi-Core
YIR037W	Multi-Core
YIL045W	Multi-Core
YHL033C	Multi-Core
YHL003C	Multi-Core
YOR374W	Multi-Core
YGL135W	Multi-Core
YOR089C	Multi-Core
YGR027C	Multi-Core
YKR029C	Multi-Core
YER139C	Multi-Core
YGL073W	Multi-Core
YIL113W	Multi-Core
YFL053W	Multi-Core
YNR023W	Multi-Core
YDR447C	Multi-Core
YBL002W	Multi-Core
YGR254W	Multi-Core
YOL115W	Multi-Core
YPL119C	Multi-Core
YLR328W	Multi-Core
YGR241C	Multi-Core
YGR209C	Multi-Core
YHL039W	Multi-Core
YDL134C	Multi-Core
YBL003C	Multi-Core
YJL136C	Multi-Core
YBL067C	Multi-Core
YNL116W	Multi-Core
YDR451C	Multi-Core
YGL179C	Multi-Core
YOR234C	Multi-Core
YER119C	Multi-Core
YDL042C	Multi-Core
YPR069C	Multi-Core
YBR183W	Multi-Core
YKR018C	Multi-Core
YLR344W	Multi-Core
YPL074W	Multi-Core
YHR158C	Multi-Core
YNL106C	Multi-Core
YCR038C	Multi-Core
YLR264W	Multi-Core
YMR230W	Multi-Core
YOR222W	Multi-Core
YLR270W	Multi-Core
YBR172C	Multi-Core
YER133W	Multi-Core
YER096W	Multi-Core
YMR297W	Multi-Core
YKR095W	Multi-Core
YBR140C	Multi-Core
YAL015C	Multi-Core
YPR052C	Multi-Core
YGL049C	Multi-Core
YBR218C	Multi-Core
YMR310C	Multi-Core
YOR231W	Multi-Core
YOR033C	Multi-Core
YDR497C	Multi-Core
YER089C	Multi-Core
YMR222C	Multi-Core
YBR241C	Multi-Core
YDR252W	Multi-Core
YDR513W	Multi-Core
YPL191C	Multi-Core
YOR244W	Multi-Core
YBL085W	Multi-Core
YJL134W	Multi-Core
YHR031C	Multi-Core
YDL019C	Multi-Core
YNR065C	Multi-Core
YNL067W	Multi-Core
YJR131W	Multi-Core
YBR049C	Multi-Core
YPL177C	Multi-Core
YER057C	Multi-Core
YLR333C	Multi-Core
YAL017W	Multi-Core
YPL087W	Multi-Core
YJL083W	Multi-Core
YMR205C	Multi-Core
YCL037C	Multi-Core
YOL103W	Multi-Core
YJL105W	Multi-Core
YDR458C	Multi-Core
YOL112W	Multi-Core
YPL240C	Multi-Core
YFR053C	Multi-Core
YER114C	Multi-Core
YNL096C	Multi-Core
YHR050W	Multi-Core
YDL136W	Multi-Core
YOR127W	Multi-Core
YOR290C	Multi-Core
YLR350W	Multi-Core
YHL001W	Multi-Core
YDR099W	Multi-Core
YER027C	Multi-Core
YNL299W	Multi-Core
YPL134C	Multi-Core
YBL089W	Multi-Core
YDR358W	Multi-Core
YLR174W	Multi-Core
YGL208W	Multi-Core
YKL156W	Multi-Core
YBR242W	Multi-Core
YDL024C	Multi-Core
YGR108W	Multi-Core
YCL035C	Multi-Core
YGL002W	Multi-Core
YCR052W	Multi-Core
YOR270C	Multi-Core
YKL141W	Multi-Core
YMR183C	Multi-Core
YOR016C	Multi-Core
YER056C-A	Multi-Core
YDR263C	Multi-Core
YLR238W	Multi-Core
YBL091C-A	Multi-Core
YKR053C	Multi-Core
YBL009W	Multi-Core
YMR089C	Multi-Core
YOR008C	Multi-Core
YIL109C	Multi-Core
YGL096W	Multi-Core
YOL045W	Multi-Core
YOL002C	Multi-Core
YNL020C	Multi-Core
YLR260W	Multi-Core
YDR069C	Multi-Core
YGR056W	Multi-Core
YBR089C-A	Multi-Core
YHR107C	Multi-Core
