OG #	S.cer	K.marx	Y.lipo
OG0001029	YDR529C	KMXK_0A08150	YALI1_E40361g
OG0001030	YCL052C	KMXK_0A08170	YALI1_E20666g
OG0001032	YCL054W	KMXK_0A08180	YALI1_D11722g
OG0001033	YCL055W	KMXK_0A08200	YALI1_C24400g
OG0001034	YCL057C-A	KMXK_0A08250	YALI1_D23653g
OG0001035	YCL059C	KMXK_0A08270	YALI1_F37963g
OG0001036	YGL256W	KMXK_0B00140	YALI1_E19014g
OG0001038	YJR099W	KMXK_0B00250	YALI1_F21174g
OG0001039	YPR045C	KMXK_0B00260	YALI1_F34870g
OG0001040	YJR100C	KMXK_0B00280	YALI1_B21787g
OG0001041	YDR075W	KMXK_0B00290	YALI1_F14175g
OG0001042	YER148W	KMXK_0B00310	YALI1_B29977g
OG0001043	YDR074W	KMXK_0B00330	YALI1_D17620g
OG0001044	YER146W	KMXK_0B00370	YALI1_B18613g
OG0001045	YDR071C	KMXK_0B00380	YALI1_B18607g
OG0001046	YDR067C	KMXK_0B00420	YALI1_B18460g
OG0001047	YER143W	KMXK_0B00430	YALI1_B08801g
OG0001048	YER142C	KMXK_0B00440	YALI1_B18631g
OG0001049	YER141W	KMXK_0B00450	YALI1_F32002g
OG0001050	YBL022C	KMXK_0B00460	YALI1_F33618g
OG0001051	YBL021C	KMXK_0B00470	YALI1_F22867g
OG0001052	YBL020W	KMXK_0B00480	YALI1_E08071g
OG0001053	YBL019W	KMXK_0B00490	YALI1_C09851g
OG0001054	YBL018C	KMXK_0B00500	YALI1_F17520g
OG0001055	YBL015W	KMXK_0B00530	YALI1_E36437g
OG0001056	YBL013W	KMXK_0B00540	YALI1_F10110g
OG0001057	YGL026C	KMXK_0B00570	YALI1_F32232g
OG0001058	YGL027C	KMXK_0B00590	YALI1_F19899g
OG0001059	YGL028C	KMXK_0B00600	YALI1_E25163g
OG0001060	YGR150C	KMXK_0B00630	YALI1_A06287g
OG0001061	YGR149W	KMXK_0B00640	YALI1_F36552g
OG0001062	YGL030W	KMXK_0B00650	YALI1_E27871g
OG0001063	YGR147C	KMXK_0B00680	YALI1_F20589g
OG0001064	YMR268C	KMXK_0B00730	YALI1_F03118g
OG0001065	YML103C	KMXK_0B00740	YALI1_F18081g
OG0001066	YML102W	KMXK_0B00800	YALI1_B19747g
OG0001067	YMR264W	KMXK_0B00810	YALI1_F26127g
OG0001068	YMR263W	KMXK_0B00820	YALI1_F26142g
OG0001069	YMR262W	KMXK_0B00830	YALI1_E36472g
OG0001070	YMR260C	KMXK_0B00870	YALI1_F28025g
OG0001071	YBR103W	KMXK_0B00890	YALI1_F14805g
OG0001073	YBR102C	KMXK_0B00900	YALI1_F14793g
OG0001074	YBR101C	KMXK_0B00910	YALI1_F14766g
OG0001075	YPR055W	KMXK_0B00930	YALI1_E40032g
OG0001076	YHR028C	KMXK_0B00950	YALI1_B04274g
OG0001077	YHR027C	KMXK_0B00960	YALI1_B04321g
OG0001078	YHR026W	KMXK_0B00970	YALI1_F13017g
OG0001079	YHR025W	KMXK_0B00980	YALI1_F17962g
OG0001080	YHR024C	KMXK_0B00990	YALI1_F17949g
OG0001081	YHR023W	KMXK_0B01000	YALI1_F17836g
OG0001082	YKL155C	KMXK_0B01040	YALI1_D20885g
OG0001083	YKL154W	KMXK_0B01050	YALI1_D22247g
OG0001084	YJL039C	KMXK_0B01070	YALI1_B04200g
OG0001085	YJL041W	KMXK_0B01080	YALI1_B04123g
OG0001086	YJL044C	KMXK_0B01100	YALI1_C31759g
OG0001087	YKL152C	KMXK_0B01110	YALI1_B04138g
OG0001088	YCR009C	KMXK_0B01130	YALI1_C10860g
OG0001089	YCR003W	KMXK_0B01200	YALI1_C29148g
OG0001090	YCR002C	KMXK_0B01210	YALI1_C29141g
OG0001091	YLL001W	KMXK_0B01220	YALI1_F21850g
OG0001092	YLL002W	KMXK_0B01230	YALI1_F21778g
OG0001093	YJL002C	KMXK_0B01260	YALI1_F19746g
OG0001094	YLL004W	KMXK_0B01270	YALI1_F19720g
OG0001095	YJL003W	KMXK_0B01280	YALI1_C13652g
OG0001096	YDR217C	KMXK_0B01300	YALI1_E36837g
OG0001097	YDR221W	KMXK_0B01350	YALI1_E31827g
OG0001098	YLR222C	KMXK_0B01380	YALI1_E38020g
OG0001100	YLR221C	KMXK_0B01390	YALI1_D30459g
OG0001101	YLR220W	KMXK_0B01400	YALI1_D25715g
OG0001102	YDR100W	KMXK_0B01420	YALI1_C07117g
OG0001103	YLR247C	KMXK_0B01480	YALI1_C09489g
OG0001104	YLR248W	KMXK_0B01490	YALI1_E16773g
OG0001105	YJL102W	KMXK_0B01500	YALI1_C25789g
OG0001106	YKR026C	KMXK_0B01510	YALI1_C25307g
OG0001107	YKR025W	KMXK_0B01520	YALI1_D24687g
OG0001108	YKR024C	KMXK_0B01530	YALI1_D29831g
OG0001109	YKR023W	KMXK_0B01550	YALI1_E22029g
OG0001110	YJL104W	KMXK_0B01560	YALI1_F04259g
OG0001111	YMR093W	KMXK_0B01600	YALI1_E02203g
OG0001112	YMR092C	KMXK_0B01610	YALI1_E02377g
OG0001113	YMR091C	KMXK_0B01620	YALI1_C17411g
OG0001114	YMR088C	KMXK_0B01640	YALI1_B04391g
OG0001115	YKL104C	KMXK_0B01680	YALI1_B27874g
OG0001116	YKL101W	KMXK_0B01700	YALI1_E07818g
OG0001117	YKL099C	KMXK_0B01720	YALI1_E02432g
OG0001118	YKL098W	KMXK_0B01730	YALI1_E02438g
OG0001119	YDL198C	KMXK_0B01740	YALI1_C20198g
OG0001120	YDR228C	KMXK_0B01750	YALI1_C20180g
OG0001121	YDR226W	KMXK_0B01790	YALI1_B01136g
OG0001122	YDR104C	KMXK_0B01830	YALI1_D15692g
OG0001123	YER178W	KMXK_0B01850	YALI1_F27556g
OG0001124	YDR101C	KMXK_0B01860	YALI1_C07137g
OG0001125	YDR105C	KMXK_0B01880	YALI1_A08787g
OG0001126	YBR073W	KMXK_0B01920	YALI1_E29085g
OG0001127	YDR049W	KMXK_0B01930	YALI1_E30958g
OG0001128	YDR047W	KMXK_0B01940	YALI1_C02391g
OG0001129	YBR074W	KMXK_0B01950	YALI1_C01535g
OG0001130	YDR052C	KMXK_0B02010	YALI1_B22109g
OG0001131	YDR137W	KMXK_0B02030	YALI1_F37100g
OG0001132	YLR114C	KMXK_0B02040	YALI1_F35983g
OG0001133	YPL146C	KMXK_0B02060	YALI1_A05254g
OG0001134	YPL147W	KMXK_0B02070	YALI1_A06361g
OG0001135	YOR239W	KMXK_0B02110	YALI1_E29535g
OG0001136	YPL149W	KMXK_0B02120	YALI1_E29192g
OG0001137	YPL150W	KMXK_0B02140	YALI1_E29235g
OG0001138	YOR241W	KMXK_0B02150	YALI1_E29179g
OG0001139	YOR242C	KMXK_0B02160	YALI1_D08621g
OG0001140	YOR243C	KMXK_0B02170	YALI1_D01967g
OG0001141	YPL151C	KMXK_0B02180	YALI1_E05664g
OG0001142	YPL152W	KMXK_0B02200	YALI1_E05602g
OG0001143	YOR245C	KMXK_0B02210	YALI1_E38810g
OG0001144	YPL153C	KMXK_0B02220	YALI1_F34472g
OG0001145	YDR489W	KMXK_0B02230	YALI1_B23061g
OG0001146	YPL020C	KMXK_0B02280	YALI1_E25211g
OG0001147	YKR099W	KMXK_0B02290	YALI1_B18536g
OG0001148	YIL156W-B	KMXK_0B02300	YALI1_F28107g
OG0001149	YIL157C	KMXK_0B02310	YALI1_F13597g
OG0001150	YIL160C	KMXK_0B02340	YALI1_E22238g
OG0001151	YGL196W	KMXK_0B02380	YALI1_D19039g
OG0001152	YGL116W	KMXK_0B02390	YALI1_C04436g
OG0001153	YGL115W	KMXK_0B02400	YALI1_C04531g
OG0001154	YGL114W	KMXK_0B02410	YALI1_E01422g
OG0001155	YBR231C	KMXK_0B02420	YALI1_E01392g
OG0001156	YGL112C	KMXK_0B02450	YALI1_C06870g
OG0001157	YBR234C	KMXK_0B02470	YALI1_B22598g
OG0001158	YGL111W	KMXK_0B02480	YALI1_B21714g
OG0001159	YGL110C	KMXK_0B02490	YALI1_B24043g
OG0001160	YBR235W	KMXK_0B02500	YALI1_B05947g
OG0001161	YBR236C	KMXK_0B02510	YALI1_C18901g
OG0001162	YBR237W	KMXK_0B02520	YALI1_C06917g
OG0001163	YGL106W	KMXK_0B02550	YALI1_E04033g
OG0001164	YGL105W	KMXK_0B02570	YALI1_E04091g
OG0001165	YNR041C	KMXK_0B02610	YALI1_F08349g
OG0001166	YNR043W	KMXK_0B02620	YALI1_F08363g
OG0001167	YCR084C	KMXK_0B02630	YALI1_A14345g
OG0001168	YCR087C-A	KMXK_0B02650	YALI1_D19354g
OG0001169	YCR090C	KMXK_0B02670	YALI1_E29611g
OG0001170	YML038C	KMXK_0B02680	YALI1_E29827g
OG0001171	YGL201C	KMXK_0B02700	YALI1_B21562g
OG0001172	YPR160W	KMXK_0B02720	YALI1_F06351g
OG0001173	YGL203C	KMXK_0B02750	YALI1_B07162g
OG0001174	YER026C	KMXK_0B02770	YALI1_D10930g
OG0001175	YGL206C	KMXK_0B02790	YALI1_A17177g
OG0001176	YGL207W	KMXK_0B02800	YALI1_D17899g
OG0001177	YGL122C	KMXK_0B02820	YALI1_E16820g
OG0001178	YGL123W	KMXK_0B02830	YALI1_E17466g
OG0001179	YBR230C	KMXK_0B02840	YALI1_E17484g
OG0001180	YGL124C	KMXK_0B02850	YALI1_C08242g
OG0001181	YBR229C	KMXK_0B02870	YALI1_B08650g
OG0001182	YBR228W	KMXK_0B02880	YALI1_F28015g
OG0001183	YBR227C	KMXK_0B02890	YALI1_B05522g
OG0001184	YGL125W	KMXK_0B02910	YALI1_B00578g
OG0001185	YBR223C	KMXK_0B02920	YALI1_D09790g
OG0001186	YBR221C	KMXK_0B02930	YALI1_E31947g
OG0001187	YBR220C	KMXK_0B02940	YALI1_E31919g
OG0001188	YGL126W	KMXK_0B02960	YALI1_C33214g
OG0001189	YLR259C	KMXK_0B02970	YALI1_F04045g
OG0001190	YGL044C	KMXK_0B03000	YALI1_E11323g
OG0001191	YGL043W	KMXK_0B03010	YALI1_E11341g
OG0001192	YGL041W-A	KMXK_0B03020	YALI1_E11289g
OG0001193	YGR155W	KMXK_0B03030	YALI1_E11255g
OG0001194	YMR077C	KMXK_0B03040	YALI1_F28144g
OG0001195	YGL040C	KMXK_0B03050	YALI1_F27686g
OG0001196	YBL026W	KMXK_0B03080	YALI1_F11871g
OG0001197	YER136W	KMXK_0B03090	YALI1_E39924g
OG0001198	YGL194C	KMXK_0B03120	YALI1_C07780g
OG0001199	YGL192W	KMXK_0B03130	YALI1_B04950g
OG0001200	YGL191W	KMXK_0B03140	YALI1_F04455g
OG0001201	YGL190C	KMXK_0B03150	YALI1_F04497g
OG0001202	YFL033C	KMXK_0B03160	YALI1_F19635g
OG0001203	YLR059C	KMXK_0B03170	YALI1_E31891g
OG0001204	YFL031W	KMXK_0B03180	YALI1_B16808g
OG0001205	YFL030W	KMXK_0B03190	YALI1_E19852g
OG0001206	YFL029C	KMXK_0B03230	YALI1_C33353g
OG0001207	YLR056W	KMXK_0B03240	YALI1_D26496g
OG0001208	YFL028C	KMXK_0B03250	YALI1_D26467g
OG0001209	YLR055C	KMXK_0B03260	YALI1_E28170g
OG0001210	YFL027C	KMXK_0B03270	YALI1_C33354g
OG0001211	YMR244C-A	KMXK_0B03280	YALI1_E04007g
OG0001212	YMR244W	KMXK_0B03290	YALI1_C14738g
OG0001213	YMR243C	KMXK_0B03300	YALI1_F00207g
OG0001214	YOR313C	KMXK_0B03330	YALI1_F31587g
OG0001216	YOR311C	KMXK_0B03350	YALI1_F25444g
OG0001217	YOR310C	KMXK_0B03360	YALI1_B01628g
OG0001218	YOR307C	KMXK_0B03380	YALI1_B14355g
OG0001219	YMR241W	KMXK_0B03390	YALI1_B14382g
OG0001220	YOR305W	KMXK_0B03420	YALI1_B29718g
OG0001221	YMR240C	KMXK_0B03440	YALI1_D07182g
OG0001222	YDL040C	KMXK_0B03450	YALI1_F16117g
OG0001223	YBR018C	KMXK_0B03460	YALI1_F31405g
OG0001224	YPR100W	KMXK_0B03500	YALI1_E13823g
OG0001225	YGR083C	KMXK_0B03510	YALI1_E00533g
OG0001226	YGR084C	KMXK_0B03520	YALI1_E00869g
OG0001227	YPR103W	KMXK_0B03550	YALI1_B20052g
OG0001228	YPR104C	KMXK_0B03560	YALI1_B20094g
OG0001229	YPR105C	KMXK_0B03570	YALI1_D03904g
OG0001230	YGR086C	KMXK_0B03580	YALI1_C15832g
OG0001231	YPR107C	KMXK_0B03590	YALI1_D18190g
OG0001232	YAL008W	KMXK_0B03600	YALI1_A00558g
OG0001233	YOR014W	KMXK_0B03610	YALI1_E00437g
OG0001234	YAL009W	KMXK_0B03620	YALI1_D03888g
OG0001235	YAL010C	KMXK_0B03630	YALI1_D03766g
OG0001236	YAL011W	KMXK_0B03640	YALI1_D04636g
OG0001237	YOL034W	KMXK_0B03650	YALI1_E20467g
OG0001238	YOL033W	KMXK_0B03660	YALI1_E21230g
OG0001239	YOL032W	KMXK_0B03670	YALI1_E38677g
OG0001240	YOL031C	KMXK_0B03680	YALI1_E38706g
OG0001241	YAL012W	KMXK_0B03690	YALI1_F08705g
OG0001242	YOL040C	KMXK_0B03710	YALI1_F08635g
OG0001243	YAL013W	KMXK_0B03720	YALI1_F08745g
OG0001244	YOL041C	KMXK_0B03740	YALI1_F08757g
OG0001245	YAL014C	KMXK_0B03750	YALI1_E21203g
OG0001246	YAL016W	KMXK_0B03790	YALI1_F01291g
OG0001247	YOL051W	KMXK_0B03840	YALI1_F05137g
OG0001248	YOL049W	KMXK_0B03850	YALI1_C25029g
OG0001249	YAL019W	KMXK_0B03870	YALI1_F36610g
OG0001250	YOR048C	KMXK_0B03880	YALI1_D17051g
OG0001251	YDR270W	KMXK_0B03890	YALI1_D35635g
OG0001252	YMR146C	KMXK_0B03910	YALI1_A03183g
OG0001253	YDL086W	KMXK_0B03920	YALI1_C28593g
OG0001254	YPL034W	KMXK_0B03930	YALI1_C13038g
OG0001255	YMR150C	KMXK_0B03970	YALI1_F34798g
OG0001256	YDL087C	KMXK_0B03990	YALI1_F34862g
OG0001257	YDL089W	KMXK_0B04010	YALI1_D11406g
OG0001258	YDL090C	KMXK_0B04030	YALI1_D17983g
OG0001259	YDL091C	KMXK_0B04040	YALI1_D18014g
OG0001260	YDL092W	KMXK_0B04050	YALI1_F31439g
OG0001261	YNR035C	KMXK_0B04080	YALI1_A03422g
OG0001263	YNR036C	KMXK_0B04090	YALI1_A03402g
OG0001264	YCR079W	KMXK_0B04100	YALI1_B29528g
OG0001265	YNR037C	KMXK_0B04110	YALI1_B29507g
OG0001266	YNR038W	KMXK_0B04120	YALI1_B29505g
OG0001267	YCR081W	KMXK_0B04130	YALI1_F15017g
OG0001268	YNR039C	KMXK_0B04140	YALI1_B03963g
OG0001269	YGL103W	KMXK_0B04170	YALI1_B27485g
OG0001270	YBR243C	KMXK_0B04190	YALI1_B21618g
OG0001271	YGL100W	KMXK_0B04200	YALI1_B21628g
OG0001272	YBR246W	KMXK_0B04230	YALI1_E04023g
OG0001273	YGL099W	KMXK_0B04240	YALI1_C30287g
OG0001274	YGL098W	KMXK_0B04250	YALI1_C29920g
OG0001275	YBR247C	KMXK_0B04260	YALI1_C05636g
OG0001276	YGL097W	KMXK_0B04270	YALI1_A13383g
OG0001277	YBR248C	KMXK_0B04280	YALI1_C09467g
OG0001278	YBR249C	KMXK_0B04290	YALI1_C09308g
OG0001279	YMR200W	KMXK_0B04330	YALI1_B05106g
OG0001281	YNR006W	KMXK_0B04340	YALI1_B05454g
OG0001282	YMR201C	KMXK_0B04350	YALI1_B02472g
OG0001283	YDL054C	KMXK_0B04360	YALI1_A16004g
OG0001284	YLR378C	KMXK_0B04370	YALI1_E25905g
OG0001285	YJR101W	KMXK_0B04380	YALI1_B21798g
OG0001286	YER151C	KMXK_0B04420	YALI1_E10755g
OG0001287	YER152C	KMXK_0B04440	YALI1_E10210g
OG0001288	YER154W	KMXK_0B04460	YALI1_F39645g
OG0001289	YER155C	KMXK_0B04470	YALI1_F39665g
OG0001290	YLL032C	KMXK_0B04480	YALI1_F24708g
OG0001291	YLL034C	KMXK_0B04500	YALI1_F28146g
OG0001292	YLL035W	KMXK_0B04510	YALI1_E19458g
OG0001293	YHL027W	KMXK_0B04520	YALI1_B18134g
OG0001294	YHL028W	KMXK_0B04530	YALI1_F06466g
OG0001295	YHL030W	KMXK_0B04550	YALI1_C05088g
OG0001296	YDR362C	KMXK_0B04560	YALI1_C25288g
OG0001297	YHR111W	KMXK_0B04570	YALI1_C25257g
OG0001298	YDR361C	KMXK_0B04600	YALI1_D35965g
OG0001299	YDR359C	KMXK_0B04610	YALI1_D35907g
OG0001300	YBR271W	KMXK_0B04650	YALI1_C04962g
OG0001301	YDR354W	KMXK_0B04660	YALI1_D35787g
OG0001302	YLL023C	KMXK_0B04690	YALI1_D30540g
OG0001303	YPR011C	KMXK_0B04710	YALI1_F02238g
OG0001304	YPR010C-A	KMXK_0B04720	YALI1_F02289g
OG0001305	YGR021W	KMXK_0B04740	YALI1_E19371g
OG0001307	YLR330W	KMXK_0B04760	YALI1_E19337g
OG0001308	YKL149C	KMXK_0B04780	YALI1_D14224g
OG0001309	YKL150W	KMXK_0B04790	YALI1_D14199g
OG0001310	YKL151C	KMXK_0B04800	YALI1_D14190g
OG0001311	YNR003C	KMXK_0B04810	YALI1_F12946g
OG0001312	YCR011C	KMXK_0B04820	YALI1_C32517g
OG0001313	YFR018C	KMXK_0B04830	YALI1_E34494g
OG0001314	YFR019W	KMXK_0B04840	YALI1_E34425g
OG0001315	YFR021W	KMXK_0B04850	YALI1_F35578g
OG0001316	YCL005W-A	KMXK_0B04870	YALI1_F25663g
OG0001317	YCL008C	KMXK_0B04880	YALI1_F25671g
OG0001318	YLR175W	KMXK_0B04900	YALI1_E16451g
OG0001319	YNL007C	KMXK_0B04910	YALI1_E16493g
OG0001320	YNL006W	KMXK_0B04920	YALI1_E16501g
OG0001321	YCL018W	KMXK_0B04960	YALI1_C00464g
OG0001322	YCL017C	KMXK_0B04970	YALI1_C26167g
OG0001323	YNL003C	KMXK_0B04980	YALI1_C26544g
OG0001324	YCL016C	KMXK_0B04990	YALI1_C26580g
OG0001325	YCL014W	KMXK_0B05000	YALI1_C23359g
OG0001326	YGL186C	KMXK_0B05030	YALI1_D09453g
OG0001327	YGL187C	KMXK_0B05040	YALI1_E23635g
OG0001328	YLR060W	KMXK_0B05060	YALI1_E27144g
OG0001329	YFL034W	KMXK_0B05070	YALI1_E31646g
OG0001330	YPR182W	KMXK_0B05090	YALI1_A05491g
OG0001331	YLR459W	KMXK_0B05100	YALI1_E20279g
OG0001332	YPR181C	KMXK_0B05110	YALI1_E20269g
OG0001333	YPR180W	KMXK_0B05120	YALI1_E33220g
OG0001334	YPR179C	KMXK_0B05130	YALI1_E33234g
OG0001335	YPR178W	KMXK_0B05140	YALI1_E33268g
OG0001336	YPR176C	KMXK_0B05150	YALI1_E33302g
OG0001337	YPR175W	KMXK_0B05160	YALI1_F35907g
OG0001338	YGR125W	KMXK_0B05180	YALI1_F30179g
OG0001339	YGR127W	KMXK_0B05200	YALI1_D02063g
OG0001340	YGR128C	KMXK_0B05210	YALI1_F29944g
OG0001341	YER050C	KMXK_0B05240	YALI1_E35753g
OG0001342	YIL042C	KMXK_0B05250	YALI1_E23578g
OG0001343	YIL041W	KMXK_0B05260	YALI1_B27534g
OG0001344	YER049W	KMXK_0B05270	YALI1_B27500g
OG0001345	YER048W-A	KMXK_0B05290	YALI1_D15296g
OG0001346	YIL039W	KMXK_0B05320	YALI1_B05971g
OG0001347	YIL038C	KMXK_0B05350	YALI1_E07657g
OG0001348	YIL034C	KMXK_0B05410	YALI1_C28706g
OG0001349	YER044C	KMXK_0B05420	YALI1_F06797g
OG0001350	YIL033C	KMXK_0B05430	YALI1_F06830g
OG0001351	YFR037C	KMXK_0B05450	YALI1_F06670g
OG0001352	YDR142C	KMXK_0B05470	YALI1_F24635g
OG0001353	YGR133W	KMXK_0B05500	YALI1_E05599g
OG0001354	YPR155C	KMXK_0B05580	YALI1_C16770g
OG0001355	YDR464W	KMXK_0B05650	YALI1_E35734g
OG0001356	YHR007C	KMXK_0B05660	YALI1_B07094g
OG0001357	YDR465C	KMXK_0B05670	YALI1_C20452g
OG0001358	YHR008C	KMXK_0B05680	YALI1_B11983g
OG0001359	YHR009C	KMXK_0B05700	YALI1_B07809g
OG0001360	YDR468C	KMXK_0B05710	YALI1_B07843g
OG0001361	YDR469W	KMXK_0B05720	YALI1_B07853g
OG0001362	YDR470C	KMXK_0B05730	YALI1_B07864g
OG0001363	YHR011W	KMXK_0B05760	YALI1_B07957g
OG0001364	YHR012W	KMXK_0B05770	YALI1_E23880g
OG0001365	YHR013C	KMXK_0B05780	YALI1_B07786g
OG0001366	YDR472W	KMXK_0B05790	YALI1_B07769g
OG0001367	YDR392W	KMXK_0B05820	YALI1_E25490g
OG0001368	YOR143C	KMXK_0B05830	YALI1_E25443g
OG0001369	YOR142W	KMXK_0B05840	YALI1_E28575g
OG0001370	YOR141C	KMXK_0B05860	YALI1_D05822g
OG0001371	YOR136W	KMXK_0B05900	YALI1_D08082g
OG0001372	YDR390C	KMXK_0B05910	YALI1_D08031g
OG0001373	YDR388W	KMXK_0B05930	YALI1_D16981g
OG0001374	YDR386W	KMXK_0B05950	YALI1_C20953g
OG0001375	YOR132W	KMXK_0B05970	YALI1_D26993g
OG0001376	YOR131C	KMXK_0B05980	YALI1_D26956g
OG0001377	YOR130C	KMXK_0B06030	YALI1_D08734g
OG0001378	YOR129C	KMXK_0B06080	YALI1_A21945g
OG0001379	YOR128C	KMXK_0B06100	YALI1_B30090g
OG0001380	YDR379C-A	KMXK_0B06130	YALI1_C03933g
OG0001381	YDR377W	KMXK_0B06160	YALI1_D14639g
OG0001382	YDR376W	KMXK_0B06170	YALI1_B19490g
OG0001383	YOR126C	KMXK_0B06180	YALI1_B09299g
OG0001384	YDR375C	KMXK_0B06190	YALI1_D04467g
OG0001385	YDR374C	KMXK_0B06210	YALI1_F25164g
OG0001386	YOR125C	KMXK_0B06220	YALI1_E18269g
OG0001387	YDR373W	KMXK_0B06230	YALI1_E18242g
OG0001388	YOR124C	KMXK_0B06240	YALI1_D04469g
OG0001389	YDR372C	KMXK_0B06250	YALI1_D04533g
OG0001390	YDR371W	KMXK_0B06260	YALI1_F06904g
OG0001391	YOR123C	KMXK_0B06270	YALI1_B09161g
OG0001392	YOR122C	KMXK_0B06280	YALI1_B09266g
OG0001393	YNL325C	KMXK_0B06360	YALI1_E39248g
OG0001394	YOL142W	KMXK_0B06370	YALI1_E39284g
OG0001395	YNL326C	KMXK_0B06380	YALI1_E27273g
OG0001396	YNL328C	KMXK_0B06400	YALI1_C25998g
OG0001397	YNL329C	KMXK_0B06410	YALI1_C25979g
OG0001398	YNL330C	KMXK_0B06420	YALI1_E27104g
OG0001399	YOL143C	KMXK_0B06430	YALI1_A12284g
OG0001400	YOL144W	KMXK_0B06440	YALI1_A15722g
OG0001401	YOL145C	KMXK_0B06450	YALI1_A15720g
OG0001402	YOL146W	KMXK_0B06460	YALI1_D02831g
OG0001403	YOL147C	KMXK_0B06470	YALI1_C05386g
OG0001404	YOL148C	KMXK_0B06480	YALI1_C05372g
OG0001405	YOL149W	KMXK_0B06490	YALI1_F21192g
OG0001406	YDL103C	KMXK_0B06560	YALI1_E03762g
OG0001407	YMR162C	KMXK_0B06570	YALI1_E05004g
OG0001408	YMR161W	KMXK_0B06580	YALI1_D02221g
OG0001409	YDL102W	KMXK_0B06590	YALI1_A08175g
OG0001410	YDL100C	KMXK_0B06630	YALI1_E39676g
OG0001411	YMR158W	KMXK_0B06650	YALI1_E36866g
OG0001412	YDL098C	KMXK_0B06670	YALI1_F12983g
OG0001413	YMR156C	KMXK_0B06680	YALI1_E34322g
OG0001414	YDL097C	KMXK_0B06690	YALI1_D11442g
OG0001415	YDL095W	KMXK_0B06700	YALI1_E18121g
OG0001416	YML128C	KMXK_0B06720	YALI1_F37463g
OG0001417	YML129C	KMXK_0B06740	YALI1_F09317g
OG0001418	YML092C	KMXK_0B06760	YALI1_F09361g
OG0001419	YML093W	KMXK_0B06770	YALI1_D16656g
OG0001420	YML094W	KMXK_0B06780	YALI1_D34057g
OG0001421	YML095C	KMXK_0B06790	YALI1_D34078g
OG0001422	YML096W	KMXK_0B06800	YALI1_F35822g
OG0001423	YML097C	KMXK_0B06810	YALI1_E38640g
OG0001424	YML130C	KMXK_0B06820	YALI1_D12147g
OG0001425	YML098W	KMXK_0B06830	YALI1_D12172g
OG0001426	YML099C	KMXK_0B06840	YALI1_D12198g
OG0001427	YMR171C	KMXK_0B06850	YALI1_A19829g
OG0001428	YDL106C	KMXK_0B06860	YALI1_A19220g
OG0001429	YMR167W	KMXK_0B06900	YALI1_C14079g
OG0001430	YDL104C	KMXK_0B06920	YALI1_D10192g
OG0001431	YMR166C	KMXK_0B06930	YALI1_F25110g
OG0001432	YMR165C	KMXK_0B06940	YALI1_D35593g
OG0001433	YLR001C	KMXK_0B06960	YALI1_B10582g
OG0001434	YJR001W	KMXK_0B06970	YALI1_F37658g
OG0001435	YJR002W	KMXK_0B06980	YALI1_B13586g
OG0001436	YLR002C	KMXK_0B06990	YALI1_D13126g
OG0001437	YJR012C	KMXK_0B07020	YALI1_A22008g
OG0001438	YJR013W	KMXK_0B07030	YALI1_A21970g
OG0001439	YGR195W	KMXK_0B07040	YALI1_D08715g
OG0001440	YLR016C	KMXK_0B07080	YALI1_D09404g
OG0001441	YJL033W	KMXK_0B07090	YALI1_A21345g
OG0001442	YJL006C	KMXK_0B07100	YALI1_E16675g
OG0001443	YJL031C	KMXK_0B07110	YALI1_E16694g
OG0001444	YJL030W	KMXK_0B07120	YALI1_E16701g
OG0001445	YJL029C	KMXK_0B07140	YALI1_D14097g
OG0001446	YJL008C	KMXK_0B07150	YALI1_D14104g
OG0001447	YLR310C	KMXK_0B07170	YALI1_D28150g
OG0001448	YLR275W	KMXK_0B07180	YALI1_F09803g
OG0001449	YLR274W	KMXK_0B07190	YALI1_A01766g
OG0001450	YDR054C	KMXK_0B07220	YALI1_C07979g
OG0001451	YBR127C	KMXK_0B07240	YALI1_E32332g
OG0001452	YPR085C	KMXK_0B07270	YALI1_B04873g
OG0001453	YPR088C	KMXK_0B07300	YALI1_F05661g
OG0001454	YPL237W	KMXK_0B07340	YALI1_E37455g
OG0001455	YPL239W	KMXK_0B07350	YALI1_B27293g
OG0001456	YMR185W	KMXK_0B07360	YALI1_C10497g
OG0001457	YHR190W	KMXK_0B07370	YALI1_A09939g
OG0001458	YHR042W	KMXK_0B07400	YALI1_D05474g
OG0001459	YDL219W	KMXK_0B07410	YALI1_D34043g
OG0001460	YNL191W	KMXK_0B07420	YALI1_F37213g
OG0001461	YNL189W	KMXK_0B07440	YALI1_F36233g
OG0001462	YDL217C	KMXK_0B07460	YALI1_F37481g
OG0001463	YDL216C	KMXK_0B07480	YALI1_E05767g
OG0001464	YDL215C	KMXK_0B07490	YALI1_E11943g
OG0001465	YNL186W	KMXK_0B07500	YALI1_D31823g
OG0001466	YNL185C	KMXK_0B07510	YALI1_D27884g
OG0001467	YDL213C	KMXK_0B07530	YALI1_E30707g
OG0001468	YNL182C	KMXK_0B07540	YALI1_D17268g
OG0001469	YNL181W	KMXK_0B07550	YALI1_D07775g
OG0001470	YNL180C	KMXK_0B07560	YALI1_E30639g
OG0001471	YNL178W	KMXK_0B07570	YALI1_E28033g
OG0001472	YDL212W	KMXK_0B07580	YALI1_E28046g
OG0001473	YNL177C	KMXK_0B07590	YALI1_E28130g
