OG #	S.cer	K.marx	Y.lipo
OG0000730	YNL139C	KMXK_0A02700	YALI1_A16509g
OG0000731	YNL152W	KMXK_0A02710	YALI1_D10067g
OG0000732	YNL151C	KMXK_0A02730	YALI1_D10033g
OG0000733	YCR024C	KMXK_0A02750	YALI1_E05833g
OG0000735	YCR027C	KMXK_0A02830	YALI1_E36404g
OG0000736	YEL013W	KMXK_0A02850	YALI1_E17037g
OG0000737	YCR019W	KMXK_0A02860	YALI1_E14889g
OG0000738	YEL012W	KMXK_0A02890	YALI1_E14910g
OG0000739	YEL011W	KMXK_0A02900	YALI1_C09072g
OG0000740	YCR017C	KMXK_0A02910	YALI1_E39656g
OG0000741	YCR015C	KMXK_0A02990	YALI1_D21464g
OG0000742	YCR014C	KMXK_0A03000	YALI1_D15367g
OG0000743	YCR012W	KMXK_0A03010	YALI1_D15424g
OG0000744	YOL023W	KMXK_0A03050	YALI1_B28572g
OG0000745	YOL022C	KMXK_0A03060	YALI1_B12243g
OG0000746	YFR009W	KMXK_0A03070	YALI1_E04420g
OG0000747	YOL021C	KMXK_0A03080	YALI1_E04359g
OG0000748	YFR010W	KMXK_0A03100	YALI1_D03663g
OG0000749	YFR011C	KMXK_0A03110	YALI1_D03701g
OG0000750	YOL018C	KMXK_0A03130	YALI1_E39306g
OG0000751	YDR021W	KMXK_0A03140	YALI1_F03973g
OG0000752	YDR023W	KMXK_0A03160	YALI1_F03908g
OG0000753	YKL070W	KMXK_0A03210	YALI1_F32441g
OG0000755	YER183C	KMXK_0A03280	YALI1_D01489g
OG0000756	YER182W	KMXK_0A03290	YALI1_F33403g
OG0000757	YHR207C	KMXK_0A03300	YALI1_D14628g
OG0000758	YHR206W	KMXK_0A03310	YALI1_D17710g
OG0000759	YMR312W	KMXK_0A03320	YALI1_D27126g
OG0000760	YMR313C	KMXK_0A03330	YALI1_D21511g
OG0000761	YMR314W	KMXK_0A03340	YALI1_C24660g
OG0000762	YMR301C	KMXK_0A03350	YALI1_E09750g
OG0000763	YMR300C	KMXK_0A03360	YALI1_B20153g
OG0000764	YGR276C	KMXK_0A03380	YALI1_B20243g
OG0000765	YGR274C	KMXK_0A03400	YALI1_F39885g
OG0000766	YMR296C	KMXK_0A03430	YALI1_C04265g
OG0000767	YGR271C-A	KMXK_0A03450	YALI1_B09258g
OG0000768	YGR271W	KMXK_0A03460	YALI1_B18451g
OG0000769	YMR293C	KMXK_0A03480	YALI1_F30703g
OG0000770	YGR270W	KMXK_0A03490	YALI1_F30647g
OG0000771	YMR292W	KMXK_0A03500	YALI1_B09279g
OG0000772	YGR268C	KMXK_0A03510	YALI1_D22413g
OG0000773	YGR267C	KMXK_0A03520	YALI1_A10254g
OG0000774	YGR266W	KMXK_0A03540	YALI1_E13428g
OG0000775	YMR290C	KMXK_0A03550	YALI1_E02317g
OG0000776	YGR264C	KMXK_0A03560	YALI1_F37354g
OG0000777	YGR262C	KMXK_0A03570	YALI1_F13046g
OG0000778	YMR289W	KMXK_0A03580	YALI1_D20061g
OG0000779	YGR261C	KMXK_0A03590	YALI1_B27015g
OG0000780	YMR288W	KMXK_0A03600	YALI1_B27102g
OG0000781	YHR187W	KMXK_0A03620	YALI1_B12427g
OG0000782	YHR186C	KMXK_0A03630	YALI1_E08271g
OG0000783	YGR258C	KMXK_0A03650	YALI1_D25616g
OG0000784	YGR257C	KMXK_0A03670	YALI1_E08253g
OG0000785	YHR183W	KMXK_0A03690	YALI1_B20462g
OG0000786	YHR181W	KMXK_0A03710	YALI1_E31974g
OG0000787	YHR175W	KMXK_0A03740	YALI1_E18990g
OG0000788	YHR172W	KMXK_0A03760	YALI1_E03449g
OG0000789	YGL008C	KMXK_0A03800	YALI1_B28659g
OG0000790	YAR008W	KMXK_0A03810	YALI1_E33858g
OG0000791	YGL006W	KMXK_0A03820	YALI1_D06195g
OG0000792	YAR007C	KMXK_0A03850	YALI1_E18854g
OG0000793	YGL003C	KMXK_0A03860	YALI1_C25629g
OG0000794	YAR003W	KMXK_0A03870	YALI1_C31576g
OG0000795	YAL001C	KMXK_0A03900	YALI1_C30614g
OG0000796	YGR001C	KMXK_0A03910	YALI1_C30683g
OG0000797	YCL001W	KMXK_0A03940	YALI1_B09568g
OG0000798	YCL004W	KMXK_0A03960	YALI1_E17162g
OG0000799	YFR025C	KMXK_0A03990	YALI1_E05963g
OG0000800	YHR020W	KMXK_0A04000	YALI1_E05929g
OG0000801	YHR019C	KMXK_0A04010	YALI1_E05907g
OG0000802	YHR018C	KMXK_0A04020	YALI1_D34865g
OG0000804	YML050W	KMXK_0A04110	YALI1_D03245g
OG0000805	YML049C	KMXK_0A04120	YALI1_D03380g
OG0000806	YML048W	KMXK_0A04130	YALI1_D03412g
OG0000807	YJR052W	KMXK_0A04170	YALI1_D26808g
OG0000808	YOR070C	KMXK_0A04180	YALI1_B15943g
OG0000809	YKR080W	KMXK_0A04190	YALI1_B15928g
OG0000810	YKR081C	KMXK_0A04200	YALI1_A04119g
OG0000811	YKR083C	KMXK_0A04220	YALI1_A17123g
OG0000812	YOR073W	KMXK_0A04230	YALI1_C09552g
OG0000813	YOR074C	KMXK_0A04240	YALI1_C15297g
OG0000814	YOR075W	KMXK_0A04250	YALI1_C15217g
OG0000815	YKR085C	KMXK_0A04280	YALI1_B12204g
OG0000816	YKR086W	KMXK_0A04290	YALI1_B12195g
OG0000817	YKR087C	KMXK_0A04300	YALI1_F13526g
OG0000818	YOR077W	KMXK_0A04310	YALI1_F10616g
OG0000819	YKR088C	KMXK_0A04320	YALI1_D24026g
OG0000820	YOR079C	KMXK_0A04350	YALI1_D24095g
OG0000821	YOL110W	KMXK_0A04380	YALI1_E03476g
OG0000822	YOL111C	KMXK_0A04390	YALI1_B22266g
OG0000823	YNL297C	KMXK_0A04430	YALI1_B29785g
OG0000824	YOL114C	KMXK_0A04450	YALI1_F17491g
OG0000825	YOR025W	KMXK_0A04540	YALI1_D02416g
OG0000826	YDR479C	KMXK_0A04560	YALI1_F26012g
OG0000827	YDR257C	KMXK_0A04580	YALI1_F35746g
OG0000828	YOR027W	KMXK_0A04590	YALI1_C12333g
OG0000829	YDR341C	KMXK_0A04610	YALI1_E21345g
OG0000830	YDR339C	KMXK_0A04620	YALI1_E27548g
OG0000831	YHR090C	KMXK_0A04640	YALI1_E17760g
OG0000832	YKL170W	KMXK_0A04700	YALI1_F23351g
OG0000833	YKL171W	KMXK_0A04710	YALI1_F21647g
OG0000834	YJL166W	KMXK_0A04720	YALI1_F02758g
OG0000835	YJL167W	KMXK_0A04730	YALI1_E06759g
OG0000836	YKL172W	KMXK_0A04740	YALI1_E06882g
OG0000837	YKL173W	KMXK_0A04750	YALI1_A21797g
OG0000838	YKL175W	KMXK_0A04770	YALI1_A01267g
OG0000839	YJL168C	KMXK_0A04790	YALI1_E21962g
OG0000840	YKL178C	KMXK_0A04810	YALI1_F15769g
OG0000841	YJL176C	KMXK_0A04850	YALI1_F21426g
OG0000842	YKL179C	KMXK_0A04860	YALI1_C26051g
OG0000843	YJL179W	KMXK_0A04890	YALI1_C22816g
OG0000844	YJL183W	KMXK_0A04920	YALI1_F23157g
OG0000845	YCR028C-A	KMXK_0A04950	YALI1_E34028g
OG0000846	YKR065C	KMXK_0A04980	YALI1_B04470g
OG0000847	YKR063C	KMXK_0A05010	YALI1_D23575g
OG0000848	YKR062W	KMXK_0A05030	YALI1_F19180g
OG0000849	YJL145W	KMXK_0A05060	YALI1_D11354g
OG0000850	YGR286C	KMXK_0A05070	YALI1_D18845g
OG0000851	YJL143W	KMXK_0A05090	YALI1_E18184g
OG0000852	YJL141C	KMXK_0A05100	YALI1_C23818g
OG0000853	YJL140W	KMXK_0A05110	YALI1_C17949g
OG0000854	YKR060W	KMXK_0A05130	YALI1_F27132g
