"genes","direction"
"KMXK_0D03290","up"
"KMXK_0H04240","up"
"KMXK_0F03570","up"
"KMXK_0C03470","up"
"KMXK_0A04670","up"
"KMXK_0E04700","up"
"KMXK_0B07320","up"
"KMXK_0F05360","up"
"KMXK_0F03560","up"
"KMXK_0D02430","up"
"KMXK_0C03250","down"
"KMXK_0F05310","up"
"KMXK_0H01760","up"
"KMXK_0F05010","up"
"KMXK_0A03250","up"
"KMXK_0C03100","up"
"KMXK_0B07790","up"
"KMXK_0A06210","up"
"KMXK_0G02940","up"
"KMXK_0E03660","up"
"KMXK_0F00910","up"
"KMXK_0A01250","down"
"KMXK_0H00910","up"
"KMXK_0B02250","down"
"KMXK_0B07200","up"
"KMXK_0B01360","up"
"KMXK_0F00970","up"
"KMXK_0D05680","up"
"KMXK_0F01910","up"
"KMXK_0D06130","up"
"KMXK_0G02460","up"
"KMXK_0D06570","up"
"KMXK_0A05220","up"
"KMXK_0C06130","up"
"KMXK_0F01580","up"
"KMXK_0B05380","up"
"KMXK_0C02510","up"
"KMXK_0G00710","up"
"KMXK_0D01240","up"
"KMXK_0B01640","down"
"KMXK_0D05180","up"
"KMXK_0B03110","down"
"KMXK_0C02630","up"
"KMXK_0H00220","down"
"KMXK_0F02980","down"
"KMXK_0A01630","up"
"KMXK_0C03950","up"
"KMXK_0A07630","up"
"KMXK_0B03310","down"
"KMXK_0A00380","down"
"KMXK_0D01010","down"
"KMXK_0G02260","up"
"KMXK_0A04140","down"
