genes,direction
YALI1_E07899g,down
YALI1_E41251g,down
YALI1_E32603g,down
YALI1_E36437g,mixed
YALI1_A22454g,up
YALI1_E09329g,down
YALI1_B18572g,mixed
YALI1_A15105g,up
YALI1_E02906g,down
YALI1_C31408g,mixed
YALI1_D07162g,down
YALI1_C24891g,down
YALI1_E17389g,up
YALI1_A22539g,up
YALI1_E24343g,down
YALI1_C05264g,up
YALI1_D00474g,down
YALI1_A06099g,down
YALI1_C29506g,up
YALI1_F37320g,up
YALI1_C10203g,down
YALI1_E07234g,up
YALI1_E02481g,down
YALI1_E09241g,down
YALI1_A16292g,down
YALI1_F23664g,up
YALI1_F38191g,up
YALI1_C32886g,down
YALI1_B29419g,up
YALI1_E31005g,down
YALI1_D26263g,up
YALI1_E27441g,up
YALI1_A10857g,down
YALI1_B25553g,down
YALI1_C26377g,up
YALI1_D13510g,down
YALI1_F36733g,down
YALI1_D26051g,down
YALI1_D18408g,down
YALI1_C30320g,down
YALI1_D02444g,down
YALI1_B24638g,up
YALI1_D31155g,down
YALI1_B12409g,down
YALI1_D04128g,down
YALI1_F37463g,down
YALI1_D12832g,down
YALI1_D13545g,up
YALI1_C29676g,up
YALI1_F12138g,up
YALI1_F37714g,up
YALI1_D00888g,down
YALI1_D16151g,up
YALI1_D10197g,down
YALI1_F06351g,down
YALI1_B24351g,up
YALI1_A20995g,down
YALI1_B05798g,up
YALI1_B14121g,down
YALI1_E41367g,up
YALI1_F02309g,down
YALI1_D23067g,down
YALI1_D09566g,up
YALI1_E16556g,down
YALI1_E41276g,down
YALI1_F29395g,down
YALI1_E07347g,up
YALI1_E23610g,up
YALI1_C15964g,down
YALI1_F14729g,down
YALI1_F21875g,up
YALI1_F37508g,up
YALI1_F03136g,up
YALI1_F13875g,up
YALI1_A05459g,down
YALI1_E12793g,up
YALI1_C14273g,down
YALI1_C05088g,up
YALI1_C28310g,up
YALI1_D10458g,down
YALI1_E14234g,down
YALI1_E25267g,down
YALI1_F27667g,down
YALI1_D22834g,down
YALI1_F01456g,up
YALI1_E38706g,up
YALI1_F34324g,up
YALI1_F06262g,down
YALI1_F02545g,down
YALI1_D30866g,down
YALI1_C15297g,down
YALI1_B14680g,up
YALI1_F00654g,up
YALI1_E29930g,up
YALI1_F31744g,up
YALI1_B21562g,down
YALI1_E27625g,up
YALI1_D30196g,down
YALI1_A17957g,up
YALI1_C30706g,down
YALI1_E08828g,up
YALI1_F31531g,up
YALI1_F09996g,down
YALI1_B16022g,up
YALI1_C09200g,down
