"genes","direction"
"KMXK0C07260","up"
"KMXK0D03410","up"
"KMXK0F03310","up"
"KMXK0G00220","down"
"KMXK0D02910","up"
"KMXK0B03310","down"
"KMXK0D01300","up"
"KMXK0H00910","down"
"KMXK0D04670","down"
"KMXK0E04050","up"
"KMXK0C03100","up"
"KMXK0C06270","up"
"KMXK0H03280","mixed"
"KMXK0E02690","mixed"
"KMXK0D02960","up"
"KMXK0D01720","down"
"KMXK0B04700","down"
"KMXK0H03120","down"
"KMXK0G02530","down"
"KMXK0C00370","down"
"KMXK0D01260","down"
"KMXK0E05350","down"
"KMXK0D01520","up"
"KMXK0A06810","up"
"KMXK0G03730","up"
"KMXK0F00530","up"
"KMXK0B01350","up"
"KMXK0F00540","up"
"KMXK0E03710","up"
"KMXK0E00610","up"
"KMXK0A06440","down"
"KMXK0F04540","down"
"KMXK0F05620","up"
"KMXK0C03420","down"
"KMXK0A04140","mixed"
"KMXK0B02360","down"
"KMXK0D04290","up"
"KMXK0D06590","down"
"KMXK0A02350","up"
"KMXK0A01100","up"
"KMXK0A06730","up"
"KMXK0B01120","down"
"KMXK0H03460","up"
"KMXK0A05070","up"
"KMXK0C05200","down"
"KMXK0E00700","up"
"KMXK0D02920","up"
"KMXK0H04310","up"
"KMXK0E02410","down"
"KMXK0G04240","down"
"KMXK0A02460","mixed"
"KMXK0C07380","down"
"KMXK0F02510","up"
"KMXK0G00120","down"
"KMXK0C00790","up"
"KMXK0D04300","up"
"KMXK0E04700","down"
"KMXK0C06680","down"
"KMXK0A06560","up"
"KMXK0F03300","up"
"KMXK0F00970","down"
"KMXK0H02920","down"
"KMXK0C04210","up"
"KMXK0A04360","up"
"KMXK0G01020","up"
"KMXK0C03390","down"
"KMXK0D01860","down"
"KMXK0B00590","up"
"KMXK0B06020","down"
"KMXK0B04980","down"
"KMXK0A01380","down"
"KMXK0C00390","up"
"KMXK0A08360","up"
"KMXK0C00850","up"
"KMXK0C02570","up"
"KMXK0B05890","up"
"KMXK0C06240","down"
"KMXK0D06310","up"
"KMXK0H03480","down"
"KMXK0B02110","down"
"KMXK0D02880","up"
"KMXK0G03270","up"
"KMXK0A01000","down"
"KMXK0G03090","down"
"KMXK0A06710","up"
"KMXK0E04070","down"
"KMXK0A08290","down"
"KMXK0B02660","down"
"KMXK0A04590","up"
"KMXK0C04390","up"
"KMXK0F03920","up"
"KMXK0D04010","up"
"KMXK0F04530","down"
"KMXK0D00710","up"
"KMXK0B08090","down"
"KMXK0D03400","mixed"
"KMXK0G03010","down"
"KMXK0D05590","mixed"
"KMXK0E05730","down"
"KMXK0D05440","up"
"KMXK0B04730","up"
"KMXK0D01880","down"
"KMXK0A04840","mixed"
"KMXK0H01760","down"
"KMXK0C01690","up"
"KMXK0D03830","up"
"KMXK0H02470","up"
"KMXK0E05410","up"
"KMXK0A06830","down"
"KMXK0D06280","up"
"KMXK0E00600","up"
"KMXK0A02950","down"
"KMXK0E04560","down"
"KMXK0A06450","down"
"KMXK0G03440","up"
"KMXK0H02410","down"
"KMXK0F05630","up"
"KMXK0A01830","up"
"KMXK0C03160","up"
"KMXK0F02060","up"
"KMXK0B02340","down"
"KMXK0A02830","up"
"KMXK0A05160","down"
"KMXK0C05870","down"
"KMXK0G00130","down"
"KMXK0C04430","up"
"KMXK0E00250","down"
"KMXK0B02780","down"
"KMXK0B02770","down"
"KMXK0G03800","down"
"KMXK0D01560","up"
"KMXK0G01260","down"
"KMXK0D00130","mixed"
"KMXK0A00650","down"
"KMXK0G02800","up"
"KMXK0G03980","up"
"KMXK0H04290","down"
"KMXK0E03530","mixed"
"KMXK0E02300","down"
"KMXK0C03220","up"
"KMXK0D00840","up"
"KMXK0B01550","up"
"KMXK0E05330","down"
"KMXK0D05700","up"
"KMXK0E04790","up"
"KMXK0B07600","mixed"
"KMXK0B04400","up"
"KMXK0B02910","down"
"KMXK0A02800","down"
"KMXK0C01120","down"
"KMXK0D06480","up"
"KMXK0A07690","down"
"KMXK0B08280","up"
"KMXK0B01990","down"
"KMXK0E06050","down"
"KMXK0G01500","up"
"KMXK0G03540","up"
"KMXK0E02730","down"
"KMXK0B06400","up"
