"genes","direction"
"YALI0_B04202g","up"
"YALI0_D25014g","down"
"YALI0_E31130g","down"
"YALI0_F19822g","down"
"YALI0_E31108g","down"
"YALI0_F31735g","down"
"YALI0_A12353g","up"
"YALI0_F05016g","down"
"YALI0_D22396g","down"
"YALI0_A20350g","down"
"YALI0_F22825g","down"
"YALI0_F20570g","down"
"YALI0_D17622g","down"
"YALI0_C16346g","down"
"YALI0_A08426g","down"
"YALI0_D04851g","down"
"YALI0_A02783g","down"
"YALI0_E24673g","down"
"YALI0_E19943g","down"
"YALI0_A16379g","up"
"YALI0_C14344g","up"
"YALI0_F13343g","down"
"YALI0_F11825g","down"
