NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK_0H01290	W0TFZ4	KLMA_70130	6.850130338	6.729583094	6.76707777	6.600435302	6.688130145	6.589145579	6.778739249	6.763245987	6.483142916	6.745941291	6.804285175	6.737038944
KMXK_0B03480	W0T7N1	KLMA_20333	6.642039559	6.846605003	6.865922936	8.37475263	6.882842058	7.141022561	6.770074624	6.564161365	6.814609336	7.314881312	6.863508355	7.071072616
KMXK_0C05480	W0TAN3	KLMA_30551	7.140223701	6.956468906	6.876199859	6.871918872	6.763347746	6.93196181	7.049952744	6.951829987	7.175235707	6.886715538	6.979948163	6.735731968
KMXK_0C05730	W0TA18	KLMA_30573	6.632818565	6.697408004	7.107724326	7.007924766	7.232271859	7.17241577	6.922732279	6.990338394	6.69656485	7.083314327	7.151020959	6.879601513
KMXK_0A00820	W0T5R2	KLMA_10756	6.682784955	6.610240099	6.89229973	6.690513369	7.177253461	6.989973202	6.588927459	6.839575872	6.618321617	6.838125861	6.92664541	6.850352182
KMXK_0G02080	W0TK22	KLMA_80198	7.30753919	7.306126464	7.283227825	6.791206954	7.336407083	6.613934139	6.958926575	7.378403055	7.389770597	6.974565718	6.972343621	7.044987939
KMXK_0A03360	W0T3E2	KLMA_10505	6.362321656	6.374643777	6.458189732	6.520398927	6.912675298	6.422655967	5.875526616	6.613465269	6.238161119	6.596035896	6.547667321	6.688179449
KMXK_0C04100	W0T9H7	KLMA_30413	6.671141382	6.514152307	6.483656174	6.742525259	6.801803099	6.674747468	6.600796405	6.650013189	6.322278938	6.489223736	6.65024083	6.643975516
KMXK_0A05410	W0T4H9	KLMA_10321	6.646639361	6.440968422	6.710815598	6.706832771	6.771338474	6.732362272	6.555446374	6.65438746	6.147754594	6.748697997	6.6983213	6.700363809
KMXK_0H00490	W0TIE1	KLMA_70051	7.187059384	7.200633821	7.209264649	7.216477144	6.729413645	7.275050422	7.502946403	7.187267593	7.53878867	6.899147467	7.201966643	7.046560858
KMXK_0A00610	W0T6I7	KLMA_10779	7.330032919	7.435182164	7.701090396	7.360498091	7.491691637	7.273955857	7.497789507	7.573897579	7.338507585	7.621570542	7.648405728	7.631393068
KMXK_0B02780	W0T7C7	KLMA_20263	7.020316889	7.494079101	7.804969078	7.222236075	7.367210311	7.25555448	7.403227281	7.376701174	7.379490986	7.574099077	7.687480834	7.7267762
KMXK_0H00920	W0TFW4	KLMA_70095	7.827269796	7.588792686	7.724045262	7.708784687	7.901704362	7.684375454	7.600089265	7.590265997	7.675582	7.660278272	7.43842174	7.60406755
KMXK_0C06590	W0T976	KLMA_30660	6.967137252	7.224490856	6.898149364	7.194066542	7.306194985	7.04070036	7.32623454	7.288727375	7.217473049	7.197609307	6.768250674	7.017826774
KMXK_0D04620	W0TED8	KLMA_40440	6.721485282	7.014679155	6.982278174	7.284429512	6.99676278	6.900183061	7.125888222	7.175334171	7.097741878	7.202867789	7.084672866	7.185411486
KMXK_0G02490	W0TK60	KLMA_80238	6.67614212	6.553489572	6.687290815	6.099965796	6.808215764	6.299564319	6.317672168	6.375699246	6.188938251	6.340647117	6.193522558	6.304582949
KMXK_0E02750	W0TDQ0	KLMA_50272	6.763562029	7.265286071	NA	6.839369004	7.007605168	6.746238554	7.317538266	7.380524195	6.695766235	6.624355966	6.567566973	6.703315702
KMXK_0D05500	W0TBZ0	KLMA_40524	6.190354159	6.512134818	6.503414246	6.447264701	6.509773672	NA	5.784310023	6.468541918	NA	6.872101242	6.687431739	6.578136425
KMXK_0C02740	W0T828	KLMA_30275	7.720932003	7.001191744	NA	6.711906164	7.036338197	6.774850869	6.963933973	7.070932802	7.094960716	6.99279854	7.091903787	7.04422548
KMXK_0E03060	W0TC20	KLMA_50301	6.782057672	6.723961386	7.042382967	6.873034391	7.020774195	7.091578782	6.784836897	6.904093396	7.176442172	7.058672792	6.987277191	7.067339626
KMXK_0B00870	W0T649	KLMA_20075	7.135233802	7.235238635	6.787274115	6.974880154	NA	6.84622921	7.127873522	7.170074638	7.007097813	7.128047452	7.277766746	7.254290069
KMXK_0F01320	W0TFX9	KLMA_60430	5.440061715	5.990780543	NA	NA	6.659792562	6.750823886	6.566838407	6.591668189	5.730840737	NA	6.273083952	5.951019005
KMXK_0D02500	W0TBQ1	KLMA_40227	7.06537556	7.004516167	7.343502059	7.942703903	7.24752201	7.358020635	7.563545056	7.425921576	7.614876065	7.110404121	7.335009163	7.411918504
