genes,direction
CENPK1137D_1370,down
CENPK1137D_1387,down
CENPK1137D_3123,down
CENPK1137D_3054,mixed
CENPK1137D_5159,mixed
CENPK1137D_3004,up
CENPK1137D_2847,up
CENPK1137D_5307,up
CENPK1137D_2801,down
CENPK1137D_4696,mixed
CENPK1137D_1419,down
CENPK1137D_4871,up
CENPK1137D_3551,up
CENPK1137D_812,down
CENPK1137D_4777,down
CENPK1137D_2199,up
CENPK1137D_4061,down
CENPK1137D_174,down
CENPK1137D_3752,down
CENPK1137D_4507,mixed
CENPK1137D_577,down
CENPK1137D_4598,down
CENPK1137D_3813,up
CENPK1137D_3383,down
CENPK1137D_1088,up
CENPK1137D_2503,down
CENPK1137D_5411,down
CENPK1137D_33,up
CENPK1137D_4048,down
CENPK1137D_2050,up
CENPK1137D_4276,down
CENPK1137D_888,up
CENPK1137D_2636,up
CENPK1137D_1155,down
CENPK1137D_5073,up
CENPK1137D_5289,down
CENPK1137D_4257,down
CENPK1137D_1620,down
CENPK1137D_3336,down
CENPK1137D_3977,down
CENPK1137D_4577,down
CENPK1137D_1914,down
CENPK1137D_175,down
CENPK1137D_5343,up
CENPK1137D_3343,down
CENPK1137D_1304,mixed
CENPK1137D_4081,down
CENPK1137D_3,down
CENPK1137D_3051,down
CENPK1137D_3482,down
CENPK1137D_2083,down
CENPK1137D_148,down
CENPK1137D_2899,down
CENPK1137D_564,down
CENPK1137D_5234,down
CENPK1137D_5109,down
CENPK1137D_451,down
CENPK1137D_153,down
CENPK1137D_2384,down
CENPK1137D_98,up
CENPK1137D_3045,down
CENPK1137D_3530,down
CENPK1137D_3647,down
CENPK1137D_1274,down
CENPK1137D_3142,down
CENPK1137D_5241,up
CENPK1137D_3859,up
CENPK1137D_3157,down
CENPK1137D_728,down
CENPK1137D_3605,down
CENPK1137D_4969,up
CENPK1137D_2934,mixed
CENPK1137D_374,down
CENPK1137D_272,mixed
CENPK1137D_4526,down
CENPK1137D_4815,down
CENPK1137D_2396,up
CENPK1137D_3744,down
CENPK1137D_2442,up
CENPK1137D_2698,down
CENPK1137D_5287,down
CENPK1137D_435,down
CENPK1137D_1958,down
CENPK1137D_583,up
CENPK1137D_426,down
CENPK1137D_4103,up
CENPK1137D_3742,down
CENPK1137D_3135,up
CENPK1137D_429,down
CENPK1137D_3984,up
CENPK1137D_4294,up
CENPK1137D_3166,down
CENPK1137D_2840,down
CENPK1137D_4530,down
CENPK1137D_75,up
CENPK1137D_2390,down
CENPK1137D_4366,up
CENPK1137D_1043,up
CENPK1137D_684,down
