genes	orthology	s288c
CENPK1137D_902	C+H	YKL099C
CENPK1137D_1520	C+H	YJL109C
CENPK1137D_3769	C+H	YDL058W
CENPK1137D_3768	C+H	YDL058W
CENPK1137D_2876	C+H	YGL098W
CENPK1137D_5054	C+H	YIL008W
CENPK1137D_2688	C+H	YNR012W
CENPK1137D_981	C+H	YKL024C
CENPK1137D_3634	C+H	YEL021W
CENPK1137D_1503	C+H	YJL130C
CENPK1137D_1174	C+H	YKL216W
CENPK1137D_4011	C+H	YDR185C
CENPK1137D_548	C+H	YLR168C
CENPK1137D_572	C+H	YLR193C
CENPK1137D_6	C+H	YML021C
CENPK1137D_2545	C+H	
CENPK1137D_4727	C+H	YBR173C
CENPK1137D_1681	C+H	YPL020C
CENPK1137D_1698	C+H	YPL003W
CENPK1137D_970	C+H	YKL035W
CENPK1137D_3942	C+H	YDL210W
CENPK1137D_4550	C+H	YBR006W
CENPK1137D_2989	C+H	YGR019W
CENPK1137D_997	C+H	YKL010C
CENPK1137D_4142	C+H	YDL190C
CENPK1137D_3015	C+H	YGR048W
CENPK1137D_4831	C+H	YBR273C
CENPK1137D_1254	C+H	YJL048C
CENPK1137D_4158	C+H	YDR330W
CENPK1137D_96	C+H	YMR067C
CENPK1137D_3734	C+H	YDL091C
CENPK1137D_869	C+H	YLR024C
CENPK1137D_3148	C+H	YGR184C
CENPK1137D_262	C+H	YMR223W
CENPK1137D_3392	C+H	YFR010W
CENPK1137D_3557	C+H	YER144C
CENPK1137D_3565	C+H	YER151C
CENPK1137D_2142	C+H	YOR124C
CENPK1137D_349	C+H	YMR304W
CENPK1137D_1329	C+H	YJL197W
CENPK1137D_551	C+H	YLL039C
CENPK1137D_3762	C+H	YDL064W
CENPK1137D_3645	C+H	YEL012W
CENPK1137D_52	C+H	YMR022W
CENPK1137D_3513	C+H	YER100W
CENPK1137D_3916	C+H	YDR092W
CENPK1137D_2355	C+H	YOR339C
CENPK1137D_5257	C+H	YHR111W
CENPK1137D_1765	C+H	YPR066W
CENPK1137D_4218	C+H	YDR390C
CENPK1137D_936	C+H	YKL210W
CENPK1137D_2311	C+H	YOR295W
CENPK1137D_2921	C+H	YGL050W
CENPK1137D_1918	C+H	YPL207W
CENPK1137D_3149	C+H	YGR185C
CENPK1137D_2360	C+H	YOR344C
CENPK1137D_3044	C+H	YGR080W
CENPK1137D_1100	C+H	YKR088C
CENPK1137D_3906	C+H	YDR084C
CENPK1137D_2266	C+H	YOR251C
CENPK1137D_2203	C+H	YOR187W
CENPK1137D_590	C+H	YLR212C
CENPK1137D_3345	C+H	YFL037W
CENPK1137D_1998	C+H	YOL022C
CENPK1137D_2028	C+H	YOR006C
CENPK1137D_804	C+H	YLR435W
CENPK1137D_3766	C+H	YDL060W
CENPK1137D_3809	C+H	YDL015C
CENPK1137D_3506	C+H	YER093C
CENPK1137D_4824	C+H	YBR265W
CENPK1137D_424	C+H	YML028W
CENPK1137D_1090	C+H	YKR079C
CENPK1137D_3175	C+H	YGR209C
CENPK1137D_2133	C+H	YOR115C
CENPK1137D_4299	C+H	YDR472W
CENPK1137D_4070	C+H	YDR246W
CENPK1137D_4812	C+H	YBR254C
CENPK1137D_256	C+H	YMR218C
CENPK1137D_4235	C+H	YDR407C
CENPK1137D_3987	C+H	YDR165W
CENPK1137D_4042	C+H	YDL201W
CENPK1137D_299	C+H	YMR259C
CENPK1137D_4605	C+H	YBR061C
CENPK1137D_5213	C+H	YHR070W
CENPK1137D_1671	C+H	YPL030W
CENPK1137D_3713	C+H	YDL112W
CENPK1137D_1065	C+H	YKR056W
CENPK1137D_2259	C+H	YOL125W
CENPK1137D_23	C+H	YML005W
CENPK1137D_2724	C+H	YNR046W
CENPK1137D_2270	C+H	YOL124C
CENPK1137D_2424	C+H	YOL093W
CENPK1137D_3943	C+H	YDR120C
CENPK1137D_273	C+H	YMR233W
CENPK1137D_5244	C+H	YHR099W
CENPK1137D_2415	C+H	YOL102C
CENPK1137D_188	C+H	YMR156C
CENPK1137D_5118	C+H	YIL138C
CENPK1137D_2600	C+H	YNL079C
CENPK1137D_1921	C+H	YPL203W
CENPK1137D_3869	C+H	YDR050C
CENPK1137D_3063	C+H	YGR096W
CENPK1137D_3453	C+H	YER049W
CENPK1137D_2878	C+H	YGL096W
CENPK1137D_3283	C+H	YGL179C
CENPK1137D_611	C+H	YLR234W
CENPK1137D_2590	C+H	YNL088W
CENPK1137D_2016	C+H	YOL006C
CENPK1137D_240	C+H	YMR203W
CENPK1137D_3048	C+H	YGR082W
CENPK1137D_1209	C+H	YJL093C
CENPK1137D_2767	C+H	YNL273W
CENPK1137D_948	C+H	YKL058W
CENPK1137D_2212	C+H	YOR194C
CENPK1137D_3590	C+H	YER175C
CENPK1137D_3927	C+H	YDR105C
CENPK1137D_3938	C+H	YDR117C
CENPK1137D_2109	C+H	YOR091W
CENPK1137D_310	C+H	YMR269W
CENPK1137D_1312	C+H	YJR014W
CENPK1137D_3663	C+H	YER007C-A
CENPK1137D_950	C+H	YKL056C
CENPK1137D_2002	C+H	YOL018C
CENPK1137D_521	C+H	YLR136C
CENPK1137D_1741	C+H	YPR040W
CENPK1137D_3635	C+H	YEL020W-A
CENPK1137D_1432	C+H	YJR135W-A
CENPK1137D_1638	C+H	YPL063W
CENPK1137D_5037	C+H	YIL022W
CENPK1137D_2694	C+H	YNR017W
CENPK1137D_3864	C+H	YDL217C
CENPK1137D_1489	C+H	YJL143W
CENPK1137D_3147	C+H	YGR181W
CENPK1137D_5397	C+H	YHR005C-A
CENPK1137D_1717	C+H	YPR016C
CENPK1137D_1742	C+H	YPR041W
CENPK1137D_4257	C+H	YDR429C
CENPK1137D_178	C+H	YMR146C
CENPK1137D_300	C+H	YMR260C
CENPK1137D_5179	C+H	YIL078W
CENPK1137D_4407	C+H	YCR053W
CENPK1137D_1747	C+H	YPR045C
CENPK1137D_2540	C+H	YNL139C
CENPK1137D_2160	C+H	YOR143C
CENPK1137D_1541	C+H	YPL157W
CENPK1137D_1167	C+H	YKL140W
CENPK1137D_557	C+H	YLR178C
CENPK1137D_2976	C+H	YGR005C
CENPK1137D_3014	C+H	YGR047C
CENPK1137D_4670	C+H	YBR123C
CENPK1137D_3901	C+H	YDR079C-A
CENPK1137D_1757	C+H	YPR056W
CENPK1137D_4285	C+H	YDR460W
CENPK1137D_1577	C+H	YPL122C
CENPK1137D_4136	C+H	YDR311W
CENPK1137D_1072	C+H	YKR062W
CENPK1137D_976	C+H	YKL028W
CENPK1137D_2787	C+H	YNL253W
CENPK1137D_1316	C+H	YJR019C
CENPK1137D_2552	C+H	YNL128W
CENPK1137D_4632	C+H	YBL088C
CENPK1137D_4664	C+H	YPR080W YBR118W
CENPK1137D_4628	C+H	YBR083W
CENPK1137D_4779	C+H	YBR223C
CENPK1137D_1411	C+H	YJR116W
CENPK1137D_4036	C+H	YDR212W
CENPK1137D_1833	C+H	YPR140W
CENPK1137D_1219	C+H	YJL083W
CENPK1137D_59	C+H	YMR028W
CENPK1137D_5128	C+H	YIL129C
CENPK1137D_3023	C+H	YGL232W
CENPK1137D_3013	C+H	YGR046W
CENPK1137D_1750	C+H	YPR048W
CENPK1137D_276	C+H	YMR236W
CENPK1137D_79	C+H	YML114C
CENPK1137D_266	C+H	YMR227C
CENPK1137D_2863	C+H	YGL112C
CENPK1137D_4750	C+H	YBR198C
CENPK1137D_4535	C+H	YCR042C
CENPK1137D_257	C+H	YML098W
CENPK1137D_3969	C+H	YDR145W
CENPK1137D_12	C+H	YML015C
CENPK1137D_3989	C+H	YDR167W
CENPK1137D_3240	C+H	YGR274C
CENPK1137D_4819	C+H	YBR261C
CENPK1137D_689	C+H	YLR316C
CENPK1137D_1267	C+H	YJL035C
CENPK1137D_2923	C+H	YGL243W
CENPK1137D_1290	C+H	YJL004C
CENPK1137D_626	C+H	YLR251W
CENPK1137D_1595	C+H	YPL105C
CENPK1137D_5013	C+H	YIL047C
CENPK1137D_4245	C+H	YDR416W
CENPK1137D_2185	C+H	YOR166C
CENPK1137D_4162	C+H	YDR334W
CENPK1137D_3970	C+H	YDR146C
CENPK1137D_1459	C+H	YJL176C
CENPK1137D_1684	C+H	YPL016W
CENPK1137D_1418	C+H	YJL187C
CENPK1137D_4728	C+H	YBR175W
CENPK1137D_988	C+H	YKL018W
CENPK1137D_4983	C+H	YAR003W
CENPK1137D_4786	C+H	YBR231C
CENPK1137D_2973	C+H	YGR002C
CENPK1137D_4146	C+H	YDR320C
CENPK1137D_5332	C+H	YHR181W
CENPK1137D_1672	C+H	YPL029W
CENPK1137D_4659	C+H	YBR111W-A
CENPK1137D_4692	C+H	YBR143C
CENPK1137D_3995	C+H	YDR172W
CENPK1137D_1821	C+H	YPL237W
CENPK1137D_1302	C+H	YJR007W
CENPK1137D_2795	C+H	YNL244C
CENPK1137D_3742	C+H	YDL084W
CENPK1137D_71	C+H	YMR039C
CENPK1137D_1784	C+H	YPR086W
CENPK1137D_3293	C+H	YGL169W
CENPK1137D_430	C+H	YLR045C
CENPK1137D_678	C+H	YLR305C
CENPK1137D_2949	C+H	YGL022W
CENPK1137D_4489	C+H	YCL008C
CENPK1137D_156	C+H	YMR125W
CENPK1137D_2049	C+H	YOR027W
CENPK1137D_3693	C+H	YDL130W-A
CENPK1137D_947	C+H	YKL209C
CENPK1137D_2229	C+H	YOR212W
CENPK1137D_1412	C+H	YJR117W
CENPK1137D_758	C+H	YLR389C
CENPK1137D_5383	C+H	YHL007C
CENPK1137D_4238	C+H	YDR410C
CENPK1137D_2817	C+H	YNL222W
CENPK1137D_3910	C+H	YDR086C
CENPK1137D_2652	C+H	YNL025C
CENPK1137D_1659	C+H	YPL042C
CENPK1137D_5030	C+H	YIL030C
CENPK1137D_5114	C+H	YIL143C
CENPK1137D_850	C+H	YLR005W
CENPK1137D_1336	C+H	YJR045C
CENPK1137D_3515	C+H	YER103W
CENPK1137D_4754	C+H	YBL075C
CENPK1137D_1152	C+H	YKL218C
CENPK1137D_918	C+H	YKL086W
CENPK1137D_2541	C+H	YNL138W
CENPK1137D_1915	C+H	YPL210C
CENPK1137D_1767	C+H	YPL243W
CENPK1137D_1785	C+H	YPR088C
CENPK1137D_1154	C+H	YKL154W
CENPK1137D_4114	C+H	YDR292C
CENPK1137D_2493	C+H	YNL189W
CENPK1137D_4460	C+H	YCL037C
CENPK1137D_2877	C+H	YGL097W
CENPK1137D_419	C+H	YML034W
CENPK1137D_4133	C+H	YDR308C
CENPK1137D_3083	C+H	YGR116W
CENPK1137D_18	C+H	YML010W
CENPK1137D_3030	C+H	YGR063C
CENPK1137D_4221	C+H	YDR392W
CENPK1137D_985	C+H	YKL020C
CENPK1137D_3257	C+H	YGL207W
CENPK1137D_3562	C+H	YER148W
CENPK1137D_1952	C+H	YPL175W
CENPK1137D_2480	C+H	YNL202W
CENPK1137D_4349	C+H	YDR523C
CENPK1137D_795	C+H	YLR424W
CENPK1137D_2164	C+H	YOR148C
CENPK1137D_1561	C+H	YPL138C
CENPK1137D_47	C+H	YMR017W
CENPK1137D_1042	C+H	YKR031C
CENPK1137D_5308	C+H	YHL022C
CENPK1137D_2663	C+H	YNL012W
CENPK1137D_1825	C+H	YPR133C
CENPK1137D_3624	C+H	YEL031W
CENPK1137D_1769	C+H	YPR069C
CENPK1137D_1969	C+H	YOL052C
CENPK1137D_1126	C+H	YKL184W
CENPK1137D_2554	C+H	YNL126W
CENPK1137D_5324	C+H	YHR172W
CENPK1137D_4931	C+H	YAL047C
CENPK1137D_452	C+H	YLR066W
CENPK1137D_4181	C+H	YDR356W
CENPK1137D_3380	C+H	YFL002C
CENPK1137D_4433	C+H	YCL054W
CENPK1137D_4910	C+H	
CENPK1137D_4446	C+H	
CENPK1137D_3215	C+H	YGR248W
CENPK1137D_5314	C+H	YHR163W
CENPK1137D_3830	C+H	YDR006C
CENPK1137D_2848	C+H	YGL127C
CENPK1137D_2368	C+H	YOR353C
CENPK1137D_827	C+H	YLL011W
CENPK1137D_5400	C+H	YHR008C
CENPK1137D_1398	C+H	YJR104C
CENPK1137D_1266	C+H	YJL036W
CENPK1137D_2373	C+H	YOR357C
CENPK1137D_2327	C+H	YOR308C
CENPK1137D_3728	C+H	YDL098C
CENPK1137D_3628	C+H	YEL026W
CENPK1137D_4529	C+H	YCR033W
CENPK1137D_5001	C+H	YIL061C
CENPK1137D_1699	C+H	YPL002C
CENPK1137D_872	C+H	YLR025W
CENPK1137D_2860	C+H	YGL115W
CENPK1137D_2306	C+H	YOR290C YIL126W
CENPK1137D_2700	C+H	YNR023W
CENPK1137D_4303	C+H	YDR477W
CENPK1137D_2344	C+H	YOR327C
CENPK1137D_4951	C+H	YAL030W
CENPK1137D_4726	C+H	YBR172C
CENPK1137D_1874	C+H	YPR182W
CENPK1137D_3365	C+H	YFL017W-A
CENPK1137D_4337	C+H	YDR510W
CENPK1137D_2165	C+H	YOR149C
CENPK1137D_4734	C+H	YBR182C
CENPK1137D_2691	C+H	YNR015W
CENPK1137D_883	C+H	YLR034C
CENPK1137D_5447	C+H	YHR050W
CENPK1137D_2293	C+H	YOL122C
CENPK1137D_2176	C+H	YOR159C
CENPK1137D_533	C+H	YLR147C
CENPK1137D_652	C+H	YLR275W
CENPK1137D_752	C+H	YLR383W
CENPK1137D_1985	C+H	YOL034W
CENPK1137D_472	C+H	YLR086W
CENPK1137D_1226	C+H	YJL074C
CENPK1137D_3414	C+H	YFR031C
CENPK1137D_3375	C+H	YFL008W
CENPK1137D_3429	C+H	YER029C
CENPK1137D_2325	C+H	YOR307C
CENPK1137D_4014	C+H	YDR189W
CENPK1137D_3529	C+H	YER116C
CENPK1137D_4782	C+H	YBR228W
CENPK1137D_3912	C+H	YDR088C
CENPK1137D_2171	C+H	YOR154W
CENPK1137D_4519	C+H	YCR024C
CENPK1137D_3794	C+H	YDL033C
CENPK1137D_2030	C+H	YOR008C
CENPK1137D_4342	C+H	YDR515W
CENPK1137D_4316	C+H	YDR489W
CENPK1137D_3775	C+H	YDL052C
CENPK1137D_2797	C+H	YNL243W
CENPK1137D_254	C+H	YMR216C
CENPK1137D_4860	C+H	YBL061C
CENPK1137D_4156	C+H	YDR328C
CENPK1137D_2512	C+H	YNL167C
CENPK1137D_3160	C+H	YGR195W
CENPK1137D_1882	C+H	YPR189W
CENPK1137D_769	C+H	YLR398C
CENPK1137D_4237	C+H	YDR409W
CENPK1137D_3780	C+H	YDL047W
CENPK1137D_2668	C+H	YNL007C
CENPK1137D_3256	C+H	YGL208W
CENPK1137D_2018	C+H	YOL004W
CENPK1137D_1988	C+H	YOL031C
CENPK1137D_4648	C+H	YBR103W
CENPK1137D_3081	C+H	YGR112W
CENPK1137D_5156	C+H	YIL104C
CENPK1137D_4865	C+H	YBL058W
CENPK1137D_150	C+H	YMR118C
CENPK1137D_3510	C+H	YER096W
CENPK1137D_2029	C+H	YOR007C
CENPK1137D_2076	C+H	YOR057W
CENPK1137D_226	C+H	YMR190C
CENPK1137D_5064	C+H	YIR001C
CENPK1137D_1430	C+H	YJR134C
CENPK1137D_2907	C+H	YGL066W
CENPK1137D_1654	C+H	YPL047W
CENPK1137D_707	C+H	YLR336C
CENPK1137D_4883	C+H	YBL102W
CENPK1137D_773	C+H	YLR403W
CENPK1137D_1487	C+H	YJL145W
CENPK1137D_693	C+H	YLR321C
CENPK1137D_4353	C+H	YDL168W
CENPK1137D_5361	C+H	YHR207C
CENPK1137D_1523	C+H	YJL105W
CENPK1137D_1040	C+H	YKR029C
CENPK1137D_1465	C+H	YJL168C
CENPK1137D_5266	C+H	YHR119W
CENPK1137D_3846	C+H	YDR023W
CENPK1137D_3174	C+H	YGR208W
CENPK1137D_2200	C+H	YOR184W
CENPK1137D_1617	C+H	YPL083C
CENPK1137D_4985	C+H	YAR008W
CENPK1137D_493	C+H	YLR105C
CENPK1137D_800	C+H	YLR430W
CENPK1137D_4189	C+H	YDR363W-A
CENPK1137D_2874	C+H	YGL100W
CENPK1137D_873	C+H	YLR026C
CENPK1137D_2981	C+H	YGR009C
CENPK1137D_3993	C+H	YDR170C
CENPK1137D_179	C+H	YML105C
CENPK1137D_2269	C+H	YOR254C
CENPK1137D_1606	C+H	YPL094C
CENPK1137D_747	C+H	YLR378C
CENPK1137D_5189	C+H	YIL068C
CENPK1137D_42	C+H	YMR013C
CENPK1137D_3336	C+H	YFL045C
CENPK1137D_3377	C+H	YFL005W
CENPK1137D_4097	C+H	YDL195W
CENPK1137D_5181	C+H	YIL076W
CENPK1137D_2838	C+H	YGL137W
CENPK1137D_4062	C+H	YDR238C
CENPK1137D_1873	C+H	YPR181C
CENPK1137D_644	C+H	YLR268W
CENPK1137D_2754	C+H	YNL287W
CENPK1137D_2768	C+H	YNL272C
CENPK1137D_4625	C+H	YBR080C
CENPK1137D_4873	C+H	YBL050W
CENPK1137D_1615	C+H	YPL085W
CENPK1137D_3012	C+H	YGL233W
CENPK1137D_109	C+H	YMR079W
CENPK1137D_586	C+H	YLR208W
CENPK1137D_5085	C+H	YIR022W
CENPK1137D_546	C+H	YLR166C
CENPK1137D_3985	C+H	YDR164C
CENPK1137D_4861	C+H	YBL104C
CENPK1137D_5146	C+H	YIL113W
CENPK1137D_867	C+H	YLR022C
CENPK1137D_4827	C+H	YBR269C
CENPK1137D_4338	C+H	YDR511W
CENPK1137D_4207	C+H	YDR379C-A
CENPK1137D_2448	C+H	YOL071W
CENPK1137D_1166	C+H	YKL141W
CENPK1137D_528	C+H	YLL041C
CENPK1137D_4295	C+H	YDR469W
CENPK1137D_3212	C+H	YGR245C
CENPK1137D_2892	C+H	YGL083W
CENPK1137D_314	C+H	YMR272C
CENPK1137D_4588	C+H	YBL091C-A
CENPK1137D_1222	C+H	YJL080C
CENPK1137D_2382	C+H	YOR367W
CENPK1137D_4569	C+H	YBR024W
CENPK1137D_4581	C+H	YBR037C
CENPK1137D_2961	C+H	YGL011C
CENPK1137D_1822	C+H	YPR129W
CENPK1137D_4005	C+H	YDR180W
CENPK1137D_3677	C+H	YER019C-A
CENPK1137D_3499	C+H	YER087C-B
CENPK1137D_1189	C+H	YKL117W
CENPK1137D_4381	C+H	YDL153C
CENPK1137D_1906	C+H	YPL218W
CENPK1137D_2651	C+H	YNL026W
CENPK1137D_2596	C+H	YNL083W
CENPK1137D_3444	C+H	YER043C
CENPK1137D_3387	C+H	YFR005C
CENPK1137D_4217	C+H	YDR389W
CENPK1137D_3954	C+H	YDR129C
CENPK1137D_3980	C+H	YDR159W
CENPK1137D_914	C+H	YKL212W
CENPK1137D_4505	C+H	YCR009C
CENPK1137D_1843	C+H	YPL235W
CENPK1137D_4015	C+H	YDR190C
CENPK1137D_2233	C+H	YOR216C
CENPK1137D_3962	C+H	YDR139C
CENPK1137D_4112	C+H	YDR289C
CENPK1137D_1945	C+H	YPL183C
CENPK1137D_2096	C+H	YOR077W
CENPK1137D_2035	C+H	YOR014W
CENPK1137D_3885	C+H	YDR066C
CENPK1137D_3552	C+H	YER139C
CENPK1137D_220	C+H	YMR185W
CENPK1137D_4008	C+H	YDL204W
CENPK1137D_4057	C+H	YDR233C
CENPK1137D_2912	C+H	YGL244W
CENPK1137D_1943	C+H	YPL183W-A
CENPK1137D_4695	C+H	YBR147W
CENPK1137D_3117	C+H	YGR152C
CENPK1137D_3537	C+H	YER125W
CENPK1137D_3454	C+H	YER050C
CENPK1137D_407	C+H	YML049C
CENPK1137D_4406	C+H	YCR052W
CENPK1137D_4421	C+H	YCR072C
CENPK1137D_4803	C+H	YBR246W
CENPK1137D_2310	C+H	YOR294W
CENPK1137D_1829	C+H	YPR137W
CENPK1137D_3905	C+H	YDR083W
CENPK1137D_4468	C+H	YCL031C
CENPK1137D_2022	C+H	YOR001W
CENPK1137D_269	C+H	YMR229C
CENPK1137D_3062	C+H	YGR095C
CENPK1137D_4102	C+H	YDR280W
CENPK1137D_2082	C+H	YOL142W
CENPK1137D_5212	C+H	YHR069C
CENPK1137D_2302	C+H	YOR287C
CENPK1137D_5207	C+H	YHR065C
CENPK1137D_4240	C+H	YDR412W
CENPK1137D_1835	C+H	YPR143W
CENPK1137D_921	C+H	YKL082C
CENPK1137D_1688	C+H	YPL012W
CENPK1137D_3911	C+H	YDR087C
CENPK1137D_1182	C+H	YKL125W
CENPK1137D_3875	C+H	YDL216C
CENPK1137D_2471	C+H	YNL213C
CENPK1137D_5055	C+H	YIL153W
CENPK1137D_163	C+H	YMR131C
CENPK1137D_1692	C+H	YPL009C
CENPK1137D_4161	C+H	YDR333C
CENPK1137D_2924	C+H	YGL048C
CENPK1137D_2135	C+H	YOR117W
CENPK1137D_2275	C+H	YOR259C
CENPK1137D_4223	C+H	YDR394W
CENPK1137D_3817	C+H	YDL007W
CENPK1137D_1161	C+H	YKL145W
CENPK1137D_1419	C+H	YJR123W
CENPK1137D_547	C+H	YLR167W
CENPK1137D_2503	C+H	YNL178W
CENPK1137D_757	C+H	YLR388W
CENPK1137D_640	C+H	YLR264W
CENPK1137D_2186	C+H	YOR167C
CENPK1137D_5371	C+H	YHL015W
CENPK1137D_2852	C+H	YGL123W
CENPK1137D_426	C+H	YML026C
CENPK1137D_4276	C+H	YDR450W
CENPK1137D_1980	C+H	YOL040C
CENPK1137D_3883	C+H	YDR064W
CENPK1137D_2384	C+H	YOR369C
CENPK1137D_5080	C+H	YIR015W
CENPK1137D_4211	C+H	YDR382W
CENPK1137D_3746	C+H	YDL081C
CENPK1137D_5204	C+H	YHR062C
CENPK1137D_709	C+H	YLR340W
CENPK1137D_3346	C+H	YFL036W
CENPK1137D_2134	C+H	YOR116C
CENPK1137D_1880	C+H	YPR187W
CENPK1137D_4393	C+H	YDL140C
CENPK1137D_4255	C+H	YDR427W
CENPK1137D_2277	C+H	YOR261C
CENPK1137D_1801	C+H	YPR108W
CENPK1137D_3729	C+H	YDL097C
CENPK1137D_4385	C+H	YDL147W
CENPK1137D_3679	C+H	YER021W
CENPK1137D_5182	C+H	YIL075C
CENPK1137D_2967	C+H	YGL004C
CENPK1137D_3328	C+H	YFR052W
CENPK1137D_3386	C+H	YFR004W
CENPK1137D_5354	C+H	YHR200W
CENPK1137D_5422	C+H	YHR027C
CENPK1137D_1567	C+H	YPL131W
CENPK1137D_1746	C+H	
CENPK1137D_1406	C+H	YJL189W
CENPK1137D_697	C+H	YLR325C
CENPK1137D_4328	C+H	YDR500C
CENPK1137D_4577	C+H	YBL092W
CENPK1137D_2941	C+H	YGL030W
CENPK1137D_2083	C+H	YOR063W
CENPK1137D_3418	C+H	YFR032C-A
CENPK1137D_2872	C+H	YGL103W
CENPK1137D_2237	C+H	YOL127W
CENPK1137D_447	C+H	YLR061W
CENPK1137D_461	C+H	YLR075W
CENPK1137D_3584	C+H	YER169W
CENPK1137D_4624	C+H	YBR079C
CENPK1137D_1093	C+H	YKR081C
CENPK1137D_5235	C+H	YHR088W
CENPK1137D_1512	C+H	YJL121C
CENPK1137D_2571	C+H	YNL330C
CENPK1137D_1883	C+H	YPR190C
CENPK1137D_4382	C+H	YDL150W
CENPK1137D_1803	C+H	YPR110C
CENPK1137D_1035	C+H	YKR025W
CENPK1137D_2678	C+H	YNR003C
CENPK1137D_1162	C+H	YKL144C
CENPK1137D_2566	C+H	YNL113W
CENPK1137D_1285	C+H	YJL011C
CENPK1137D_3865	C+H	YDR045C
CENPK1137D_5292	C+H	YHR143W-A
CENPK1137D_2904	C+H	YGL070C
CENPK1137D_2241	C+H	YOR224C
CENPK1137D_4232	C+H	YDR404C
CENPK1137D_4704	C+H	YBR154C
CENPK1137D_1492	C+H	YJL140W
CENPK1137D_5038	C+H	YIL021W
CENPK1137D_2017	C+H	YOL005C
CENPK1137D_2227	C+H	YOR210W
CENPK1137D_2792	C+H	YNL248C
CENPK1137D_2356	C+H	YOR340C
CENPK1137D_2357	C+H	YOR341W
CENPK1137D_1711	C+H	YPR010C
CENPK1137D_1356	C+H	YJR063W
CENPK1137D_1764	C+H	YPR065W
CENPK1137D_4783	C+H	YBR229C
CENPK1137D_3291	C+H	YGL171W
CENPK1137D_1576	C+H	YPL123C
CENPK1137D_280	C+H	YMR239C
CENPK1137D_1274	C+H	YJL026W
CENPK1137D_3242	C+H	YGR276C
CENPK1137D_2607	C+H	YNL072W
CENPK1137D_274	C+H	YMR234W
CENPK1137D_2927	C+H	YGL044C
CENPK1137D_89	C+H	YMR061W
CENPK1137D_3085	C+H	YMR235C
CENPK1137D_275	C+H	YMR235C
CENPK1137D_4292	C+H	YDR465C
CENPK1137D_3594	C+H	YEL050C
CENPK1137D_4079	C+H	YDR255C
CENPK1137D_854	C+H	YLR009W
CENPK1137D_3915	C+H	YDR091C
CENPK1137D_288	C+H	YMR247C
CENPK1137D_4081	C+H	YDR257C
CENPK1137D_1917	C+H	YPL208W
CENPK1137D_2113	C+H	YOR095C
CENPK1137D_595	C+H	YLL034C
CENPK1137D_3630	C+H	YEL024W
CENPK1137D_2477	C+H	YNL207W
CENPK1137D_2138	C+H	YOR119C
CENPK1137D_2290	C+H	YOR275C
CENPK1137D_4744	C+H	YBR192W
CENPK1137D_186	C+H	YMR154C
CENPK1137D_172	C+H	YMR139W
CENPK1137D_2518	C+H	YNL163C
CENPK1137D_1857	C+H	YPR165W
CENPK1137D_4522	C+H	YCR027C
CENPK1137D_2124	C+H	YOR107W
CENPK1137D_457	C+H	YLR071C
CENPK1137D_217	C+H	YMR182C
CENPK1137D_4818	C+H	YBR260C
CENPK1137D_4206	C+H	YDR379W
CENPK1137D_2145	C+H	YOR127W
CENPK1137D_555	C+H	YLR176C
CENPK1137D_4907	C+H	YBL020W
CENPK1137D_4635	C+H	YBR087W
CENPK1137D_2423	C+H	YOL094C
CENPK1137D_2750	C+H	YNL290W
CENPK1137D_1361	C+H	YJR068W
CENPK1137D_2234	C+H	YOR217W
CENPK1137D_2549	C+H	YNL312W
CENPK1137D_4984	C+H	YAR007C
CENPK1137D_2440	C+H	YOL080C
CENPK1137D_445	C+H	YLR059C
CENPK1137D_1531	C+H	YPL167C
CENPK1137D_2361	C+H	YOR346W
CENPK1137D_1691	C+H	YPL010W
CENPK1137D_3326	C+H	YFR051C
CENPK1137D_4546	C+H	YBR002C
CENPK1137D_4493	C+H	YCL001W
CENPK1137D_4825	C+H	YBR267W
CENPK1137D_4594	C+H	YBR049C
CENPK1137D_1790	C+H	YPR094W
CENPK1137D_2301	C+H	YOR286W
CENPK1137D_4398	C+H	YDL135C
CENPK1137D_105	C+H	YMR075W
CENPK1137D_2655	C+H	YNL022C
CENPK1137D_2011	C+H	YOL010W
CENPK1137D_422	C+H	YML030W
CENPK1137D_316	C+H	YMR274C
CENPK1137D_4153	C+H	YDL189W
CENPK1137D_2280	C+H	YOR265W
CENPK1137D_4532	C+H	YCR036W
CENPK1137D_3139	C+H	YGR173W
CENPK1137D_4943	C+H	YAL036C
CENPK1137D_1733	C+H	YPL246C
CENPK1137D_4355	C+H	YDR527W
CENPK1137D_1325	C+H	YJR033C
CENPK1137D_2068	C+H	YOR048C
CENPK1137D_2120	C+H	YOR101W
CENPK1137D_986	C+H	YKL019W
CENPK1137D_3735	C+H	YDL090C
CENPK1137D_2890	C+H	YGL246C
CENPK1137D_2916	C+H	YGL058W
CENPK1137D_3297	C+H	YGL163C
CENPK1137D_420	C+H	YML032C
CENPK1137D_3509	C+H	YER095W
CENPK1137D_2790	C+H	YNL250W
CENPK1137D_3576	C+H	YER162C
CENPK1137D_4247	C+H	YDR419W
CENPK1137D_3586	C+H	YER171W
CENPK1137D_3850	C+H	YDR030C
CENPK1137D_1192	C+H	YKL113C
CENPK1137D_1327	C+H	YJR035W
CENPK1137D_3588	C+H	YER173W
CENPK1137D_3619	C+H	YEL037C
CENPK1137D_3226	C+H	YGR258C
CENPK1137D_4416	C+H	YCR066W
