genes	orthology	s288c
CENPK1137D_2486	C+E	YNL196C
CENPK1137D_4707	C+E	YBR156C
CENPK1137D_2095	C+E	YOR076C
CENPK1137D_813	C+E	YLR442C
CENPK1137D_1117	C+E	YKR101W
CENPK1137D_208	C+E	YMR175W
CENPK1137D_4250	C+E	YDR422C
CENPK1137D_2230	C+E	YOR213C
CENPK1137D_3517	C+E	YER104W
CENPK1137D_61	C+E	YMR030W
CENPK1137D_3146	C+E	YGR180C
CENPK1137D_4471	C+E	YCL028W
CENPK1137D_484	C+E	YLL046C
CENPK1137D_542	C+E	YLR154C
CENPK1137D_824	C+E	YLR453C
CENPK1137D_5003	C+E	YIL057C
CENPK1137D_4596	C+E	YBR052C
CENPK1137D_4595	C+E	YBR050C
CENPK1137D_1417	C+E	YJL217W
CENPK1137D_638	C+E	YLR263W
CENPK1137D_5306	C+E	YHR157W
CENPK1137D_2394	C+E	YOR380W
CENPK1137D_4139	C+E	YDR314C
CENPK1137D_3897	C+E	YDL214C
CENPK1137D_1932	C+E	YPL192C
CENPK1137D_5136	C+E	YIL122W
CENPK1137D_1555	C+E	YPL144W
CENPK1137D_3437	C+E	YER037W
CENPK1137D_4103	C+E	YDR281C
CENPK1137D_2211	C+E	YOR193W
CENPK1137D_5311	C+E	YHR160C
CENPK1137D_4922	C+E	YBL005W
CENPK1137D_2775	C+E	YNL264C
CENPK1137D_2959	C+E	YGL013C
CENPK1137D_2292	C+E	YOL161C
CENPK1137D_207	C+E	YMR174C
CENPK1137D_4365	C+E	YDR538W
CENPK1137D_3424	C+E	YFR039C
CENPK1137D_5121	C+E	YIL136W
CENPK1137D_2117	C+E	YOR098C
CENPK1137D_1032	C+E	YKR022C
CENPK1137D_4740	C+E	YBR188C
CENPK1137D_4212	C+E	YDR383C
CENPK1137D_5130	C+E	YIL164C
CENPK1137D_1119	C+E	YKR103W
CENPK1137D_629	C+E	YLR254C
CENPK1137D_2413	C+E	YOL104C
CENPK1137D_830	C+E	YLR457C
CENPK1137D_5353	C+E	YHR199C-A
CENPK1137D_46	C+E	YML117W
