"","logFC","-log10Pval"
"YALI1_E31005g",-5.68535643777449,53.1143133974236
"YALI1_D06131g",-4.83944103678172,25.0092090048101
"YALI1_E02481g",-5.54972683041583,18.4591320417931
"YALI1_F01078g",-3.20333959341009,15.8626072845529
"YALI1_F23664g",1.44509033708999,7.29324276943624
"YALI1_C27543g",-1.94090439392877,7.29324276943624
"YALI1_B14121g",-2.02815497835362,6.43207718068314
"YALI1_C32886g",-1.5314215140459,6.43207718068314
"YALI1_B29419g",2.20899040240444,6.05128005294753
"YALI1_A20995g",-2.14478758464053,5.9078720893494
"YALI1_E36437g",-1.42097020955286,5.74437117471463
"YALI1_B25553g",-2.03948396272718,5.52467027083406
"YALI1_D31155g",-4.98694029798062,5.34432804999905
"YALI1_A17957g",1.71546396435782,4.73757840654786
"YALI1_F37463g",-2.12619053917066,4.73757840654786
"YALI1_E10587g",-1.66899234068201,4.60714108210036
"YALI1_A10857g",-1.59151463110031,4.59448642436265
"YALI1_A16292g",-1.07032138366353,4.34068534658973
"YALI1_D04128g",-1.76293637097428,4.28167161009346
"YALI1_C31408g",-2.02929456482014,4.13131939822352
"YALI1_E09241g",-1.66103252208765,3.31380310388358
"YALI1_A17085g",-3.75146513185313,3.15317078704486
"YALI1_D13510g",-1.22377606094151,2.98131812611998
"YALI1_B05798g",1.25809369089087,2.56171037503664
"YALI1_F27871g",1.1704066411916,2.26223289476014
"YALI1_E20596g",-1.01846181329654,2.14870799032896
"YALI1_B04540g",1.46181363367145,2.09999526133526
"YALI1_D02444g",-2.75831816592919,2.08427101288705
"YALI1_F08392g",-1.00851164574002,2.03597618932866
"YALI1_F06351g",-1.03720856272857,2.03597618932866
