"genes","direction"
"KMXK0B04700","down"
"KMXK0G03730","up"
"KMXK0D01720","down"
"KMXK0B02730","down"
"KMXK0B02970","up"
"KMXK0F03310","up"
"KMXK0D02420","mixed"
"KMXK0B05840","up"
"KMXK0A02470","down"
"KMXK0H04430","down"
"KMXK0B05960","up"
"KMXK0E05330","up"
"KMXK0A08010","up"
"KMXK0B00860","up"
"KMXK0E02560","up"
"KMXK0F05000","up"
"KMXK0F00530","up"
"KMXK0E02340","up"
"KMXK0G03550","down"
"KMXK0G03090","down"
"KMXK0A03180","down"
"KMXK0E04230","up"
"KMXK0D05580","down"
"KMXK0E03200","up"
"KMXK0E05410","up"
"KMXK0H04290","down"
"KMXK0B01630","up"
"KMXK0A01280","up"
"KMXK0B00510","down"
"KMXK0D02830","down"
"KMXK0E04960","up"
"KMXK0C06300","down"
"KMXK0E00190","up"
"KMXK0B02910","down"
"KMXK0A06440","down"
"KMXK0H03230","up"
"KMXK0D01320","up"
"KMXK0F01270","up"
"KMXK0B03200","down"
"KMXK0G03470","up"
"KMXK0C00660","down"
"KMXK0F05580","up"
"KMXK0C03650","up"
"KMXK0G02240","up"
"KMXK0A00570","up"
"KMXK0G03150","up"
"KMXK0H01120","down"
"KMXK0C03310","up"
"KMXK0D01210","up"
"KMXK0B00330","up"
"KMXK0B07910","up"
"KMXK0A06960","down"
"KMXK0D03970","up"
"KMXK0C06790","up"
"KMXK0E03480","up"
"KMXK0C01510","down"
"KMXK0F04390","down"
"KMXK0B05040","down"
"KMXK0B05430","up"
"KMXK0C05530","up"
"KMXK0G01390","down"
"KMXK0E04920","up"
"KMXK0G02030","up"
"KMXK0F05650","up"
"KMXK0E04110","up"
"KMXK0C00720","down"
"KMXK0A01320","up"
"KMXK0B02080","mixed"
"KMXK0F00780","up"
"KMXK0G02750","down"
"KMXK0C03840","down"
"KMXK0E02060","down"
"KMXK0H00260","up"
"KMXK0H00770","down"
"KMXK0H00360","down"
"KMXK0C06930","down"
"KMXK0C05220","up"
"KMXK0G02290","down"
"KMXK0C04790","down"
"KMXK0A04010","up"
"KMXK0D06570","up"
"KMXK0A04590","up"
"KMXK0G03710","down"
"KMXK0D06030","up"
"KMXK0C00320","up"
"KMXK0A07750","up"
"KMXK0E04320","down"
"KMXK0B07300","down"
"KMXK0D04580","up"
"KMXK0A06690","mixed"
"KMXK0F00380","up"
"KMXK0C06690","up"
"KMXK0D01690","up"
"KMXK0F01020","up"
"KMXK0A02540","up"
"KMXK0F01080","up"
"KMXK0H03480","down"
"KMXK0F00350","down"
"KMXK0D02430","down"
"KMXK0B04420","up"
"KMXK0H00280","up"
"KMXK0E02400","up"
"KMXK0D06610","down"
"KMXK0G02360","down"
"KMXK0H00510","down"
"KMXK0H02960","down"
"KMXK0D05310","down"
"KMXK0A00120","up"
"KMXK0D05020","down"
"KMXK0E06260","up"
"KMXK0E01660","up"
"KMXK0G00610","up"
"KMXK0F03550","up"
"KMXK0F00520","down"
"KMXK0E03750","up"
"KMXK0B04080","up"
"KMXK0B05930","up"
"KMXK0E00880","up"
"KMXK0H01730","down"
"KMXK0F01190","up"
