"","genes","logFC","logCPM","PValue","FDR"
"294","KLMA_60504",-0.898733213957525,12.6118965816589,0.189322929260438,1
"443","KLMA_60129 KLMA_80119",-0.674494746050022,12.7382604640151,0.21544691911536,1
"420","KMXK_0A06390",-0.475592052608425,13.6017277214178,0.245291604947199,1
"462","KLMA_30187",-0.717401594721461,12.5706562920275,0.247892894179773,1
"1","KLMA_80306",0.516543582127701,13.1870815549928,0.268343513410333,1
"131","KLMA_30365",0.821988829555817,12.1718248657195,0.301817469952522,1
"629","KMXK_0E02650",-0.72156272236856,12.5496186849665,0.359358519018063,1
"120","KLMA_30599",0.655728462781066,12.3034531466475,0.383392425718252,1
"25","KLMA_60412",0.477545390923356,12.7572196882306,0.391660138787949,1
"326","KLMA_20771",0.554218144939417,12.3051341927114,0.404961666711958,1
"261","KLMA_20354",-0.704572238476205,12.0336918688714,0.424003886146055,1
"251","KLMA_10518",-0.632370324481811,11.8400855045526,0.424003886146055,1
"149","KLMA_10683",0.737846511120582,11.8613334062874,0.507844540588701,1
"381","KLMA_60151",0.619151121627922,11.7930712670799,0.548864837278547,1
"183","KLMA_20343",0.599096662883096,11.9378941513412,0.548864837278547,1
"170","KLMA_10708",0.309579678918714,12.8372164372458,0.584757264408662,1
"583","KLMA_50303",-1.51428803735193,11.4992390991391,0.625012206534741,1
"495","KMXK_0C00570",-1.11543058800769,11.4317758090401,0.625012206534741,1
"451","KLMA_10516",-0.961195311296473,11.5730183414035,0.625012206534741,1
"116","KLMA_20332",-0.901001501270483,11.7373263263598,0.625012206534741,1
"85","KLMA_80163",-0.41833994617208,12.2418765520608,0.62910712848252,1
"708","KLMA_50373",1.00689093194038,11.4621576103474,0.687515257795884,1
"391","KLMA_50406",-0.636191675904405,11.7100878131405,0.687515257795884,1
"592","KMXK_0H01050",0.557325082284839,11.6519809781581,0.687515257795884,1
"402","KLMA_50296",0.517731704921967,11.598913702392,0.687515257795884,1
"123","KLMA_60131",0.27578465645384,12.5891652595508,0.690098487996301,1
"56","KLMA_70354",0.25083840623045,12.6533024301597,0.690098487996301,1
"242","KLMA_80417",0.326189128202763,12.7475894960893,0.701171260989185,1
"103","KLMA_50501",0.30258706729044,12.7554861404936,0.701171260989185,1
"286","KLMA_40581",0.310621125883044,12.6569209467222,0.711136918514959,1
"164","KLMA_40173",0.249289117716311,12.9248852010138,0.720168442286805,1
"469","KLMA_20614",0.755771029930866,11.7537202571735,0.726580300326926,1
"329","KLMA_50231",-0.726816591940998,11.7441879135783,0.726580300326926,1
"138","KLMA_30105",-0.403394283419879,11.7519886016969,0.726580300326926,1
"11","KLMA_50012",0.218943735282796,13.1806096870812,0.749336129905653,1
"79","KLMA_10458",-0.755144268091573,11.7916491672381,0.753926274879197,1
"197","KLMA_70429",-0.729461043670636,11.5977603335157,0.753926274879197,1
"559","KMXK_0C04790",-0.711907643718018,11.6559177828645,0.753926274879197,1
"324","KLMA_80019",-0.663402068412754,11.833716578199,0.753926274879197,1
"248","KLMA_20132",0.508942209581053,11.7645327347952,0.753926274879197,1
"333","KLMA_40574",0.492514150887207,11.8544811747413,0.753926274879197,1
"330","KLMA_40444",0.322723022590881,11.7984364541322,0.753926274879197,1
"125","KLMA_10229 KLMA_50136",-0.301202853286051,11.9355718960533,0.753926274879197,1
"53","KLMA_50419",0.52475906632628,12.186821504677,0.774436089329548,1
"88","KLMA_30016",0.502119113685364,11.9744750384613,0.774436089329548,1
"352","KLMA_10723",-0.402208642939213,11.8926010216038,0.774436089329548,1
"374","KLMA_10034",0.334678637586192,11.8197062210384,0.774436089329548,1
"195","KLMA_20553",0.291874454183982,12.0410996444231,0.774436089329548,1
"70","KLMA_10786",-0.157758972100452,13.3724810947288,0.775537319011107,1
"177","KLMA_10783",0.403163502966485,12.2063271186476,0.790551205566029,1
"193","KLMA_30712",0.29368169768066,12.1060111516033,0.790551205566029,1
"6","KLMA_80367",0.275142028283966,12.3261123268158,0.790551205566029,1
"3","KLMA_60268",0.270746070337602,12.0751313745495,0.790551205566029,1
"87","KLMA_10348",0.236624967091608,12.1142379554788,0.790551205566029,1
"219","KLMA_10097",0.386972466826256,12.1088880363636,0.80364495037306,1
"84","KLMA_10336",0.34431522190048,12.1986434905469,0.80364495037306,1
"92","KLMA_70095",-0.270384692399923,12.1523339294912,0.80364495037306,1
"300","KLMA_80256",0.221869601670231,12.2125845982557,0.80364495037306,1
"199","KMXK_0A00690",0.230473729228143,12.3780355319655,0.814556581740261,1
"223","KLMA_40443",0.194555294072399,12.2136961533975,0.814556581740261,1
"173","KMXK_0A01880",0.314309970453678,12.3062451644352,0.823831619137424,1
"76","KLMA_80028",-0.285103044601127,12.3795331844432,0.823831619137424,1
"176","KLMA_50008",0.256062622851452,12.4279538626141,0.823831619137424,1
"260","KLMA_40577",0.206762735835873,12.3325223718251,0.823831619137424,1
"7","KLMA_20459",-0.204925757809921,12.2750856138473,0.823831619137424,1
"130","KLMA_50529",-0.181893673559929,12.4621508732867,0.823831619137424,1
"82","KLMA_20742",0.264191785454183,12.5898557463839,0.838851213758133,1
"52","KLMA_30634",0.233511710183899,12.5437159355303,0.838851213758133,1
"34","KLMA_40624",0.205370720893748,12.736654510075,0.838851213758133,1
"152","KLMA_40080",-0.180121613832792,12.5810986248053,0.838851213758133,1
"234","KLMA_20053",0.18146032263469,12.6360866280729,0.845051764957352,1
"196","KLMA_50262",0.138841438778697,12.6354109608405,0.845051764957352,1
"148","KLMA_20169",-0.17441644464739,12.762889587518,0.850588061300885,1
"147","KLMA_60118",-0.156071723930256,12.7628886896798,0.850588061300885,1
"2","KLMA_40102",0.233854800852156,12.8618316034935,0.860086497270027,1
"35","KLMA_70051",0.151102357083347,12.9778703991275,0.867978073377826,1
"63","KLMA_20568",0.124071737333134,13.0576156036325,0.867978073377826,1
"75","KLMA_20318",0.114155833220429,13.143401773113,0.874670103566575,1
"106","KLMA_70358",-0.15163966737754,13.3496900930256,0.883039688257284,1
"111","KLMA_60313",-0.120471539045606,13.3201446888346,0.883039688257284,1
"336","KLMA_30556",1.06950309119953,11.3727448803935,0.999999999999551,1
"525","KLMA_30382",1.01170904872813,11.3201359093028,0.999999999999551,1
"415","KLMA_50039",-0.898032586918007,11.3436315662437,0.999999999999551,1
"422","KLMA_80066",0.873867102804693,11.3005386520069,0.999999999999551,1
"738","KMXK_0H04260",-0.864534276984433,11.3849814030331,0.999999999999551,1
"472","KLMA_60159",0.72750638959297,11.3881581752711,0.999999999999551,1
"702","KLMA_30660",0.714263450965461,11.2695107905336,0.999999999999551,1
