Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0A01290,655,647,664,883,725,668
KMXK_0A01300,4005,4766,5300,5568,4926,4460
KMXK_0A01310,3259,3929,4129,4244,3878,3364
KMXK_0A01320,19222,20064,21931,26819,24806,22131
KMXK_0A01330,4957,5204,5642,5805,5163,4302
KMXK_0A01340,3399,3366,3794,4153,3794,3306
KMXK_0A01350,1189,1545,1815,2067,1900,1718
KMXK_0A01360,271,410,389,482,391,407
KMXK_0A01370,6108,6726,7715,8095,8127,6930
KMXK_0A01380,7562,9260,9880,11599,10010,9495
KMXK_0A01390,25244,25814,25367,31703,27788,26717
KMXK_0A01400,18399,23451,23524,25920,24589,20737
KMXK_0A01410,1408,1500,1652,1734,1678,1363
KMXK_0A01420,8200,10374,10562,11661,11049,9208
KMXK_0A01430,2181,2069,1973,2098,1915,1617
KMXK_0A01440,8626,9828,10951,11843,10674,8431
KMXK_0A01450,10679,10573,11441,11858,10091,8672
KMXK_0A01460,2258,2412,2703,3080,2617,2345
KMXK_0A01470,2950,3221,3549,3666,3461,2897
KMXK_0A01480,4198,4974,5314,5916,5364,4522
KMXK_0A01490,1736,1896,2246,2309,1966,1803
KMXK_0A01500,1673,1768,1882,1914,1821,1452
KMXK_0A01510,1484,1660,1734,1745,1859,1728
KMXK_0A01520,861,1021,951,1039,1002,835
KMXK_0A01530,1115,1249,1231,1163,1055,810
KMXK_0A01540,2621,2260,2875,3474,3259,2909
KMXK_0A01550,7264,7466,8687,9534,8632,8424
KMXK_0A01560,1454,1357,1743,2148,2026,1822
KMXK_0A01570,22223,24038,28027,32185,32105,30381
KMXK_0A01580,7173,8098,8999,10305,9153,8372
KMXK_0A01590,9088,10353,11268,11980,11358,9810
KMXK_0A01600,10057,11400,11745,13185,12371,11106
KMXK_0A01610,623,723,694,735,657,490
KMXK_0A01620,3596,4538,4995,5251,4845,4344
KMXK_0A01630,9273,14038,19476,34059,36913,37343
KMXK_0A01640,1647,1990,2058,2271,2166,1837
KMXK_0A01650,2220,2796,3550,3712,3241,2936
KMXK_0A01660,1546,1869,1824,2032,1857,1459
KMXK_0A01670,2204,2270,2345,2246,1931,1627
KMXK_0A01680,1530,1770,1802,2119,1703,1541
KMXK_0A01690,2019,2391,2377,2795,2594,2187
KMXK_0A01700,11048,12500,13448,14925,13300,11965
KMXK_0A01710,5800,6312,5836,6033,5429,5214
KMXK_0A01720,560,609,678,775,641,600
KMXK_0A01730,738,791,866,905,712,672
KMXK_0A01740,202,295,274,267,283,238
KMXK_0A01750,120,143,130,180,125,121
KMXK_0A01760,3307,3492,3700,3681,3394,2842
KMXK_0A01770,4993,6546,6679,7246,5992,5538
KMXK_0A01780,640,789,818,979,784,737
KMXK_0A01790,1425,1787,1870,2004,1902,1522
KMXK_0A01800,5133,5915,6830,8390,7421,6471
KMXK_0A01810,9701,12232,13681,16129,14211,12470
KMXK_0A01820,3548,4030,4505,4782,4429,3683
KMXK_0A01830,433,440,609,546,427,442
KMXK_0A01840,4508,4916,5155,5319,4699,4009
KMXK_0A01850,5387,6270,7182,8833,9064,7745
KMXK_0A01860,398,393,477,478,566,435
KMXK_0A01870,3149,4038,4595,3819,3688,3062
KMXK_0A01880,12260,14990,15658,16249,14773,12981
KMXK_0A01890,1382,1356,1471,1644,1430,1329
KMXK_0A01900,233,251,280,289,263,204
KMXK_0A01910,1123,1382,1409,1531,1400,1261
KMXK_0A01920,10229,8765,10520,12285,11998,10512
KMXK_0A01930,1536,1598,2260,2912,2781,2639
KMXK_0A01940,4538,4149,4695,4727,4255,3453
KMXK_0A01950,1385,1722,1789,1791,1649,1371
KMXK_0A01960,8824,8238,9194,10527,8964,8735
KMXK_0A01970,1245,1666,1915,2309,2124,1907
KMXK_0A01980,7684,7423,7483,8993,8450,7420
KMXK_0A01990,2367,2652,3200,3267,2867,2530
KMXK_0A02000,2030,1912,2212,2170,1969,1873
KMXK_0A02010,1719,2224,2509,2625,2334,1895
KMXK_0A02020,36,57,55,48,74,32
KMXK_0A02030,1730,1905,1699,1956,1816,1673
KMXK_0A02040,1599,2075,2327,2362,1906,1183
KMXK_0A02050,1644,1445,1373,1348,1141,934
KMXK_0A02060,2978,3494,3489,3543,3538,2872
KMXK_0A02070,1291,1603,1648,1764,1654,1499
KMXK_0A02080,5474,5699,6261,6207,5864,5331
KMXK_0A02090,3148,4165,4018,4305,4345,3607
KMXK_0A02100,8252,10130,10461,10654,9642,9005
KMXK_0A02110,2952,3485,3693,3819,3576,3095
KMXK_0A02120,1784,2284,2657,2725,2450,2190
KMXK_0A02130,4928,5829,5999,6376,5879,5194
KMXK_0A02140,525,660,700,620,687,515
KMXK_0A02150,1125,1232,1361,1517,1345,1163
KMXK_0A02160,15939,16230,17306,20030,18353,16839
KMXK_0A02170,4998,5412,5940,6400,5584,5571
KMXK_0A02180,1389,1297,1418,1854,1555,1462
KMXK_0A02190,913,1020,1142,1181,1238,1008
KMXK_0A02200,471,502,570,535,536,439
KMXK_0A02210,1017,1327,1669,1872,1556,1342
KMXK_0A02220,1985,2079,2117,2326,2156,1941
KMXK_0A02230,6108,6419,7188,8310,7959,6904
KMXK_0A02240,4832,5759,5853,6533,5974,5006
KMXK_0A02250,1408,1194,1278,1508,1360,1313
KMXK_0A02260,318,310,391,445,365,361
KMXK_0A02270,18262,14994,19288,23252,22235,19615
KMXK_0A02280,135,117,163,163,115,133
KMXK_0A02290,3902,4949,4343,4473,4308,3581
KMXK_0A02300,3084,3654,3823,4369,4042,3680
KMXK_0A02310,2176,1959,2038,2020,1653,1181
KMXK_0A02320,4063,4193,4406,5633,5529,4519
KMXK_0A02330,2056,2191,2904,2854,2678,2310
KMXK_0A02340,1690,2056,2191,2236,2147,1779
KMXK_0A02350,3647,3760,4170,4830,4762,4359
KMXK_0A02360,1076,1126,1356,1437,1221,1177
KMXK_0A02370,1021,1038,1082,1199,1012,1027
KMXK_0A02380,340,351,444,488,429,467
KMXK_0A02390,2248,2623,2901,3050,2940,2688
KMXK_0A02400,2814,3276,3579,4352,4183,3382
KMXK_0A02410,35,19,31,33,17,22
KMXK_0A02420,2514,2798,2737,3137,2833,2362
KMXK_0A02430,18,40,24,10,13,11
KMXK_0A02440,1812,1930,2116,2180,1928,1570
KMXK_0A02450,3114,3507,3709,3840,3427,3266
KMXK_0A02460,3057,3240,4289,6124,5993,5124
KMXK_0A02470,6152,7598,8861,8254,7353,6537
KMXK_0A02480,692,678,529,611,475,402
KMXK_0A02490,986,1143,1316,1276,1147,1061
KMXK_0A02500,1129,1023,1041,1039,963,750
KMXK_0A02510,1742,1768,1926,2445,1855,1828
KMXK_0A02520,6356,7757,7851,8810,8077,7573
KMXK_0A02530,990,988,1164,1051,977,888
KMXK_0A02540,4494,4247,4811,5698,5157,4874
KMXK_0A02550,2385,2096,2222,2552,2315,2145
KMXK_0A02560,1260,1187,1518,1465,1358,1175
KMXK_0A02570,1793,1862,2120,2358,1996,1714
KMXK_0A02580,2169,2813,3133,3693,3224,2692
KMXK_0A02590,841,1130,1306,1493,1443,1225
KMXK_0A02600,2534,2322,2765,2979,2832,2459
KMXK_0A02610,726,625,632,754,566,495
KMXK_0A02620,3904,4362,4332,5096,4488,3861
KMXK_0A02630,1469,1422,1576,1914,1665,1663
KMXK_0A02640,2647,2697,2690,3099,2600,2335
KMXK_0A02650,3065,2838,2907,3160,2899,2558
KMXK_0A02660,14537,16633,18693,20335,18668,16086
KMXK_0A02670,6457,7202,8081,9612,9050,8046
