Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0B02350,727,734,792,825,779,614
KMXK_0B02360,514,694,667,902,951,908
KMXK_0B02370,2620,2638,3111,3820,3847,3632
KMXK_0B02380,1942,1725,2138,2661,2436,2282
KMXK_0B02390,1619,1744,1638,1903,1977,1574
KMXK_0B02400,1892,1905,1955,2380,2185,2070
KMXK_0B02410,1617,1852,2280,2261,2127,1775
KMXK_0B02420,897,953,1004,1193,986,914
KMXK_0B02430,1085,1036,1149,1257,1127,970
KMXK_0B02440,886,1010,1020,1032,810,625
KMXK_0B02450,2043,2378,2559,2823,2735,2404
KMXK_0B02460,143,199,221,272,224,188
KMXK_0B02470,4131,4167,4946,6375,5477,5131
KMXK_0B02480,1135,1174,1081,1087,865,664
KMXK_0B02490,2040,2263,2183,2161,2086,1800
KMXK_0B02500,934,1087,1348,1470,1412,1227
KMXK_0B02510,2684,2985,3101,3546,3207,2723
KMXK_0B02520,1576,1756,1899,1940,1837,1619
KMXK_0B02530,654,647,739,770,640,632
KMXK_0B02540,6085,6651,7538,9694,8757,8136
KMXK_0B02550,6962,7536,7208,7958,7719,7397
KMXK_0B02560,1677,1630,1912,1996,1814,1584
KMXK_0B02570,9789,10624,10897,11590,10696,9704
KMXK_0B02580,1842,1792,1979,2095,1969,1918
KMXK_0B02590,1166,1262,1628,1853,1589,1440
KMXK_0B02600,2244,2219,2586,2751,2326,2106
KMXK_0B02610,1335,1372,1408,1688,1530,1308
KMXK_0B02620,2228,2800,2977,3562,3080,2619
KMXK_0B02630,4794,4504,5323,6812,5945,5660
KMXK_0B02640,1114,1046,1036,1004,1134,1062
KMXK_0B02650,949,1059,996,869,762,605
KMXK_0B02660,6116,5038,5595,7648,6811,6499
KMXK_0B02670,2093,2312,2111,2305,2159,1899
KMXK_0B02680,1568,1420,1676,2018,1733,1602
KMXK_0B02690,6283,6514,7168,7652,7507,6526
KMXK_0B02700,1845,1697,1952,2396,2152,1941
KMXK_0B02710,20,10,16,16,17,14
KMXK_0B02720,14176,14346,17205,24266,23150,24722
KMXK_0B02730,932,804,918,1149,1094,921
KMXK_0B02740,11641,12614,12579,12393,11411,10123
KMXK_0B02750,2589,2750,3064,2944,2762,2374
KMXK_0B02760,199,222,228,197,150,93
KMXK_0B02770,11802,10434,11566,13848,13785,12195
KMXK_0B02780,166,208,235,244,221,252
KMXK_0B02790,10464,13153,14036,15232,15420,13565
KMXK_0B02800,3773,4297,4474,4965,4722,4317
KMXK_0B02810,609,613,605,641,550,448
KMXK_0B02820,5368,5689,6775,6346,5911,4826
KMXK_0B02830,13130,14585,16033,20148,15667,15445
KMXK_0B02840,7675,9091,10517,12032,10787,10318
KMXK_0B02850,594,658,836,881,865,783
KMXK_0B02860,282,336,392,386,413,364
KMXK_0B02870,3293,3905,4305,4842,4262,3891
KMXK_0B02880,720,702,858,957,761,705
KMXK_0B02890,3977,4282,4364,4277,3981,3819
KMXK_0B02900,985,1163,1197,1453,1371,1282
KMXK_0B02910,7782,6868,8556,11536,11339,11949
KMXK_0B02920,851,775,866,1136,1085,978
KMXK_0B02930,11179,10810,12469,13584,12982,11300
KMXK_0B02940,1568,1627,1856,2141,1964,1775
KMXK_0B02950,12409,13131,14908,13950,13025,10768
KMXK_0B02960,1206,1403,1492,1498,1403,1265
KMXK_0B02970,33831,33175,34799,37265,35478,30680
KMXK_0B02980,387,457,555,514,429,403
KMXK_0B02990,300,437,496,581,539,486
KMXK_0B03000,1102,1148,1275,1338,1332,1218
KMXK_0B03010,2553,2622,2879,3773,3241,2895
KMXK_0B03020,1624,1747,1932,2168,1793,1505
KMXK_0B03030,6080,7061,8263,10693,9626,8546
KMXK_0B03040,649,755,829,1122,984,942
KMXK_0B03050,4036,4593,5410,5915,5385,4528
KMXK_0B03060,1299,1480,1684,1521,1367,1153
KMXK_0B03070,716,813,817,785,719,562
KMXK_0B03080,1249,1710,1821,1986,1665,1642
KMXK_0B03090,9928,10578,12350,14166,13476,11892
KMXK_0B03100,514,560,706,774,707,610
KMXK_0B03110,441,325,403,233,220,191
KMXK_0B03120,1253,1349,1378,1503,1481,1291
KMXK_0B03130,108,84,130,107,96,107
KMXK_0B03140,14719,14435,15336,18852,17209,15979
KMXK_0B03150,2688,3109,3316,3329,3138,2886
KMXK_0B03160,2102,2290,2664,2920,2875,2601
KMXK_0B03170,2722,2967,3271,3599,3424,3125
KMXK_0B03180,91975,95960,100704,108976,102665,94009
KMXK_0B03190,5343,5935,7079,7919,7355,6648
KMXK_0B03200,34894,36673,43903,48218,45295,38702
KMXK_0B03210,1187,1460,1531,1740,1679,1422
KMXK_0B03220,176,184,206,183,177,140
KMXK_0B03230,812,957,1173,1278,1169,914
KMXK_0B03240,4040,4382,4886,6888,6657,5711
KMXK_0B03250,1046,1205,1338,1397,1404,1298
KMXK_0B03260,2476,2091,2302,2624,2348,2065
KMXK_0B03270,1117,1104,1133,1469,1309,1215
KMXK_0B03280,4230,4042,4096,3970,3669,3604
KMXK_0B03290,129,135,130,161,149,161
KMXK_0B03300,3260,3726,4041,4258,4032,3302
KMXK_0B03310,1490,1428,1397,1065,919,661
KMXK_0B03320,2107,2173,2353,2738,2492,2362
KMXK_0B03330,146,172,199,153,151,136
KMXK_0B03340,24861,30693,30698,35042,32481,26918
KMXK_0B03350,2018,2302,2541,2754,2564,2374
KMXK_0B03360,6807,7186,7407,7648,6499,5251
KMXK_0B03370,1809,1796,1840,1952,1859,1436
KMXK_0B03380,978,1047,1191,1422,1285,1116
KMXK_0B03390,6289,6452,7229,7420,6882,6248
KMXK_0B03400,2189,1894,1807,2067,1525,1751
KMXK_0B03410,2151,2179,2583,2763,2379,2004
KMXK_0B03420,825,895,881,1023,890,799
KMXK_0B03430,87,57,68,123,59,77
KMXK_0B03440,1365,1381,1531,1702,1662,1422
KMXK_0B03450,4719,5758,6453,6920,6482,5635
KMXK_0B03460,1611,1603,1753,2063,1910,1693
KMXK_0B03470,2805,2570,2950,3636,3753,3286
KMXK_0B03480,574,657,783,1012,983,960
KMXK_0B03490,24,36,50,58,59,45
KMXK_0B03500,3142,3850,4069,4786,4360,3695
KMXK_0B03510,3706,4299,4367,4785,4477,3787
KMXK_0B03520,7597,8707,9453,10427,9071,7968
KMXK_0B03530,682,781,714,734,563,533
KMXK_0B03540,16043,19692,20366,23393,20304,17833
KMXK_0B03550,4881,5606,6475,6750,6129,5375
KMXK_0B03560,2722,2600,2474,2692,2371,1943
KMXK_0B03570,1259,1427,1409,1703,1655,1385
KMXK_0B03580,15339,14288,16233,21944,20864,19777
KMXK_0B03590,613,504,722,835,814,685
KMXK_0B03600,4451,5171,5757,6141,5812,5747
KMXK_0B03610,6573,6780,8161,9057,8773,7933
KMXK_0B03620,1116,985,1055,1253,1265,1169
KMXK_0B03630,1442,1654,1808,2118,1829,1635
KMXK_0B03640,4010,4497,4642,4628,4501,3956
KMXK_0B03650,1369,1596,1678,1756,1710,1296
KMXK_0B03660,3391,3427,4010,4684,4043,3357
KMXK_0B03670,326,311,322,480,367,398
KMXK_0B03680,1495,1730,1723,1808,1753,1504
KMXK_0B03690,11793,12533,14778,19002,19344,18348
KMXK_0B03700,4228,4308,5152,6315,5581,5100
KMXK_0B03710,12348,14185,14768,17189,16815,13963
KMXK_0B03720,1061,1409,1435,1575,1385,1161
KMXK_0B03730,2243,2370,2684,2809,2498,2255
KMXK_0B03740,1713,1515,1567,1523,1285,944
KMXK_0B03750,946,1012,1249,1284,1056,822
KMXK_0B03760,1369,1568,1814,2112,1938,1558
KMXK_0B03770,540,594,811,953,910,867
KMXK_0B03780,1898,2121,2206,2276,1992,1927
KMXK_0B03790,4941,5802,6515,6999,6538,5773
KMXK_0B03800,1098,1227,1317,1569,1599,1490
KMXK_0B03810,570,915,1250,1672,1794,1664
KMXK_0B03820,2336,2649,2938,3298,2897,2525
KMXK_0B03830,8,4,7,8,6,6
KMXK_0B03840,4208,5331,4556,4869,4668,4391
KMXK_0B03850,2482,2841,3289,3523,3075,2750
KMXK_0B03860,9,1,7,2,2,6
KMXK_0B03870,1544,1608,1712,1756,1713,1342
KMXK_0B03880,3183,3392,3776,3660,3271,2885
KMXK_0B03890,2596,2993,3347,3889,3724,3434
KMXK_0B03900,3096,3250,3068,3102,2603,2678
KMXK_0B03910,6060,6671,7130,7811,7181,5923
KMXK_0B03920,1536,1749,1979,2059,1934,1802
KMXK_0B03930,317,386,418,498,462,445
KMXK_0B03940,21,27,22,19,17,11
KMXK_0B03950,4,1,3,6,3,0
KMXK_0B03960,3035,3687,3968,4286,4169,3501
KMXK_0B03970,802,933,945,1001,858,777
KMXK_0B03980,0,1,3,2,2,0
KMXK_0B03990,1507,1639,1675,1797,1466,1387
KMXK_0B04000,3606,3729,3891,4457,4315,3863
KMXK_0B04010,742,861,947,1075,982,772
KMXK_0B04020,2110,2449,2775,2999,2871,2332
KMXK_0B04030,1060,1205,1252,1457,1274,1110
KMXK_0B04040,1591,1810,2046,2264,2216,1806
KMXK_0B04050,2115,2123,2338,2707,2240,2171
KMXK_0B04060,15897,16714,18586,21897,21375,18798
KMXK_0B04070,14532,13990,15460,19693,18968,16930
KMXK_0B04080,6057,6181,7561,9771,9230,8501
KMXK_0B04090,6192,7249,8228,9489,8209,7515
KMXK_0B04100,1228,1228,1494,1622,1399,1228
KMXK_0B04110,2506,2807,3036,3413,3057,2860
KMXK_0B04120,1561,1457,1332,1295,1017,869
KMXK_0B04130,1342,1710,1934,1778,1753,1483
KMXK_0B04140,3046,2976,3365,4076,4080,3557
KMXK_0B04150,1315,1512,1687,1724,1561,1322
KMXK_0B04160,465,605,772,672,676,564
KMXK_0B04170,6460,7621,8257,9961,8235,7643
KMXK_0B04180,1416,1661,1872,1916,1612,1245
KMXK_0B04190,969,1259,1397,1446,1344,1174
KMXK_0B04200,1513,1546,1895,2346,1996,1779
KMXK_0B04210,9227,11553,13291,14009,12965,10669
KMXK_0B04220,5882,6620,6896,7144,6527,5879
KMXK_0B04230,1777,1881,2022,1961,1698,1404
KMXK_0B04240,1752,1762,1862,1673,1377,1003
KMXK_0B04250,648,759,874,846,766,578
KMXK_0B04260,1296,1354,1298,1152,960,678
KMXK_0B04270,1891,2296,2611,2847,2355,2137
KMXK_0B04280,3471,4150,4605,5116,4735,4278
KMXK_0B04290,9647,10199,11862,13434,12477,11662
KMXK_0B04300,1366,1299,1397,1617,1386,1316
KMXK_0B04310,100,85,108,96,82,87
KMXK_0B04320,6120,7207,7390,7373,6941,5249
KMXK_0B04330,7582,8021,8226,8450,8160,7389
KMXK_0B04340,4521,4550,5378,5625,5643,4884
KMXK_0B04350,2804,2854,2964,2999,2955,2647
KMXK_0B04360,1431,1704,2089,2091,1956,1665
KMXK_0B04370,3209,4001,4360,5175,4551,4060
KMXK_0B04380,5402,6501,7257,8467,7617,6759
KMXK_0B04390,1487,1393,1780,1913,1767,1575
KMXK_0B04400,291536,284603,329732,359652,358921,319506
KMXK_0B04410,791,870,955,1116,1084,989
KMXK_0B04420,3620,4016,4409,5000,4971,4233
KMXK_0B04430,440,564,755,803,658,567
KMXK_0B04440,1729,1994,2071,2238,1915,1775
KMXK_0B04450,1066,1298,1446,1878,1560,1352
KMXK_0B04460,4317,5563,6128,6603,5755,4905
KMXK_0B04470,3910,5138,5072,5038,5314,4555
KMXK_0B04480,2099,2397,2540,2795,2760,2203
KMXK_0B04490,403,438,435,456,427,387
KMXK_0B04500,1038,1087,1092,1043,829,737
KMXK_0B04510,1093,1152,1094,1019,967,784
KMXK_0B04520,3065,3109,3342,4402,4017,3732
KMXK_0B04530,8025,7382,8403,9341,8765,7252
KMXK_0B04540,9058,10385,11661,12547,12254,11184
KMXK_0B04550,1977,2151,2262,2312,2228,2015
KMXK_0B04560,1435,1657,1854,2177,2026,1783
KMXK_0B04570,1623,1735,1897,2070,1836,1563
KMXK_0B04580,610,784,775,843,766,686
KMXK_0B04590,2242,2430,2760,2604,2538,2168
KMXK_0B04600,1933,2193,2156,2527,2311,1863
KMXK_0B04610,2974,2995,3190,3517,3349,2976
KMXK_0B04620,6724,6967,7773,8914,9051,7964
KMXK_0B04630,163,212,202,245,203,194
KMXK_0B04640,2132,2396,2335,2398,2364,2142
KMXK_0B04650,791,996,1007,1162,1015,972
KMXK_0B04660,650,736,876,1033,853,945
KMXK_0B04670,3753,3999,3887,4155,4017,3649
KMXK_0B04680,392,484,426,541,513,396
KMXK_0B04690,2173,2351,2678,3181,3082,2674
KMXK_0B04700,18136,16864,17907,22206,20154,17121
KMXK_0B04710,834,878,957,1023,882,691
KMXK_0B04720,6555,7057,7194,8307,7242,6641
KMXK_0B04730,1797,2088,2289,1824,1509,1149
KMXK_0B04740,2672,2767,2856,3241,2740,2433
KMXK_0B04750,2358,2840,2718,2808,2548,2300
KMXK_0B04760,6971,6923,7720,8771,7924,7163
KMXK_0B04770,13734,14795,17529,18284,16463,13427
KMXK_0B04780,1393,1525,1574,1981,1847,1626
KMXK_0B04790,7453,8471,9309,9829,9171,8191
KMXK_0B04800,1628,1949,2215,2519,2363,2290
KMXK_0B04810,758,808,777,764,582,521
KMXK_0B04820,4102,4674,5262,6387,6240,5383
KMXK_0B04830,1283,1405,1626,1856,1701,1520
KMXK_0B04840,2543,3340,3218,3809,3582,3146
KMXK_0B04850,2864,3111,3140,3502,3480,2934
KMXK_0B04860,3322,3897,5068,7052,7492,7619
KMXK_0B04870,748,870,976,1175,941,889
KMXK_0B04880,780,697,823,855,792,687
KMXK_0B04890,834,985,935,1120,974,947
KMXK_0B04900,3279,3291,3013,3702,2827,2450
KMXK_0B04910,3568,2995,3157,3951,3839,3713
KMXK_0B04920,1651,1649,1968,2261,2098,2110
KMXK_0B04930,672,558,475,530,421,329
KMXK_0B04940,49,20,38,19,25,24
KMXK_0B04950,2679,2501,2565,2970,2199,1952
KMXK_0B04960,8828,9475,9757,10649,9428,8092
KMXK_0B04970,5589,6319,6828,6904,6060,5331
KMXK_0B04980,1046,973,1036,1350,1046,1002
KMXK_0B04990,775,954,1006,1028,881,700
KMXK_0B05000,2528,2788,2957,3176,2990,2700
KMXK_0B05010,3304,3157,3663,4590,3896,3404
KMXK_0B05020,910,951,1238,1169,1053,967
KMXK_0B05030,2361,2837,3207,3410,3349,3015
KMXK_0B05040,9163,11165,12057,14831,13211,11271
KMXK_0B05050,30601,34834,31017,32907,32653,28709
KMXK_0B05060,6066,7008,7675,8036,7057,6069
KMXK_0B05070,924,1131,1178,1312,1108,1061
KMXK_0B05080,7884,9151,8538,9385,8429,7673
KMXK_0B05090,1066,1175,1221,1247,1152,990
KMXK_0B05100,1435,1686,1823,2222,2183,2002
KMXK_0B05110,4400,5225,5540,6389,6232,5344
KMXK_0B05120,1070,1264,1413,1645,1347,1276
KMXK_0B05130,2860,3104,3094,3621,3483,2895
KMXK_0B05140,790,1071,1084,1148,976,863
KMXK_0B05150,799,979,1271,1364,1150,979
KMXK_0B05160,984,1236,1341,1376,1224,1027
KMXK_0B05170,1015,1154,1152,1213,1185,952
KMXK_0B05180,2147,2239,2544,3095,3081,2854
KMXK_0B05190,1176,1267,1236,1424,1321,1263
KMXK_0B05200,760,944,1056,1098,1091,909
KMXK_0B05210,1230,1293,1066,1115,694,580
KMXK_0B05220,757,828,733,890,747,603
KMXK_0B05230,4954,5423,5689,5858,5342,5100
KMXK_0B05240,2226,2591,2746,2926,3030,2353
KMXK_0B05250,2575,2926,3416,3725,3356,2620
KMXK_0B05260,8126,9035,9684,10708,10604,9324
KMXK_0B05270,3148,3866,3994,5504,5231,4525
KMXK_0B05280,56,77,77,99,84,64
KMXK_0B05290,1699,1785,1948,2355,2054,1937
KMXK_0B05300,249,334,328,417,315,301
KMXK_0B05310,2857,2750,3064,3788,3399,3304
KMXK_0B05320,2891,3038,3411,3715,3343,2857
KMXK_0B05330,2423,2077,2537,3019,2686,2378
KMXK_0B05340,102,138,157,147,145,149
KMXK_0B05350,3439,3254,3379,3794,3414,2806
KMXK_0B05360,741,1062,1048,1099,1270,1052
KMXK_0B05370,636,756,938,980,1009,814
KMXK_0B05380,4265,4050,5154,8081,8491,8209
KMXK_0B05390,165,249,239,255,270,222
KMXK_0B05400,3767,4063,4239,4781,4646,4164
KMXK_0B05410,2988,3736,4377,4834,4515,3871
KMXK_0B05420,1806,2518,2702,3246,2762,2674
KMXK_0B05430,8144,9517,11739,13024,12581,11564
KMXK_0B05440,1112,1058,1235,1077,1091,1026
KMXK_0B05450,3114,3796,4300,5090,4584,3939
KMXK_0B05460,481,570,649,666,597,490
KMXK_0B05470,704,736,862,970,823,738
KMXK_0B05480,4393,4089,4524,5088,4950,4520
KMXK_0B05490,10935,9390,10745,12964,12189,11053
KMXK_0B05500,1525,1377,1694,1846,1638,1612
KMXK_0B05510,1077,1275,1429,1712,1372,1406
KMXK_0B05520,2090,2096,2273,2220,1786,1507
KMXK_0B05530,1387,1387,1558,1756,1464,1363
KMXK_0B05540,2350,2240,2233,2364,2120,1875
KMXK_0B05550,4922,5231,5752,5899,5871,5226
KMXK_0B05560,188,175,184,214,232,178
KMXK_0B05570,2996,2898,3607,4399,3919,3682
KMXK_0B05580,1547,1625,2084,2200,2126,1878
KMXK_0B05590,2163,2210,2575,3999,4118,3995
KMXK_0B05600,1105,1336,1490,1610,1566,1248
KMXK_0B05610,2307,2230,2497,2788,2599,2357
KMXK_0B05620,1098,801,714,1000,1004,932
KMXK_0B05630,6092,6711,7474,8339,7147,6318
KMXK_0B05640,13726,13172,14521,15675,15008,12770
KMXK_0B05650,2096,2292,2374,2492,2192,2031
KMXK_0B05660,4144,4740,5403,7682,7167,6413
KMXK_0B05670,833,669,798,976,732,643
KMXK_0B05680,13711,12223,12018,12483,11235,10857
KMXK_0B05690,1954,1803,2277,2630,2341,2028
KMXK_0B05700,6690,6921,8480,11076,10844,10505
KMXK_0B05710,663,607,615,778,683,651
KMXK_0B05720,442,403,435,589,470,405
KMXK_0B05730,2941,3250,3560,4242,3826,3203
KMXK_0B05740,974,1279,1330,1406,1208,1023
KMXK_0B05750,12101,15676,15960,18501,15363,13771
KMXK_0B05760,3530,3998,4171,4618,4215,3854
KMXK_0B05770,1241,1561,1619,1704,1570,1385
KMXK_0B05780,1681,1899,2181,2525,2364,2186
KMXK_0B05790,902,933,1030,1262,1344,1025
KMXK_0B05800,609,657,739,954,795,678
KMXK_0B05810,966,1065,1077,1152,1063,872
KMXK_0B05820,2866,3159,3389,3922,3783,3378
KMXK_0B05830,1743,2011,1823,2015,1802,1798
KMXK_0B05840,7903,6636,7806,9920,9542,9021
KMXK_0B05850,43,44,55,23,33,29
KMXK_0B05860,2577,2588,2942,3299,2998,2570
KMXK_0B05870,3011,2773,3416,3942,3817,3285
KMXK_0B05880,2515,2233,2606,3118,2969,2699
KMXK_0B05890,9653,10447,11239,10194,9851,8331
KMXK_0B05900,9594,9390,9882,10706,9318,8108
KMXK_0B05910,1744,2289,2310,2727,2653,2226
KMXK_0B05920,3433,3179,3671,3789,3310,2894
KMXK_0B05930,4435,4953,5648,7404,6862,6432
KMXK_0B05940,578,662,870,1082,866,930
KMXK_0B05950,477,625,616,642,478,483
KMXK_0B05960,50524,62564,66612,73087,67756,59822
KMXK_0B05970,1656,1525,1725,2162,2141,2100
KMXK_0B05980,694,828,884,910,792,759
KMXK_0B05990,127,172,150,217,242,175
KMXK_0B06000,249,271,342,390,407,377
KMXK_0B06010,546,633,642,682,657,536
KMXK_0B06020,5941,8138,10676,11856,8258,8214
KMXK_0B06030,500,467,393,555,482,438
KMXK_0B06040,565,639,737,673,705,556
KMXK_0B06050,864,1032,990,1102,882,817
KMXK_0B06060,3206,4143,4292,4268,4074,3736
KMXK_0B06070,7702,8557,9033,10479,9228,8437
KMXK_0B06080,1994,1968,2168,2312,2155,2014
KMXK_0B06090,1045,1145,1257,1148,946,722
KMXK_0B06100,5663,5458,6322,7645,6435,6044
KMXK_0B06110,1188,1207,1238,1504,1317,1238
KMXK_0B06120,3714,3705,3919,3179,3102,2652
KMXK_0B06130,1462,1669,1827,1836,1551,1306
KMXK_0B06140,6940,7239,7635,7371,7395,6155
KMXK_0B06150,2432,2956,3656,3608,3105,2871
KMXK_0B06160,8358,8928,8732,8864,9022,7806
KMXK_0B06170,3640,4218,4846,5265,4468,3658
KMXK_0B06180,1562,1923,1935,2138,1840,1658
KMXK_0B06190,5847,6585,7226,7414,6942,5936
KMXK_0B06200,329,428,487,455,381,345
KMXK_0B06210,24,16,32,30,26,24
KMXK_0B06220,4441,5095,5060,5858,5253,4823
KMXK_0B06230,1964,2139,2342,2640,2491,2170
KMXK_0B06240,3042,3576,3948,4730,4302,4199
KMXK_0B06250,3207,3490,3860,4030,3972,3482
KMXK_0B06260,1634,1975,2096,2093,1768,1446
KMXK_0B06270,4847,5223,5667,6010,5661,4949
KMXK_0B06280,6342,8103,8828,9355,8600,7675
KMXK_0B06290,3332,4587,5347,6026,5207,5144
KMXK_0B06300,1712,2012,2172,2910,2662,2521
KMXK_0B06310,3127,3519,3850,4275,4215,3533
KMXK_0B06320,2379,2371,2491,2820,2586,2336
KMXK_0B06330,1512,1754,2155,2652,2561,2472
KMXK_0B06340,2127,1747,1953,2570,2322,2013
KMXK_0B06350,11517,12678,14538,11836,10034,7834
KMXK_0B06360,902,1010,1011,1089,1016,875
KMXK_0B06370,1012,1156,1158,1236,1049,945
KMXK_0B06380,447,457,588,541,534,371
KMXK_0B06390,9376,9345,10946,14340,14744,12238
KMXK_0B06400,711,750,916,823,781,556
KMXK_0B06410,1152,1349,1337,1170,1283,1074
KMXK_0B06420,3676,4000,4340,4545,4173,3514
KMXK_0B06430,3437,4186,4450,4133,4216,3413
KMXK_0B06440,1227,1086,858,1010,704,506
KMXK_0B06450,6587,6819,6993,7902,7734,6812
KMXK_0B06460,525,760,731,813,653,579
KMXK_0B06470,1007,1198,1372,1597,1582,1434
KMXK_0B06480,1177,1378,1410,1654,1504,1244
KMXK_0B06490,1380,1666,1635,1877,1732,1518
KMXK_0B06500,919,1080,1221,1317,1108,983
KMXK_0B06510,245,356,325,361,380,255
KMXK_0B06520,75,80,77,84,68,48
KMXK_0B06530,3542,4295,4784,5196,5229,4409
KMXK_0B06540,1569,1688,1617,1842,1764,1614
KMXK_0B06550,775,876,724,965,859,643
KMXK_0B06560,1869,1862,2036,2520,2104,1921
KMXK_0B06570,1577,1842,1860,1819,1707,1474
KMXK_0B06580,1381,1388,1672,1671,1584,1313
KMXK_0B06590,1712,2225,2561,2581,2304,2008
KMXK_0B06600,1344,1457,1379,1514,1337,1147
KMXK_0B06610,602,657,797,811,831,605
KMXK_0B06620,601,627,690,621,523,493
KMXK_0B06630,3798,4427,4854,5250,4973,4324
KMXK_0B06640,4484,4680,4533,4827,4663,4164
KMXK_0B06650,3814,4291,3952,4090,3556,3211
KMXK_0B06660,5992,7139,7565,8238,7623,6242
KMXK_0B06670,373,436,402,462,435,359
KMXK_0B06680,758,835,822,829,845,644
KMXK_0B06690,4647,5453,5360,5804,5322,4763
KMXK_0B06700,8685,10044,12002,13040,12806,10748
KMXK_0B06710,1880,2268,2642,2299,2265,1773
KMXK_0B06720,28478,32841,37110,45185,44421,41169
KMXK_0B06730,112,105,114,129,115,107
KMXK_0B06740,2948,3648,3959,3958,3835,3397
KMXK_0B06750,817,854,732,793,744,709
KMXK_0B06760,3693,4166,5056,5514,5062,4416
KMXK_0B06770,2422,2323,1924,1646,1387,1105
KMXK_0B06780,1877,2324,2360,2637,2294,1974
KMXK_0B06790,572,569,687,739,666,550
KMXK_0B06800,1224,1508,1667,1727,1619,1346
KMXK_0B06810,3174,3416,3755,3714,3606,3051
KMXK_0B06820,5222,5141,5275,5846,4918,4449
KMXK_0B06830,941,1096,1001,1072,1036,866
KMXK_0B06840,468,453,392,427,316,261
KMXK_0B06850,3033,3430,4089,4282,4014,3472
KMXK_0B06860,3915,4038,4332,4743,4708,4260
KMXK_0B06870,1211,1338,1426,1551,1500,1264
KMXK_0B06880,640,695,922,976,870,721
KMXK_0B06890,639,877,875,1077,908,846
KMXK_0B06900,1225,1569,1650,1763,1562,1344
KMXK_0B06910,1238,1328,1468,1442,1429,1286
KMXK_0B06920,2098,2556,2702,2913,2731,2439
KMXK_0B06930,2143,2456,2785,3013,2796,2304
KMXK_0B06940,4017,4178,4677,4944,4881,4396
KMXK_0B06950,1321,1572,1752,2390,2181,2242
KMXK_0B06960,1329,1441,1682,1735,1668,1410
KMXK_0B06970,1705,1819,2191,2477,2312,2002
KMXK_0B06980,1937,1466,1252,1307,965,762
KMXK_0B06990,1638,1339,1074,948,776,606
KMXK_0B07000,466,559,503,509,445,450
KMXK_0B07010,1248,1545,1616,1755,1690,1415
KMXK_0B07020,341,391,474,419,375,275
KMXK_0B07030,637,743,926,957,791,755
KMXK_0B07040,1116,1245,979,1108,854,808
KMXK_0B07050,1990,2297,2618,2703,2454,2032
KMXK_0B07060,1658,1665,1859,1961,1789,1416
KMXK_0B07070,13782,13210,15168,16821,15522,13555
KMXK_0B07080,328,328,342,411,300,256
KMXK_0B07090,1094,1029,791,771,521,311
KMXK_0B07100,828,925,1014,1046,922,831
KMXK_0B07110,940,1075,1190,1294,1141,921
KMXK_0B07120,270,246,323,295,315,286
KMXK_0B07130,208,272,325,364,294,300
KMXK_0B07140,2824,3017,3250,3742,3605,3044
KMXK_0B07150,4934,4797,5483,6260,5484,5156
KMXK_0B07160,1625,1652,1737,1712,1515,1246
KMXK_0B07170,2522,3018,2938,3183,3060,2390
KMXK_0B07180,1253,1465,1421,1410,1144,1139
KMXK_0B07190,2345,2632,2736,3359,3333,2942
KMXK_0B07200,1579,1662,2022,3680,4031,4417
KMXK_0B07210,73,94,89,71,75,80
KMXK_0B07220,2991,2638,2987,3733,3694,3303
KMXK_0B07230,2165,2408,2761,4099,4221,4143
KMXK_0B07240,5616,6879,7385,8541,8087,6893
KMXK_0B07250,737,713,791,757,719,671
KMXK_0B07260,1896,1888,2279,2418,2247,1849
KMXK_0B07270,374,490,424,499,400,334
KMXK_0B07280,754,1008,1114,1411,1088,945
KMXK_0B07290,2486,2833,2908,3115,2916,2289
KMXK_0B07300,2691,2930,3306,3552,3122,2658
KMXK_0B07310,882,975,1148,1174,1028,912
KMXK_0B07320,38,45,85,224,319,322
KMXK_0B07330,292,244,353,445,470,450
KMXK_0B07340,11157,12080,13416,15506,13704,12155
KMXK_0B07350,1674,1592,1640,1812,1464,1363
KMXK_0B07360,1847,2195,2115,2083,1711,1560
KMXK_0B07370,3790,4079,4570,5581,5462,4562
KMXK_0B07380,593,652,872,1070,930,902
KMXK_0B07390,1071,1203,1394,1591,1507,1153
KMXK_0B07400,5755,6370,7476,8198,7647,6764
KMXK_0B07410,1505,1759,1906,2201,2265,2172
KMXK_0B07420,1311,1412,1767,2678,2772,3179
KMXK_0B07430,10656,9957,10733,12375,11866,11280
KMXK_0B07440,6576,6346,7703,9162,8874,7881
KMXK_0B07450,245,264,243,331,255,212
KMXK_0B07460,2694,2913,3111,3040,2695,2507
KMXK_0B07470,195,249,269,322,329,306
KMXK_0B07480,407,447,466,497,453,344
KMXK_0B07490,7145,7707,9224,9477,9450,8144
KMXK_0B07500,2146,2157,2030,1725,1471,1123
KMXK_0B07510,1987,2482,3039,3398,2559,2218
KMXK_0B07520,2667,2502,2768,3044,3089,2767
KMXK_0B07530,2081,1976,1841,1876,1568,1423
KMXK_0B07540,1395,1256,1202,1140,898,677
KMXK_0B07550,2108,2364,2518,2662,2264,2002
KMXK_0B07560,2946,3457,3759,4637,4336,3497
KMXK_0B07570,24465,30097,28713,32782,27189,25082
KMXK_0B07580,1620,1905,2157,2544,2128,1915
KMXK_0B07590,10279,11500,12156,13455,12065,10708
