genes,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
YDL248W,835,670,1167,794,1703,674
YDL247W-A,18,19,24,15,11,20
YDL247W,12,22,12,18,16,22
YDL246C,30,24,38,70,61,75
YDL245C,198,266,306,286,250,180
YDL244W,55,57,72,84,126,70
YDL243C,377,443,482,1034,1415,927
YDL242W,59,59,92,177,164,208
YDL241W,160,150,271,262,367,266
YDL240C-A,2,0,2,9,3,0
YDL240W,2251,2164,2937,2724,1812,2706
YDL239C,414,412,523,589,744,405
YDL238C,226,242,276,383,922,280
YDL237W,1783,1751,2600,1366,2307,1096
YDL236W,3017,2817,4081,4419,5411,4621
YDL235C,2993,2957,3990,4894,4821,4760
YDL234C,2221,2228,3000,4795,7786,4022
YDL233W,568,631,863,1191,1469,1111
YDL232W,864,902,1422,1926,2324,1903
YDL231C,2705,2814,3844,2802,2730,2750
YDL230W,1085,1097,1494,2996,3104,2510
YDL229W,14510,14014,21109,5591,3029,8819
YDL228C,3,3,5,6,0,2
YDL227C,5310,5639,7217,1030,1060,728
YDL226C,3646,3580,4945,3027,3368,3020
YDL225W,4063,4058,5110,8596,8129,8152
YDL224C,3875,3732,5195,5573,5099,4736
YDL223C,1348,1310,1795,1775,1663,1364
YDL222C,273,261,366,211,342,131
YDL221W,101,89,96,30,33,23
YDL220C,761,630,1029,276,220,230
YDL219W,1210,1190,1769,1559,1838,1763
YDL218W,129,113,165,270,251,301
YDL217C,1528,1404,1919,1626,1598,1604
YDL216C,584,506,815,694,832,432
YDL215C,2724,2589,3506,2142,2349,2220
YDL214C,219,241,308,1191,2419,1092
YDL213C,2961,2789,3705,2039,1630,2033
YDL212W,4462,4269,5536,5357,5838,6362
YDL211C,896,889,1164,767,475,532
tG(GCC)D1,0,0,0,0,1,1
YDL210W,184,167,262,131,263,116
YDL209C,1132,1090,1468,1873,1528,1856
YDL208W,6069,6429,8595,6555,4803,7819
YDL207W,3054,3306,4319,4632,4025,4548
YDL206W,1398,1524,1900,1988,2260,1738
YDL205C,3195,2900,4063,2380,2011,2234
YDL204W,531,529,732,983,4386,851
YDL203C,2065,2069,2927,3119,2352,2824
YDL202W,3159,3446,4315,4278,3136,4423
YDL201W,2457,2133,3109,2535,1943,3116
YDL200C,787,808,966,960,1361,866
YDL199C,550,563,649,847,2037,564
YDL198C,4487,4068,6166,2062,1419,2288
YDL197C,1795,1791,2468,1933,1523,1521
YDL196W,72,50,66,67,66,34
YDL195W,7881,8177,11137,11124,8622,11529
YDL194W,805,772,1034,1573,1816,1229
YDL193W,1435,1284,1672,2420,3770,2242
YDL192W,7025,7220,9845,4262,5380,5969
YDL191W,14764,14442,21331,3634,3489,5720
YDL190C,3393,3459,4674,4174,5463,3366
YDL189W,3479,3458,4535,3807,3401,3509
YDL188C,2586,2588,3476,2611,1939,2779
YDL187C,2,1,0,0,3,0
YDL186W,26,63,70,109,130,41
YDL185C-A,152,177,217,108,103,140
YDL185W,10317,10052,14707,6308,7809,7039
YDL184C,5261,4573,7152,2478,3454,3804
YDL183C,890,812,1021,750,796,775
YDL182W,16222,16495,24498,6686,4929,8491
YDL181W,1907,1996,2691,868,1322,798
YDL180W,2816,2487,3434,1550,1473,1685
YDL179W,3471,3387,4202,2905,2839,2474
YDL178W,6386,6247,8592,5167,4733,5559
YDL177C,953,980,1084,1560,1441,1448
YDL176W,1004,1030,1463,1008,1158,884
YDL175C,977,985,1507,1281,1180,1617
YDL174C,9376,9359,12910,3974,5558,3458
YDL173W,2014,2101,3035,4014,3402,3728
YDL172C,0,0,0,0,0,0
YDL171C,7426,7140,10136,3383,3337,3338
YDL170W,1916,1910,2520,3703,3948,3656
YDL169C,584,434,487,2420,5024,1448
YDL168W,3606,3569,4882,6824,7779,7141
YDL167C,4761,4686,6127,4930,2940,5458
YDL166C,1616,1459,2131,1936,1602,1945
YDL165W,1120,984,1430,1830,1955,1718
YDL164C,2617,2570,3423,1785,2830,1837
YDL163W,0,1,0,0,0,0
YDL162C,17,18,25,11,12,6
YDL161W,4204,4265,5281,7518,7347,6145
YDL160C-A,452,404,530,288,525,280
YDL160C,1266,1346,1886,2536,3633,2067
YDL159W-A,21,28,43,65,67,42
YDL159W,991,866,1380,1935,2024,2038
YDL159C-B,0,0,0,0,0,0
YDL158C,100,131,155,144,134,138
YDL157C,1294,1332,1711,1812,2347,2143
YDL156W,980,1025,1319,664,729,634
YDL155W,2174,2221,3015,3020,2493,2565
YDL154W,445,425,573,771,1254,836
