genes,direction
CENPK1137D_438,up
CENPK1137D_1386,mixed
CENPK1137D_4545,up
CENPK1137D_4476,up
CENPK1137D_870,down
CENPK1137D_521,up
CENPK1137D_1525,up
CENPK1137D_2770,up
CENPK1137D_1940,mixed
CENPK1137D_3026,up
CENPK1137D_4620,mixed
CENPK1137D_4072,down
CENPK1137D_4563,up
CENPK1137D_2119,up
CENPK1137D_4859,down
CENPK1137D_591,up
CENPK1137D_3192,mixed
CENPK1137D_2486,mixed
CENPK1137D_2196,up
CENPK1137D_1113,mixed
CENPK1137D_3406,mixed
CENPK1137D_239,down
CENPK1137D_20,down
CENPK1137D_225,down
CENPK1137D_2971,down
CENPK1137D_1410,up
CENPK1137D_1744,down
CENPK1137D_1885,down
CENPK1137D_1527,down
CENPK1137D_4614,mixed
CENPK1137D_3503,down
CENPK1137D_3292,mixed
CENPK1137D_1642,down
CENPK1137D_5334,down
CENPK1137D_5119,down
CENPK1137D_3027,down
CENPK1137D_2605,up
CENPK1137D_5408,up
CENPK1137D_2393,up
CENPK1137D_5214,down
CENPK1137D_2568,down
CENPK1137D_3402,down
CENPK1137D_91,down
CENPK1137D_2456,down
CENPK1137D_3861,up
CENPK1137D_723,down
CENPK1137D_2567,down
CENPK1137D_3615,down
CENPK1137D_1024,up
CENPK1137D_1111,up
CENPK1137D_3141,down
CENPK1137D_3444,down
CENPK1137D_3491,down
CENPK1137D_4349,mixed
CENPK1137D_4096,up
CENPK1137D_5314,down
CENPK1137D_3054,mixed
CENPK1137D_1214,down
CENPK1137D_5399,down
CENPK1137D_3477,down
CENPK1137D_2050,up
CENPK1137D_467,mixed
CENPK1137D_5024,mixed
CENPK1137D_1,mixed
CENPK1137D_3371,mixed
CENPK1137D_2345,up
CENPK1137D_2993,up
CENPK1137D_1043,up
CENPK1137D_203,mixed
CENPK1137D_724,down
CENPK1137D_5239,mixed
CENPK1137D_132,mixed
CENPK1137D_2104,down
CENPK1137D_2149,down
CENPK1137D_44,down
CENPK1137D_384,down
CENPK1137D_484,up
CENPK1137D_1524,down
CENPK1137D_2760,down
CENPK1137D_840,up
CENPK1137D_2139,down
CENPK1137D_2729,down
CENPK1137D_2182,up
CENPK1137D_2939,up
CENPK1137D_3142,down
CENPK1137D_444,down
CENPK1137D_2084,up
CENPK1137D_3004,up
CENPK1137D_2752,up
CENPK1137D_1128,down
CENPK1137D_5445,up
CENPK1137D_4516,down
CENPK1137D_3445,down
CENPK1137D_4496,up
CENPK1137D_4208,down
CENPK1137D_624,down
CENPK1137D_3746,down
CENPK1137D_5137,down
CENPK1137D_4651,down
CENPK1137D_2744,mixed
CENPK1137D_4331,down
CENPK1137D_547,down
CENPK1137D_3250,down
CENPK1137D_5049,down
CENPK1137D_1264,up
CENPK1137D_4617,down
CENPK1137D_2231,up
CENPK1137D_3605,down
CENPK1137D_5287,down
CENPK1137D_4507,mixed
CENPK1137D_4363,mixed
CENPK1137D_3446,up
CENPK1137D_3859,up
CENPK1137D_1667,up
CENPK1137D_888,up
CENPK1137D_3897,down
CENPK1137D_4211,down
CENPK1137D_5041,down
CENPK1137D_933,up
CENPK1137D_2636,up
CENPK1137D_429,down
CENPK1137D_5107,down
CENPK1137D_2934,mixed
CENPK1137D_2583,up
CENPK1137D_3694,down
CENPK1137D_2857,up
CENPK1137D_3045,down
CENPK1137D_40,mixed
CENPK1137D_2827,down
CENPK1137D_1406,down
CENPK1137D_1824,down
CENPK1137D_684,down
CENPK1137D_1395,down
CENPK1137D_5414,down
CENPK1137D_5241,up
CENPK1137D_4855,up
CENPK1137D_3496,up
CENPK1137D_4777,down
CENPK1137D_3046,mixed
CENPK1137D_5448,up
CENPK1137D_4924,down
CENPK1137D_2612,down
CENPK1137D_2941,down
CENPK1137D_451,down
CENPK1137D_1066,down
CENPK1137D_2698,down
CENPK1137D_2442,up
CENPK1137D_4455,up
CENPK1137D_1906,down
CENPK1137D_704,down
CENPK1137D_3984,up
CENPK1137D_640,down
CENPK1137D_3482,down
CENPK1137D_809,up
CENPK1137D_4131,down
CENPK1137D_2780,down
CENPK1137D_3813,up
CENPK1137D_296,down
CENPK1137D_2947,up
CENPK1137D_1862,down
CENPK1137D_2114,down
CENPK1137D_794,down
CENPK1137D_3666,down
CENPK1137D_75,up
CENPK1137D_3135,up
CENPK1137D_759,up
CENPK1137D_2503,down
CENPK1137D_1432,down
CENPK1137D_3,down
CENPK1137D_2384,down
CENPK1137D_2927,up
CENPK1137D_2107,up
CENPK1137D_33,up
CENPK1137D_435,down
CENPK1137D_374,down
CENPK1137D_4372,up
CENPK1137D_583,up
CENPK1137D_3764,down
CENPK1137D_2665,down
CENPK1137D_3826,down
CENPK1137D_4272,down
CENPK1137D_5343,up
CENPK1137D_3574,up
CENPK1137D_1184,up
CENPK1137D_637,down
CENPK1137D_4526,down
CENPK1137D_3744,down
CENPK1137D_999,down
CENPK1137D_579,up
CENPK1137D_3249,down
CENPK1137D_1197,up
CENPK1137D_1855,down
CENPK1137D_708,up
CENPK1137D_4530,down
CENPK1137D_4789,up
CENPK1137D_4577,down
CENPK1137D_4276,down
CENPK1137D_551,down
CENPK1137D_4871,up
CENPK1137D_927,down
CENPK1137D_3336,down
CENPK1137D_675,down
CENPK1137D_2899,down
CENPK1137D_4341,up
CENPK1137D_4256,down
CENPK1137D_217,up
CENPK1137D_3742,down
CENPK1137D_5206,down
CENPK1137D_1534,up
CENPK1137D_4109,down
CENPK1137D_4294,up
CENPK1137D_886,down
CENPK1137D_4969,up
CENPK1137D_3869,down
CENPK1137D_5449,down
CENPK1137D_3175,down
CENPK1137D_4189,up
CENPK1137D_461,down
CENPK1137D_950,down
CENPK1137D_2199,up
CENPK1137D_2898,down
CENPK1137D_1914,down
CENPK1137D_1277,down
CENPK1137D_3182,up
CENPK1137D_2532,up
CENPK1137D_4643,down
CENPK1137D_4459,down
CENPK1137D_426,down
CENPK1137D_3639,down
CENPK1137D_3752,down
CENPK1137D_4426,down
CENPK1137D_356,up
CENPK1137D_631,mixed
CENPK1137D_4518,down
CENPK1137D_3530,down
CENPK1137D_2346,up
CENPK1137D_1438,down
CENPK1137D_28,down
CENPK1137D_437,up
CENPK1137D_2424,up
CENPK1137D_337,down
CENPK1137D_4560,up
CENPK1137D_3101,up
CENPK1137D_5289,down
CENPK1137D_1904,down
CENPK1137D_3140,up
CENPK1137D_2492,up
CENPK1137D_3343,down
CENPK1137D_1419,down
CENPK1137D_99,up
CENPK1137D_174,down
CENPK1137D_3883,down
CENPK1137D_2251,down
CENPK1137D_5006,mixed
CENPK1137D_812,down
CENPK1137D_2083,down
CENPK1137D_230,down
CENPK1137D_3051,down
CENPK1137D_4926,down
CENPK1137D_5109,down
CENPK1137D_4947,up
CENPK1137D_90,up
CENPK1137D_5007,down
CENPK1137D_3899,down
CENPK1137D_2840,down
CENPK1137D_2648,down
CENPK1137D_1620,down
CENPK1137D_3865,down
CENPK1137D_953,down
CENPK1137D_3898,up
CENPK1137D_2755,up
CENPK1137D_5131,up
CENPK1137D_2670,up
CENPK1137D_3851,down
CENPK1137D_3479,down
CENPK1137D_2232,up
CENPK1137D_935,down
CENPK1137D_3157,down
CENPK1137D_4509,down
CENPK1137D_4403,up
CENPK1137D_728,down
CENPK1137D_4048,down
CENPK1137D_2852,down
CENPK1137D_1156,up
CENPK1137D_2502,up
CENPK1137D_5269,down
CENPK1137D_5389,down
CENPK1137D_399,down
CENPK1137D_169,mixed
CENPK1137D_3618,down
CENPK1137D_3221,down
CENPK1137D_3732,down
CENPK1137D_2964,down
CENPK1137D_4699,up
CENPK1137D_3383,down
CENPK1137D_5073,up
CENPK1137D_1370,down
CENPK1137D_939,down
CENPK1137D_2322,down
CENPK1137D_207,up
CENPK1137D_1894,mixed
CENPK1137D_5159,mixed
CENPK1137D_148,down
CENPK1137D_1860,down
CENPK1137D_5134,down
CENPK1137D_4565,mixed
CENPK1137D_1957,down
CENPK1137D_3941,down
CENPK1137D_1764,up
CENPK1137D_3835,down
CENPK1137D_66,down
CENPK1137D_963,mixed
CENPK1137D_3792,up
CENPK1137D_3947,up
CENPK1137D_5031,down
CENPK1137D_4049,down
CENPK1137D_1088,up
CENPK1137D_1224,up
CENPK1137D_4073,down
CENPK1137D_4008,up
CENPK1137D_462,down
CENPK1137D_5327,up
CENPK1137D_4990,down
CENPK1137D_3597,down
CENPK1137D_3564,up
CENPK1137D_111,up
CENPK1137D_2938,mixed
CENPK1137D_3340,down
CENPK1137D_786,up
CENPK1137D_5307,up
CENPK1137D_5272,down
CENPK1137D_2519,down
CENPK1137D_3216,up
CENPK1137D_4200,down
CENPK1137D_5283,down
CENPK1137D_3942,down
CENPK1137D_126,down
CENPK1137D_4733,down
CENPK1137D_4460,up
CENPK1137D_1521,up
CENPK1137D_3853,down
CENPK1137D_3804,up
CENPK1137D_4754,down
CENPK1137D_3311,up
CENPK1137D_150,down
CENPK1137D_1257,down
CENPK1137D_2639,down
CENPK1137D_1123,down
CENPK1137D_1146,down
CENPK1137D_905,down
CENPK1137D_3469,up
CENPK1137D_4336,up
CENPK1137D_3790,up
CENPK1137D_5104,down
CENPK1137D_1941,down
CENPK1137D_889,up
CENPK1137D_5081,down
CENPK1137D_2545,down
CENPK1137D_1851,down
CENPK1137D_86,up
CENPK1137D_2746,down
CENPK1137D_5141,up
CENPK1137D_4853,down
CENPK1137D_4571,down
CENPK1137D_784,up
CENPK1137D_3209,up
CENPK1137D_382,up
CENPK1137D_3053,down
CENPK1137D_1665,down
CENPK1137D_1697,down
CENPK1137D_2712,up
CENPK1137D_3428,up
CENPK1137D_1993,up
CENPK1137D_36,down
CENPK1137D_5429,up
CENPK1137D_1304,up
CENPK1137D_3094,down
CENPK1137D_3789,up
CENPK1137D_4929,down
CENPK1137D_1706,up
CENPK1137D_2071,up
CENPK1137D_4938,down
CENPK1137D_4558,up
CENPK1137D_894,down
CENPK1137D_2835,down
CENPK1137D_3646,down
CENPK1137D_2246,down
CENPK1137D_5015,down
CENPK1137D_2878,down
CENPK1137D_5249,up
CENPK1137D_2643,down
CENPK1137D_292,down
CENPK1137D_2178,up
CENPK1137D_5441,up
CENPK1137D_3315,down
CENPK1137D_5411,down
CENPK1137D_4769,down
CENPK1137D_3741,down
CENPK1137D_4353,up
CENPK1137D_4351,down
CENPK1137D_1389,down
CENPK1137D_1962,down
CENPK1137D_4572,down
CENPK1137D_2400,down
CENPK1137D_2740,up
CENPK1137D_4193,up
CENPK1137D_557,down
CENPK1137D_3458,down
CENPK1137D_1280,down
CENPK1137D_138,down
CENPK1137D_630,down
CENPK1137D_3279,down
CENPK1137D_956,down
CENPK1137D_2190,down
CENPK1137D_3798,up
CENPK1137D_5384,up
CENPK1137D_673,down
CENPK1137D_2482,down
CENPK1137D_955,down
CENPK1137D_4453,up
CENPK1137D_1163,down
CENPK1137D_4170,down
CENPK1137D_1528,down
CENPK1137D_1968,down
CENPK1137D_5171,down
CENPK1137D_1249,down
CENPK1137D_1087,down
CENPK1137D_4345,down
CENPK1137D_3109,up
CENPK1137D_5428,up
CENPK1137D_5102,down
CENPK1137D_4500,up
CENPK1137D_1444,down
CENPK1137D_5103,down
CENPK1137D_232,down
CENPK1137D_278,down
CENPK1137D_1608,down
CENPK1137D_4601,down
CENPK1137D_715,down
CENPK1137D_425,up
CENPK1137D_4472,down
CENPK1137D_5285,down
CENPK1137D_2696,down
CENPK1137D_3404,up
CENPK1137D_3873,down
CENPK1137D_442,down
CENPK1137D_808,down
CENPK1137D_2565,down
CENPK1137D_4450,down
CENPK1137D_1274,down
CENPK1137D_574,down
CENPK1137D_3016,down
CENPK1137D_127,down
CENPK1137D_4609,down
CENPK1137D_2666,down
CENPK1137D_2980,down
CENPK1137D_3254,up
CENPK1137D_2434,down
CENPK1137D_978,down
CENPK1137D_3483,down
CENPK1137D_5186,down
CENPK1137D_2263,up
CENPK1137D_3166,down
CENPK1137D_1710,up
CENPK1137D_3304,up
CENPK1137D_3299,up
CENPK1137D_3146,down
CENPK1137D_5048,down
CENPK1137D_4362,up
CENPK1137D_3481,down
CENPK1137D_4858,up
CENPK1137D_2202,down
CENPK1137D_4380,down
CENPK1137D_5108,up
CENPK1137D_3368,down
CENPK1137D_4695,down
CENPK1137D_5364,down
CENPK1137D_4354,down
CENPK1137D_2642,up
CENPK1137D_2406,up
CENPK1137D_5130,down
CENPK1137D_364,down
CENPK1137D_4473,up
CENPK1137D_4713,up
CENPK1137D_3485,up
CENPK1137D_3215,down
CENPK1137D_2662,down
CENPK1137D_4413,down
CENPK1137D_1104,down
CENPK1137D_4182,down
CENPK1137D_4209,down
CENPK1137D_2409,down
CENPK1137D_208,down
CENPK1137D_3119,down
CENPK1137D_3224,down
CENPK1137D_1303,down
CENPK1137D_5424,down
CENPK1137D_3617,down
CENPK1137D_1254,down
CENPK1137D_2396,up
CENPK1137D_2054,down
CENPK1137D_5286,down
CENPK1137D_3958,down
CENPK1137D_2735,down
CENPK1137D_2000,up
CENPK1137D_2521,down
CENPK1137D_3534,down
CENPK1137D_899,down
CENPK1137D_2397,down
CENPK1137D_544,down
CENPK1137D_3437,down
CENPK1137D_3890,down
CENPK1137D_4844,down
CENPK1137D_3854,up
CENPK1137D_906,up
CENPK1137D_377,down
CENPK1137D_2570,up
CENPK1137D_3330,up
CENPK1137D_2925,down
CENPK1137D_1471,down
CENPK1137D_5242,down
CENPK1137D_1403,down
CENPK1137D_1086,down
CENPK1137D_2253,down
CENPK1137D_4693,down
CENPK1137D_428,up
CENPK1137D_1959,up
CENPK1137D_4485,down
CENPK1137D_1842,down
CENPK1137D_3840,down
CENPK1137D_4098,down
CENPK1137D_1956,down
CENPK1137D_1841,down
CENPK1137D_289,down
CENPK1137D_334,down
CENPK1137D_4488,down
CENPK1137D_651,down
CENPK1137D_3701,down
CENPK1137D_5446,up
CENPK1137D_4549,down
CENPK1137D_1876,down
CENPK1137D_5311,down
CENPK1137D_3416,down
CENPK1137D_680,down
CENPK1137D_3202,down
CENPK1137D_1488,down
CENPK1137D_387,up
CENPK1137D_1536,down
CENPK1137D_4708,down
CENPK1137D_612,down
CENPK1137D_3316,up
CENPK1137D_2677,down
CENPK1137D_1639,up
CENPK1137D_3305,down
CENPK1137D_5160,down
CENPK1137D_3350,up
CENPK1137D_2152,down
CENPK1137D_3339,up
CENPK1137D_3379,up
CENPK1137D_1133,down
CENPK1137D_2148,up
CENPK1137D_4361,down
CENPK1137D_885,down
CENPK1137D_3118,down
CENPK1137D_1668,down
CENPK1137D_2031,down
CENPK1137D_670,down
CENPK1137D_272,down
CENPK1137D_5191,down
CENPK1137D_2070,up
CENPK1137D_4279,down
CENPK1137D_5367,up
CENPK1137D_2586,down
CENPK1137D_2005,down
CENPK1137D_3510,down
CENPK1137D_1025,up
CENPK1137D_4562,down
CENPK1137D_3032,up
CENPK1137D_932,down
CENPK1137D_82,down
CENPK1137D_1106,down
CENPK1137D_3687,up
CENPK1137D_3695,down
CENPK1137D_1523,down
CENPK1137D_3427,down
CENPK1137D_5284,down
CENPK1137D_5092,down
CENPK1137D_1049,down
CENPK1137D_3076,up
CENPK1137D_2690,down
CENPK1137D_1830,down
CENPK1137D_3590,down
CENPK1137D_4037,down
CENPK1137D_2402,down
CENPK1137D_1300,down
CENPK1137D_3495,down
CENPK1137D_285,down
CENPK1137D_2426,down
CENPK1137D_1480,up
CENPK1137D_3282,down
CENPK1137D_5335,down
CENPK1137D_2858,down
CENPK1137D_4995,up
CENPK1137D_4229,up
CENPK1137D_4474,down
CENPK1137D_98,up
CENPK1137D_3908,down
CENPK1137D_1893,up
CENPK1137D_5308,up
CENPK1137D_526,down
CENPK1137D_4463,down
CENPK1137D_4451,down
CENPK1137D_2537,down
CENPK1137D_1498,up
CENPK1137D_396,down
CENPK1137D_2658,down
CENPK1137D_3466,down
CENPK1137D_3866,down
CENPK1137D_3180,down
