genes,direction
YBR001C,up
YJR094C,mixed
YLL055W,down
YHR092C,down
YBR076W,mixed
YNL196C,mixed
YOR100C,up
YCL025C,up
YAR035W,up
YNL270C,up
YFR020W,mixed
YKL221W,mixed
YNL134C,down
YLR213C,up
YMR189W,down
TLC1,up
YLR053C,up
YGL001C,down
YML008C,down
YER091C,down
YKR102W,up
YNL074C,up
YOR214C,up
YHR183W,down
YPL187W,mixed
YMR133W,up
YGR060W,down
YLR136C,up
YFR029W,up
YOR178C,up
YPR128C,down
YJR115W,up
YMR279C,up
YOL064C,down
YHR190W,down
YMR202W,down
YDR248C,down
YML116W,down
YNL111C,down
YLR354C,down
YDR042C,up
YHR163W,down
YLR056W,down
YAL018C,mixed
YER081W,down
YGL170C,up
YBR019C,up
YPR025C,up
YBR050C,up
YDR273W,up
YLR303W,down
YGL263W,mixed
YER043C,down
YJL088W,down
YHR015W,up
YIR016W,down
YJR016C,down
YML066C,up
YPL058C,down
YER188C-A,up
YPL130W,up
YOL047C,up
YNL112W,down
YLR367W,down
YJL137C,up
YGR059W,up
YLR355C,down
YGL071W,up
YLR176C,up
YOR328W,up
YJR048W,down
YNL103W-A,down
YMR062C,down
YML126C,down
YHR007C,down
YMR015C,down
YHR071W,down
YGR023W,up
YGR175C,down
YDR173C,up
YPL274W,down
YBR201C-A,up
YGR294W,down
YBR034C,down
YBR249C,down
YDR403W,up
YKL006W,down
YER069W,down
YGR225W,mixed
YAR020C,down
YPR138C,mixed
YML022W,down
YJL167W,down
YIL165C,down
YPL231W,down
YOR177C,up
YKL182W,down
YNL280C,down
YKR097W,up
YLL045C,down
YER054C,mixed
YGR174W-A,up
YOR130C,down
YLR058C,down
YDL085W,mixed
YOR066W,up
YOR064C,up
YBL082C,down
YNL130C-A,up
YIL016W,down
YMR318C,mixed
YOL038C-A,up
YNR043W,down
YCR021C,down
YBR108W,up
YOR381W-A,up
YGL225W,down
YLR249W,down
YNL133C,up
YER086W,down
snR83,up
YER033C,up
YDL248W,down
YNL328C,up
YER044C,down
YNR064C,mixed
YKL180W,down
YER073W,down
YAR075W,mixed
YMR221C,down
YLR167W,down
YNR050C,down
YBR189W,down
YFL020C,down
YBR106W,down
YBR162C,down
YPL055C,up
YDR508C,up
YOR008W-B,up
YIR027C,up
YLR029C,down
YOL140W,down
YPL171C,down
YPL265W,up
YGR234W,down
YPL272C,down
YBR131W,up
snR84,up
YDL081C,down
YCL044C,up
YOR372C,up
YGL012W,down
YGL032C,up
YDR502C,down
YJR150C,down
YLR372W,down
YDL229W,down
YMR101C,mixed
YNL302C,down
YGR222W,up
YLR175W,down
YOR167C,down
YNL104C,down
YPR013C,up
YDR471W,down
YFL011W,mixed
YGL026C,down
YER056C,down
YBL030C,down
YIR038C,down
YIL164C,down
YGR295C,down
YKL129C,up
YMR120C,down
YOL037C,up
YML131W,mixed
YGL103W,down
YBR118W,down
YJR145C,down
YDL071C,down
YMR017W,up
YGR034W,down
YOL092W,down
YEL057C,up
YFR032C-A,down
YGR118W,down
YJR078W,up
YDL182W,down
YLR109W,down
YMR320W,down
YHR007C-A,up
YAR035C-A,up
YDR212W,down
YGR159C,down
YCR018C,up
YOR308C,up
YER035W,up
YJL119C,up
YPR074C,down
YIL161W,up
YMR242C,down
YFR023W,mixed
YIL037C,up
YDR029W,up
YDR382W,down
YEL053W-A,down
YBL012C,up
YLR326W,up
YPL273W,down
YIL018W,down
YDR541C,down
YDR158W,down
YDR169C,up
YEL041W,down
YFR017C,up
YLR180W,down
YDL022C-A,up
YFR036W,up
YOR120W,down
YKL219W,down
YDR531W,down
YER044C-A,up
SRG1,up
YKL060C,down
YOR276W,down
YCL019W,up
YIL074C,down
YPR154W,up
YMR169C,mixed
YDR418W,down
YML089C,up
YMR156C,up
YDR233C,down
YNL318C,up
YPL249C-A,down
YIL052C,down
YDL061C,down
YJL177W,down
YNL175C,down
YJR038C,up
YMR273C,up
YOR383C,mixed
YBL072C,down
YNL336W,down
YOL127W,down
YDL130W,down
YGR135W,down
YLR052W,up
YDR527W,up
YHR035W,up
YLR153C,down
YOR242C,up
YBR072W,down
YLR054C,up
YLR388W,down
YNL309W,up
YPL198W,down
YDL212W,down
YLR337C,up
YCR053W,down
YPL220W,down
YJR094W-A,down
YGR236C,mixed
YDL242W,up
YDL133C-A,down
YJR109C,down
YNL190W,up
YCR005C,up
YGL055W,down
YPL033C,up
YOL039W,down
YDR224C,down
YDR226W,down
YOL120C,down
YIL071W-A,up
YIL069C,down
YGL147C,down
YLR340W,down
YJR077C,down
YHR021C,down
YGL031C,down
YBR151W,up
YDL169C,up
YGR088W,mixed
YMR107W,mixed
YJL190C,down
YBR200W-A,up
YCL030C,down
YDL192W,down
YGL224C,down
YFL062W,down
YDR064W,down
YPR132W,down
YER102W,down
YLR075W,down
YJL067W,up
YIL101C,mixed
YOR310C,down
tD(GUC)N,up
RUF21,up
YGL128C,up
YDR045C,down
YGL123W,down
YHR216W,mixed
YNL239W,down
YBR054W,down
YJR123W,down
YOR181W,up
YMR007W,down
YBL051C,up
YLR441C,down
YEL054C,down
YDR225W,down
YDL075W,down
YMR142C,down
YER117W,down
YDL012C,up
YDR237W,down
YOR312C,down
YPL090C,down
YNL178W,down
YBR258C,up
YLR197W,down
YGL030W,down
YDR155C,down
YKR077W,up
YLR229C,down
YGR035C,up
YDL184C,down
YLL053C,down
YHR018C,down
YDR450W,down
YNL042W,up
YPL027W,up
YFL045C,down
YGL262W,mixed
YFL039C,down
YOR028C,up
YHR141C,down
YLR279W,down
YFR035C,down
YGR148C,down
YLR185W,down
YFL010C,up
YDR429C,down
YHR087W,down
YEL009C,down
YPL079W,down
YPL211W,down
YJR009C,mixed
YOR182C,down
YHR191C,up
YPL056C,up
YBL092W,down
YDR523C,mixed
YMR143W,down
YOR063W,down
YLL052C,down
YMR069W,up
YMR122W-A,down
YPL276W,mixed
YOL160W,up
YIR009W,up
YDR257C,down
YML024W,down
YMR116C,down
YAR019W-A,up
YER074W,down
YDR010C,up
YLL050C,down
YGL076C,down
YIL148W,down
YIL100C-A,mixed
YJL026W,down
YDR231C,down
YHL028W,up
YCR010C,mixed
YGL259W,mixed
YLR236C,up
snR51,up
YOR369C,down
YNL209W,down
YEL020W-A,down
YGR192C,down
YLR061W,down
YDR183C-A,up
YAL013W,up
YEL049W,down
YBR191W-A,up
YGR177C,down
YNL089C,up
YML078W,down
YML090W,up
YLR359W,down
YOR382W,up
YML026C,down
YDL083C,down
YHR139C,down
YCR031C,down
YOL077W-A,up
YPR102C,down
YBR256C,down
YNR021W,down
snR10,up
YMR245W,up
YOR255W,up
YDR468C,up
YER137C,up
YDL084W,down
YLR206W,up
YDR539W,up
YHL044W,up
YCR034W,down
YGR201C,down
YGR169C-A,up
YOR375C,down
YMR232W,mixed
YLR050C,down
YGL168W,down
YDR163W,up
YPR159C-A,up
YCR012W,down
YGR121W-A,up
YPL237W,down
