"","genes","logFC","logCPM","PValue","FDR"
"3152","YMR182C",1.11055616136699,5.27729764310447,2.73261461863595e-14,1.6250859137028e-10
"5599","YCL044C",1.3583499520025,6.70607847381727,3.72338436037346e-12,9.93243045769272e-09
"3604","YBR191W-A",2.66205429050013,2.01410919567679,5.0104744195524e-12,9.93243045769272e-09
"602","YDR361C",-0.70747122627315,6.4226498190645,2.25626019391971e-11,2.00248110402187e-08
"600","YDR359C",1.0263954340164,7.19361388107181,2.56482097103524e-11,2.00248110402187e-08
"5235","YHR092C",-1.02229908308633,6.5150991773458,2.60230422583538e-11,2.00248110402187e-08
"4132","YJL205C",0.937674823615409,5.60002581420369,2.68054470569934e-11,2.00248110402187e-08
"4625","YKL068W-A",-1.07472243666022,6.6102636468878,2.69376977167899e-11,2.00248110402187e-08
"1094","YOR156C",0.799688717470748,5.7475742820999,4.35551736221757e-11,2.73384162748193e-08
"4844","YEL033W",1.0499898150165,5.30731837481402,4.59700963087595e-11,2.73384162748193e-08
"5083","YER188C-A",1.81254596171865,2.20593126497752,6.01307640573636e-11,3.25088776226492e-08
"2132","YLR229C",-1.73312879987266,5.92875559298295,7.11344857203614e-11,3.52530655482491e-08
"1723","YGR156W",0.878716201381656,6.28038584553729,9.26965227453913e-11,4.24050939051417e-08
"2420","YPL221W",-0.968907607013296,7.64869162442839,1.00571464546389e-10,4.27213214040981e-08
"4628","YKL066W",1.98631468260534,6.43627466297876,1.52410480188868e-10,6.04256750455465e-08
"1705","YGR137W",-1.28248057729204,3.02860151195435,1.73035291061725e-10,6.43150547465051e-08
"1474","YGL103W",-1.58127051763756,6.50372932916631,2.36067476969032e-10,8.25819579726372e-08
"5123","YHL010C",0.981574526996467,5.85792390881744,2.81339993760545e-10,8.9402609254609e-08
"5514","YIL021W",-0.72417477671497,5.74667145566862,2.85631339471594e-10,8.9402609254609e-08
"3132","YMR164C",0.996124043056298,6.48155678067622,3.36384463176989e-10,1.00023920125678e-07
"5095","YHL036W",-0.761188616021382,6.18585381869563,4.57455110105962e-10,1.23382897399768e-07
"4775","YKR083C",0.857869642259682,5.65406551095324,4.77846280165306e-10,1.23382897399768e-07
"2912","YML056C",-1.59361131503544,5.95121251062741,5.00988789622741e-10,1.23382897399768e-07
"2241","YLR337C",1.2050706042966,6.82085177579907,5.14868587879648e-10,1.23382897399768e-07
"3399","YBL012C",2.43492988418961,2.4346660302327,5.18677053135058e-10,1.23382897399768e-07
"78","YDL169C",1.19766422426704,7.07970900994204,6.55145466453731e-10,1.49851926500013e-07
"2574","YPL065W",0.569971092642885,5.79536998315688,8.29792421707581e-10,1.82769464144259e-07
"3257","YMR279C",0.879476689580372,4.78805644291586,1.04367694725827e-09,2.21669528762319e-07
"2683","YPR045C",0.684130890352399,6.53991146552075,1.13428479967887e-09,2.27489209870377e-07
"4102","YNR059W",-0.696629445705313,5.13631398643442,1.177626081555e-09,2.27489209870377e-07
