genes,HiT,LpH,Osm
YBR050C,1.06437873267616,1.81199913770238,1.3850009313561
YER188C-A,1.80999592098392,0.99562325317468,1.49441868090395
YPL141C,0.707693185448323,0.904504704881653,2.01123192371542
YCL019W,0.831503758548317,1.1875439688592,1.54847663481801
YML089C,0.847482684198776,1.14704795367096,2.60118513910168
YMR291W,0.600013297507017,0.673272517888844,0.943888541170931
YMR164C,0.727234705670716,1.09725109807008,0.931184882911912
YPR005C,0.679475578109749,0.907286684366725,0.82427381922674
YBL100W-B,0.625849436173653,0.886064712795355,0.893288877665467
YMR039C,0.627104282675834,0.756337034725721,1.06551627604669
YOR028C,1.18417741712072,1.32540370468329,0.715196313141905
YNL298W,0.613236385853359,0.730883491664369,0.574686681464299
YOR382W,0.793284998719384,0.605357416056321,0.728167559390418
YHL044W,1.40219608319981,0.667814016808169,0.932530000150959
YOR390W,0.597125640329415,0.766031419973805,0.674789925189394
YAR031W,0.804376556662944,0.721688179907586,0.627766821645373
YOL132W,0.630184718280489,1.51028784603036,0.545756771065666
YGR243W,0.657574076781813,0.853140644207747,1.08252244888377
YDR309C,0.569946319578048,0.55983807960406,0.551400916134085
YGR240C-A,0.563327885666653,0.630136015449792,0.631843348203322
YBL021C,0.616105822799012,0.527775233966318,0.551256618331088
YNL180C,0.723542651766728,0.71795763626028,0.718043724477794
YEL067C,0.598902467744888,0.522838471541482,0.582950741987145
YER150W,0.699198275955224,0.502168596451253,0.694729901418657
YDR274C,0.699564039929343,0.529453614820569,0.552051669620798
