"","genes","logFC","logCPM","PValue","FDR"
"4409","YJR096W",-1.4049183441062,7.79017602776603,1.58868881990298e-16,5.21985216130552e-15
"1698","YGR130C",-0.89694950302068,9.26676949587129,2.11485085428572e-16,6.91044946727316e-15
"5318","YHR171W",-0.874872842706167,6.29848920272277,2.26433146649017e-16,7.35845859629347e-15
"3119","YMR152W",-0.918019205807074,7.80095803387947,2.54042999864653e-16,8.2108354358429e-15
"1793","YGR225W",-1.69465416541056,3.8124076882566,2.78142125890047e-16,8.94114174415194e-15
"4598","YKL096W",1.76923897048506,6.39197661197758,2.92042625579317e-16,9.33751341032366e-15
"3478","YBR066C",-1.48980511521904,8.04201394962278,3.06774298840887e-16,9.75607890484895e-15
"4302","YJL026W",-1.84829936734593,9.0055527920408,3.53919910141005e-16,1.11955409872796e-14
"623","YDR379C-A",-0.927500041570836,6.11839636533543,3.5963901126363e-16,1.13162603173799e-14
"2369","YPL272C",-3.47105221997209,8.45878127422002,4.8849272969768e-16,1.52898224395374e-14
"4012","YNL034W",-1.88635182744372,2.95973448124637,5.60241184020903e-16,1.74437399024728e-14
"4636","YKL059C",0.694388241105003,6.33357955811294,5.83936272981869e-16,1.80868177886624e-14
"4916","YER037W",-1.7764511731988,6.43921302608661,5.91419543107906e-16,1.82236892376306e-14
"4077","YNR034W",1.28456550669975,6.07557118051159,6.81629007927524e-16,2.08950912894071e-14
"2637","YPL001W",0.732720477928307,6.559049773874,7.9168023302702e-16,2.41442171580086e-14
"602","YDR361C",0.825499910912193,6.4226498190645,7.97187101350815e-16,2.41881208761903e-14
"3064","YMR100W",-0.764477699341422,6.79996733766152,8.75735239649522e-16,2.64365353817041e-14
"2647","YPR009W",1.25449161232569,6.27056744870817,9.32523674841486e-16,2.80086782539511e-14
"3570","YBR157C",-1.69267773150332,8.15243621116992,9.41932826374161e-16,2.81491181831514e-14
"223","YDL019C",-0.7839997070441,7.48135297282001,1.47533558019736e-15,4.38691034771686e-14
"1074","YOR134W",-1.40549881910615,5.49111013912909,1.53272285406876e-15,4.53487702146612e-14
"1810","YGR243W",1.49616841674155,9.71360839445003,1.7391592244651e-15,5.12018807321482e-14
"1769","YGR201C",-1.87634003856369,6.50955030487697,1.99946691253167e-15,5.8575515905546e-14
"647","YDR403W",0.99940952268745,4.8356272347042,2.76464980286662e-15,8.05949626355285e-14
"3151","YMR181C",-0.981420118232706,7.46249477964669,2.88972399714267e-15,8.3830188346378e-14
"1802","YGR236C",-1.57732102113189,8.06116780310868,3.34755405858809e-15,9.66403106137056e-14
"2201","YLR297W",-1.09369627333826,5.96683060323357,3.49294863371208e-15,1.00350558090269e-13
"5337","YHR190W",-0.844545684978432,8.53945169776002,3.66807695995349e-15,1.04875258080978e-13
"3704","YBR286W",-0.965296775800132,9.65853938236285,4.02448975108702e-15,1.14515026553658e-13
"1744","YGR175C",-1.68583130391359,10.2318520832741,4.14926216383714e-15,1.1687442246819e-13
"2593","YPL047W",0.884753048130479,5.26276017216628,4.164540143371e-15,1.1687442246819e-13
"1329","YGL253W",1.23481390979388,9.33335309426085,4.16636582533317e-15,1.1687442246819e-13
"5169","YHR032W",0.827598958151074,6.29111560773273,4.54078326578923e-15,1.26779521510087e-13
"1695","YGR127W",-1.31852561498324,6.88693956143154,4.89475537762382e-15,1.36023879582845e-13
"2438","YPL203W",-0.891520367573876,7.54403871360549,5.29571487116726e-15,1.46481936459682e-13
"1637","YGR067C",0.858097487964164,8.72702454213824,6.1537965824849e-15,1.69428834611286e-13
"2411","YPL230W",-1.50474555223248,8.15575211697693,6.24570513779884e-15,1.7116685923728e-13
"4465","YJR150C",-2.84081892766921,2.88072971182692,6.40184670911979e-15,1.74641203574016e-13
"1324","YGL259W",2.22236048296741,1.54307079070503,6.94739448451851e-15,1.88658242006537e-13
"936","YOL007C",0.699115749861074,6.2126446562792,8.36969590423121e-15,2.26248097920286e-13
"3660","YBR241C",-0.955705541066032,7.73909093312593,8.42969729929445e-15,2.26838958547077e-13
"5629","YCL009C",-1.07211752832308,8.41918761572422,1.2366149058019e-14,3.31267965982158e-13
"2071","YLR164W",-1.48689572726341,5.7121402487395,1.24918053229922e-14,3.33133480967867e-13
"5778","YFL020C",-2.2097186236486,3.25290625103972,1.69348531700177e-14,4.49605231259355e-13
"2098","YLR194C",-1.42845791748919,7.9604383808083,1.83995240878438e-14,4.86319865557365e-13
"2138","YLR237W",-1.6305153324552,7.33612391391603,2.05530544208209e-14,5.40836347967355e-13
"166","YDL079C",-0.699333978441161,7.10026914798314,2.10782178033576e-14,5.52212164213954e-13
"5183","YHR044C",1.65604315867708,4.50657094720952,2.18792280427857e-14,5.70683198115994e-13
"287","YDR047W",-0.876937167127068,6.65823764776455,2.41762073171809e-14,6.27842379542686e-13
"3415","YBR005W",-1.20562800584086,6.05062526980576,2.63111111099985e-14,6.80313816396351e-13
"1580","YGR010W",0.621116590628319,6.60848837040514,3.78152090360432e-14,9.73537004923588e-13
"1890","YLL026W",-1.44679020588961,10.9611280813259,3.87745861606031e-14,9.93933034039253e-13
"2473","YPL170W",-1.42555413430132,8.06548196150717,4.11132977120637e-14,1.04935957722594e-12
"2814","YPR184W",-1.01781110002026,8.08305531745732,4.39273893617889e-14,1.11639395100239e-12
