"genes","direction"
"YLL055W","down"
"YGL001C","down"
"YBR050C","up"
"YMR189W","down"
"YKR102W","up"
"YER081W","down"
"YOR381W-A","up"
"YER091C","down"
"YAR035W","up"
"YHR092C","down"
"YDR273W","up"
"YMR062C","down"
"YFR029W","up"
"YOR130C","down"
"YNL130C-A","up"
"YML126C","down"
"YHR163W","down"
"YNL103W-A","down"
"YLR176C","up"
"YOR100C","up"
"YER188C-A","up"
"YOL064C","down"
"YHR183W","down"
"YNL074C","up"
"YEL053W-A","down"
"snR83","up"
"YLR355C","down"
"YLR058C","down"
"YIR027C","up"
"YLR213C","up"
"YOR120W","down"
"YLR303W","down"
"YBR249C","down"
"YJR016C","down"
"TLC1","up"
"YCL025C","up"
"YGR295C","down"
"YNL328C","up"
"YPR013C","up"
"YER044C-A","up"
"YDL022C-A","up"
"YNL111C","down"
"YML066C","up"
"YBR131W","up"
"YER043C","down"
"YPL231W","down"
"YJL167W","down"
"YKL182W","down"
"YBR001C","up"
"YGR222W","up"
"YOR064C","up"
"YML089C","up"
"YDR248C","down"
"YHR071W","down"
"YML116W","down"
"YGR059W","up"
"YAR035C-A","up"
"YNR043W","down"
"YDR173C","up"
"YDL248W","down"
"YGL071W","up"
"YLR354C","down"
"YEL057C","up"
"YOL140W","down"
"YFR032C-A","down"
"YKL006W","down"
"YDL071C","down"
"YOR177C","up"
"YGR177C","down"
"YER044C","down"
"YOR167C","down"
"YOR178C","up"
"YDR212W","down"
"YOR308C","up"
"YOL038C-A","up"
"YDR042C","up"
"YLR367W","down"
"YER033C","up"
"YJR078W","up"
"YMR015C","down"
"YGL026C","down"
"YPR128C","down"
"YKL219W","down"
"YOL037C","up"
"YOL047C","up"
"YPL265W","up"
"tD(GUC)N","up"
"YGR294W","down"
"YMR182C","up"
"YOR037W","up"
"YMR164C","up"
"YGR215W","up"
"YBL100C","up"
"YBR004C","down"
"YCL038C","down"
"YNL217W","up"
"YHL036W","down"
"YGR137W","down"
"YEL017C-A","down"
"YML090W","up"
"YHR177W","up"
"YIL029C","down"
"YKL066W","up"
"YNL265C","down"
"YLR229C","down"
"YNL024C-A","down"
"YDR274C","up"
"YNL179C","up"
"YNR020C","up"
"YEL038W","down"
"YOL077W-A","up"
"YLR139C","up"
"YLR301W","down"
"YER150W","up"
"YPL163C","up"
"YBL021C","up"
"YNL300W","up"
"YML056C","down"
"YNL259C","down"
"YLR050C","down"
"YNL180C","up"
"YJL104W","up"
"YLL020C","down"
"YCR024C-B","down"
"YBR191W-A","up"
"YHR083W","up"
"YMR194W","down"
"YGR156W","up"
"YBL012C","up"
"YKL147C","up"
"YOR327C","down"
"YGL254W","up"
"YLR326W","up"
"YER042W","down"
"YER074W-A","down"
"YOR028C","up"
"YPR069C","down"
"YOR298C-A","up"
"YDR446W","up"
"YHR050W-A","up"
"YCR071C","up"
"YBR268W","up"
"YHR122W","down"
"YBR109C","down"
"YER102W","down"
"YER122C","up"
"YJR141W","down"
"YCL059C","down"
"YLR390W","up"
"YGR282C","down"
"YMR081C","up"
"YGL103W","down"
"YAL033W","up"
"YCR023C","down"
"YPL249C-A","down"
"YKL068W-A","down"
"YLR292C","up"
"YDR002W","down"
"YNL309W","up"
"YDR435C","down"
"YHR064C","down"
"YDL193W","down"
"YNL286W","up"
"YLL014W","down"
"YPL234C","down"
"YER066W","down"
"YOR247W","up"
"YER074W","down"
"YNL010W","down"
"YGR209C","down"
"YCL044C","up"
"YDR352W","down"
"YLR311C","down"
"YHR039C-A","down"
"YPR062W","up"
"YFL041W-A","down"
"YMR163C","down"
"YHL021C","up"
"YKL183C-A","up"
"YPL181W","up"
"YDR029W","up"
"YCR075W-A","down"
"YPL218W","down"
"YBR204C","down"
"YNL148C","up"
"YIL168W","up"
"YLR040C","up"
"YKL056C","down"
"YOR228C","down"
"YPL087W","down"
"YHR201C","up"
"YAL044W-A","down"
"YNR021W","down"
"YLR262C-A","down"
"YGL077C","down"
"YIL161W","up"
"YDR385W","down"
"YLR379W","down"
"YJL023C","down"
"YML001W","down"
"YBL081W","up"
"YDR513W","down"
"YPR012W","up"
"YDR510W","up"
"YIL069C","down"
"YGR024C","down"
"YIR019C","up"
"YOR223W","up"
"YOR096W","down"
"YPL066W","up"
"YLR052W","up"
"YDR068W","up"
"YIL014C-A","up"
"YDR078C","down"
"YDR286C","down"
"YLR333C","down"
"YDR468C","up"
"YDR538W","down"
"YEL066W","down"
"YKL122C","up"
"YLL050C","down"
"YMR173W","up"
"YDR428C","down"
"YKR077W","up"
"YDL192W","down"
"YLR095C","up"
"YKR057W","down"
"YFR033C","up"
"YOR156C","up"
"YGL147C","down"
"YPL055C","up"
"YKL077W","down"
"YLR075W","down"
"YPR114W","up"
"YJL067W","up"
"YLR200W","up"
"YMR071C","down"
"YML064C","up"
"YGL226W","up"
"YDR209C","down"
"YIL127C","up"
"YGL076C","down"
"YKL053C-A","down"
"YGL215W","up"
"YCR031C","down"
"YDL075W","down"
"YDR363W-A","up"
"YGR241C","up"
"YGL044C","up"
"YNL162W","down"
"YOR099W","down"
"YFL045C","down"
"YML026C","down"
"YLR264W","down"
"YDR374C","down"
"YGR101W","up"
"YNL306W","up"
"YDL029W","down"
"YJL152W","up"
"YDL050C","down"
"YCL021W-A","up"
"YMR141C","down"
"YEL067C","up"
"YOR143C","down"
"YCR034W","down"
"YOL097C","down"
"YMR039C","up"
"YJR135W-A","down"
"YBL003C","down"
"YOR145C","down"
"YOR302W","up"
"YER009W","down"
"YDL084W","down"
"YKL162C-A","down"
"YDR450W","down"
"YOR133W","down"
"YPR170W-B","down"
"YDR343C","down"
"YCR021C","down"
"YBR072W","down"
"YIR038C","down"
"YIL163C","down"
"YOR230W","down"
"YNL040W","down"
"YMR118C","down"
"YDL218W","down"
"YHR126C","down"
"YGL184C","down"
"YMR006C","down"
"YPL036W","down"
"YHR018C","down"
"YJL016W","down"
"YMR095C","down"
"YPL092W","down"
"YBR147W","down"
"YBR295W","down"
"YIL164C","down"
"YGR201C","down"
"YAR020C","down"
"YKL187C","down"
"YPR005C","up"
"YPR192W","down"
"YMR238W","down"
"YDR275W","down"
"YNR068C","down"
"YMR096W","down"
"YJL026W","down"
"YOR034C","down"
"YPR160W","down"
"YPL264C","down"
"YLR237W","down"
"YLR307C-A","down"
"YBL075C","down"
"YIL165C","down"
"YGR154C","down"
"YOR382W","up"
"YBR145W","down"
"YJR096W","down"
"YHL044W","up"
"YER001W","down"
"YKL163W","down"
"YMR251W-A","down"
"YOR186W","down"
"YPL004C","down"
"YBR005W","down"
"YKL096W-A","down"
"YGR180C","down"
"YKL103C","down"
"YLL052C","down"
"YDR524C-B","down"
"YNL280C","down"
"YGR060W","down"
"YOR321W","down"
"YGR243W","up"
"YDR342C","down"
"YHR007C","down"
"YJL045W","down"
"YLR178C","down"
"YIR016W","down"
"YIL124W","down"
"YNL134C","down"
"YCL047C","up"
"YGR127W","down"
"YER069W","down"
"YNR069C","down"
"YJL052W","down"
"YDR518W","down"
"YLL026W","down"
"YHL041W","up"
"YHR094C","up"
"YBR056W","down"
"YEL011W","down"
"YHR029C","down"
"YNL009W","down"
"YMR202W","down"
"YLR256W","down"
"YJR109C","down"
"YJL048C","down"
"YOL058W","down"
"YBR026C","down"
"YER037W","down"
"YMR244W","down"
"YER075C","up"
"YDR133C","down"
"YGR087C","down"
"YJR150C","down"
"YPL186C","down"
"YKR076W","down"
"YNL117W","down"
"YHR209W","down"
"YMR196W","down"
"YER121W","down"
"YBR157C","down"
"YNL298W","up"
"YLL053C","down"
"YIR037W","down"
"YDL054C","down"
"YKL107W","down"
"YNL036W","down"
"YGR175C","down"
"YEL039C","down"
"YCL012C","down"
"YML075C","down"
"YBR177C","down"
"YER073W","down"
"YLL025W","down"
"YFR015C","down"
"YOL052C-A","down"
"YDL154W","down"
"YDR453C","down"
"YIL066C","down"
"YAL049C","down"
"YGL156W","down"
"YML008C","down"
"YOR134W","down"
"YDR525W-A","down"
"YJR008W","down"
"YOL065C","down"
"YGR008C","down"
"YDR403W","up"
"YPR127W","down"
"YPL274W","down"
"YER175C","down"
"YBR149W","down"
"YLR297W","down"
"YMR254C","up"
"YJL105W","down"
"YDR047W","down"
"YLL016W","down"
"YFL014W","down"
"YOL160W","up"
"YCR083W","down"
"YLR056W","down"
"YPL203W","down"
"YDR019C","down"
"YJR155W","down"
"YPL062W","up"
"YDR276C","down"
"YAL008W","down"
"YDR213W","down"
"YJL161W","down"
"YOL083W","down"
"YOL091W","down"
"YNR060W","up"
"YFL020C","down"
"YOL132W","up"
"YLR164W","down"
"YPL047W","up"
"YIL020C","up"
"YNR057C","down"
"YOR031W","down"
"YBR294W","down"
"YDL246C","up"
"YNL333W","up"
"YOL101C","up"
"YML028W","down"
"YOL109W","down"
"YPR149W","down"
"YHL035C","up"
"YHR046C","up"
"YLR438W","down"
"YLR346C","down"
"YMR110C","down"
"YHR104W","up"
"YJL088W","down"
"YNL160W","down"
"YMR250W","down"
"YMR152W","down"
"YIL108W","up"
"YDL039C","up"
"YBL095W","down"
"YKL134C","up"
"YDL037C","up"
"YDR354W","down"
"YOR386W","down"
"YCL048W-A","down"
"YNL014W","down"
"YKL178C","down"
"YML087C","up"
"YDR107C","down"
"YKR091W","down"
"YLR194C","down"
"YIL117C","down"
"YDR225W","down"
"YGL117W","down"
"YDL243C","up"
"YOR173W","down"
"YGL096W","down"
"YFL011W","down"
"YKL026C","down"
"YMR175W","down"
"YHR137W","down"
"YLR254C","down"
"YDR018C","down"
"YPR078C","down"
"YNL034W","down"
"YJR111C","down"
"YCR005C","up"
"YIR036C","down"
"YOR192C-B","up"
"YGR161C","down"
"YDR134C","down"
"YGL047W","down"
"YGL059W","down"
"YGL180W","down"
"YOR185C","down"
"YCL019W","up"
"YNR072W","up"
"YLR136C","up"
"YLR042C","up"
"YGR143W","down"
"YDL206W","up"
"YHR213W-B","down"
"YJR104C","down"
"YHR171W","down"
"YKL217W","down"
"YPL250C","down"
"YDR144C","up"
"YNL115C","down"
"YNL208W","down"
"YLR414C","down"
"YMR100W","down"
"YGR248W","down"
"YBR208C","down"
"YDR524W-C","down"
"YBR014C","up"
"YKR098C","up"
"YDR508C","up"
"YDL124W","down"
"YHL042W","up"
"YHR146W","down"
"YBR169C","down"
"YDL085W","down"
"YDR533C","down"
"YIL166C","up"
"YDR368W","up"
"YGR067C","up"
"YBR066C","down"
"YOL045W","down"
"YLR179C","up"
"YDR055W","down"
"YKR097W","up"
"YOR202W","down"
"YHR032W","up"
"YOL016C","down"
"YIL170W","up"
"YNL143C","up"
"YHR190W","down"
"YMR058W","up"
"YOR313C","up"
"YMR069W","up"
"YML128C","down"
"YAL061W","down"
"YGR044C","down"
"YOL136C","up"
"YJR148W","down"
"YPL123C","down"
"YBR139W","down"
"YLR290C","down"
"YER054C","down"
"YOR299W","up"
"YDR119W-A","down"
"YNR002C","down"
"YNR058W","down"
