genes,HiT,LpH
YALI1_A15105g,1.12161047030811,1.83838858681942
YALI1_F04045g,0.913078674340252,2.24565094982164
YALI1_E17389g,1.03873710048763,1.36324779085982
YALI1_F16743g,0.875776952477542,1.10564679548359
YALI1_A22539g,1.59987661622363,2.3614365387069
YALI1_C23926g,0.839798119486208,0.974908126447794
YALI1_F03215g,0.800839035826435,1.10051704797101
YALI1_B12993g,0.814228245677693,0.716457516520803
YALI1_B29419g,0.841940982693248,0.85387502235434
YALI1_B05798g,0.547297512674319,0.752737096644955
YALI1_E23961g,0.633935463899753,0.659237113622293
YALI1_E38706g,0.705876853406267,0.75437938592435
YALI1_E25453g,0.763828012108591,0.859516344540757
YALI1_C31918g,0.626834120630911,0.54584701206759
YALI1_A07290g,0.892510030557963,0.549056941778158
YALI1_A05116g,0.845411267645253,0.855356505769099
YALI1_F38386g,0.593188115402739,0.585108355350014
YALI1_E02648g,0.531977302377867,0.795562622010549
YALI1_B17493g,0.501075215802412,0.686393408822739
YALI1_E16731g,0.693525856058032,0.639694465460547
YALI1_E31947g,0.656356942979284,0.509157641400626
YALI1_F37234g,0.717406612449471,0.675347829624571
YALI1_F37508g,1.01903733702603,0.759835336925857
