V1	V2	V3	V4
CENPK1137D_4754	0.000166117946973815	0.000178719896805918	0.000174665534934163	0.000121342361931058
CENPK1137D_3314	2.50010997480508e-05	2.79198882142288e-05	3.30314824163269e-05	6.06424242323438e-05
CENPK1137D_5104	7.83840696230143e-05	7.77144577717475e-05	0.000103395483827907	3.83912748803167e-05
CENPK1137D_230	0.000240089586182273	0.000153227077414036	0.000104652363289879	0.000147647041756305
CENPK1137D_1679	0.000248024747944669	0.000169403868907259	0.000120501166800604	0.000171891131601118
CENPK1137D_3852	0.000103943496679177	0.000140297222611578	0.000123986765546291	6.82855391384713e-05
CENPK1137D_1107 CENPK1137D_5109	0.000280601090655192	0.00032721814335838	0.000242070410735927	0.000194254517093343
CENPK1137D_3804	3.11032851194771e-05	4.62390941118951e-05	2.71112007056179e-05	0.000188877548440464
CENPK1137D_1639	0.000255700358418041	0.000235110382491895	0.000248052066443245	0.000481783130362269
CENPK1137D_5141	1.859772015127e-05	3.23450610739611e-05	2.27777034840503e-05	0.000110211206311177
CENPK1137D_2390	0.000147232109145137	0.00011764837096963	0.000251834482075954	0.000233110077950335
CENPK1137D_3141	6.61873485993235e-05	3.45043251131001e-05	5.56377830774452e-05	9.06934945004819e-06
CENPK1137D_2676	0.000181990602708029	0.000214828761575896	0.000185913049281354	0.000355848903620219
CENPK1137D_4617	0.000462712125041795	0.00046630237094477	0.000493204153055746	0.000231465533100631
CENPK1137D_5411	6.59446914876085e-05	4.15088222565357e-05	4.90058913847146e-05	7.05594445979169e-06
CENPK1137D_3054	9.03008434633652e-06	4.23452865900114e-06	2.71069793440387e-05	4.82540919000252e-05
CENPK1137D_3368	0.00065750708102774	0.000712547849210179	0.000626479751035558	0.000272124575451905
CENPK1137D_673	0.000155916919516955	0.000172413295184933	0.000153364262560101	9.46841039235996e-05
CENPK1137D_4319	1.91902008551896e-05	1.31243510482759e-05	3.42266210936874e-05	2.67847310472913e-05
CENPK1137D_3199	0.00013556586549177	5.69656858674208e-05	0.000134286793056923	0.000160238684795874
CENPK1137D_3646	2.64547202599417e-05	4.01267759408109e-05	3.21943766549734e-05	5.83720963818995e-06
CENPK1137D_5006	4.85289963858149e-05	5.39418155733863e-05	3.75957020221922e-05	0.000145398830779288
CENPK1137D_1962	0.000167263398079538	0.000128587172878405	0.000135691394455363	7.51241504998365e-05
CENPK1137D_1403	6.76758476967037e-05	4.8499192557366e-05	6.04623900764182e-05	3.37990559665587e-05
CENPK1137D_1415	0.000264674599842043	0.000258121895029568	0.000262351807338768	0.000403201568354018
CENPK1137D_1851	3.13028617932897e-05	3.39613585335021e-05	3.83003763390372e-05	1.00451447033179e-05
CENPK1137D_3503	0.000255352883735138	0.00018658323208335	0.000220207993832034	0.000190311120713078
CENPK1137D_4663	4.62220898083361e-05	6.01708932766062e-05	5.96298378247227e-05	0.000111690650229558
CENPK1137D_4473	3.95160091152111e-05	3.76030193031199e-05	7.46106116914374e-05	0.000150058556421558
CENPK1137D_1055	6.45177900504669e-05	7.4972886334334e-05	6.24606427109989e-05	1.15438243282104e-05
CENPK1137D_4500	3.1060546607918e-05	5.10772274927536e-05	3.67100528606014e-05	9.37558070644734e-05
CENPK1137D_3469	2.18839496641888e-05	2.4489495388026e-05	2.67204510303253e-05	8.96063524130687e-05
CENPK1137D_3477	7.46019994667573e-05	5.58333077529319e-05	6.70710565383753e-05	3.88154297429932e-05
CENPK1137D_4927	3.87074103257308e-05	4.23942853118302e-05	9.52139288634409e-05	6.18933061817238e-05
CENPK1137D_4778	2.87144658309283e-05	1.83546038305025e-05	3.21337212169945e-05	6.24531535504363e-05
CENPK1137D_1274	0.000151692605794681	0.000123177169333108	0.000120582739797886	7.61214676697844e-05
CENPK1137D_2642	8.66211716173936e-05	8.66105185668054e-05	8.26081162230108e-05	0.000167297082848606
CENPK1137D_20	0.00014944505421652	0.000106075342131648	0.000125522671959071	7.80181642040773e-05
CENPK1137D_2964	6.28436278860887e-05	6.95071723099999e-05	7.05686576968692e-05	0.000112544705855073
CENPK1137D_3741	2.14310688746149e-05	2.36268553376786e-05	2.38630993628022e-05	3.04417960454649e-06
CENPK1137D_945	0.000362127429883198	0.000317122945131082	0.000352898659541699	0.000484119443062151
CENPK1137D_25	1.66969576080147e-05	1.02862751689289e-05	2.04911434281635e-05	5.40795470389664e-05
CENPK1137D_1876	8.36095544608727e-06	1.41990784197985e-05	9.14388782162238e-06	2.90352618946913e-06
CENPK1137D_3146	0.000166968146169519	0.000135996806435566	0.000113530837971751	9.13452929226461e-05
CENPK1137D_4507	2.59445398016997e-05	5.73930457586359e-05	2.46698676880095e-05	8.83947415151946e-06
CENPK1137D_5284	2.40954690451065e-05	2.49998737399975e-05	1.39527270836544e-05	4.04286226655462e-06
CENPK1137D_1594	0.000151152331903644	0.000147230971844806	0.000127731218373532	0.000204696847567876
CENPK1137D_624	0.000119502040504099	8.71315578905865e-05	0.000100731957959137	0.00012333683266571
CENPK1137D_1993	2.5942755834105e-05	2.5962432465947e-05	4.00244841972019e-05	7.48654987474413e-05
CENPK1137D_2190	4.98089601631716e-05	8.57564399421997e-05	7.25970585320272e-05	2.99565510024111e-05
CENPK1137D_1	4.19436056571343e-05	3.07048111761546e-05	6.10452459845953e-05	8.55914181286923e-05
CENPK1137D_2713	0.000115424813868301	0.000176749488461674	0.000175787914991508	4.51146441512783e-05
CENPK1137D_2662	3.89374017146119e-05	3.96146850629202e-05	3.29239126012807e-05	2.00282634132753e-05
CENPK1137D_1157	0.000136023063086638	9.87589506848331e-05	0.000137158142002974	0.000197885264343517
CENPK1137D_232	1.04477851385683e-05	1.86026803358225e-05	1.58845532808928e-05	5.33736633268646e-06
CENPK1137D_1398	0.000222748026330208	0.000319541338440964	0.00025713920023953	0.000150434540280979
CENPK1137D_808	6.79276583479443e-05	7.45579023419439e-05	5.42916922819262e-05	3.20102692973357e-05
CENPK1137D_3299	9.97429674355966e-05	8.76426900750881e-05	8.11508377447681e-05	0.000143792958584075
CENPK1137D_4858	2.32981682901611e-05	2.45565189822475e-05	3.03622263487265e-05	5.54929329499781e-05
CENPK1137D_3977	0.000356456844883323	0.000483000669938219	0.000357814753773766	0.000275434051222509
CENPK1137D_40	1.70307247906005e-05	1.01034107408652e-05	1.16918232812308e-05	3.32354029139407e-05
CENPK1137D_225	1.93840656199654e-05	9.05794216896516e-06	1.51142072620416e-05	8.32420596124635e-06
CENPK1137D_3886	2.41960941027812e-05	3.13640720461371e-05	1.75782256419087e-05	1.42923053809823e-05
