NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	standard_A	standard_B	standard_C
KMXK_0B02820	W0T5M6	KLMA_20267	0	0	0	0	2	0	2	4	1	0	2	3
KMXK_0E04900	W0TCI9	KLMA_50486	0	0	0	0	0	0	3	2	0	0	0	2
KMXK_0F02290	W0THM5	KLMA_60343	0	0	0	0	0	0	0	3	2	2	0	0
KMXK_0F05700	W0TCG2	KLMA_60011	2	0	0	0	0	0	0	0	0	3	2	0
KMXK_0C04470	W0TCB1	KLMA_30449	0	1	0	2	2	5	0	0	1	1	3	0
KMXK_0F01650	W0TF50	KLMA_60407	0	0	0	2	3	2	0	3	0	4	0	2
KMXK_0G03990	W0TIQ0	KLMA_80395	6	10	6	11	15	15	14	19	12	14	18	14
KMXK_0A03160	W0T5Q1	KLMA_10524	13	18	13	26	21	27	21	32	23	31	23	16
KMXK_0F01330	W0TED0	KLMA_60429	1	0	2	7	6	2	2	4	4	6	5	4
KMXK_0C01460	W0T7Q3	KLMA_30145	2	0	1	6	2	4	7	5	3	8	4	3
KMXK_0F03950			5	6	8	16	18	8	12	15	10	15	13	12
KMXK_0C00690	W0T7I8	KLMA_30065	6	6	4	9	14	16	11	15	8	12	12	6
KMXK_0D02750	W0TA30	KLMA_40251	2	0	0	4	3	3	4	5	2	6	3	5
KMXK_0B02700	W0T513	KLMA_20254	0	3	0	4	2	4	4	3	3	8	3	6
KMXK_0B06100	W0T8A8	KLMA_20598	4	7	9	11	14	14	14	13	13	20	11	13
KMXK_0G03740	W0TH20	KLMA_80369	8	7	7	15	14	16	19	13	7	16	17	13
KMXK_0B01620	W0T4R4	KLMA_20149	0	0	1	0	0	2	4	3	3	3	1	1
KMXK_0D04410	W0TCC2	KLMA_40417	3	3	3	7	10	8	8	10	5	7	9	10
KMXK_0F01210	W0TF85	KLMA_60442	12	13	14	18	15	20	25	26	21	20	20	22
KMXK_0G01930	W0THF4	KLMA_80182	0	0	0	3	3	0	0	0	2	1	3	2
KMXK_0A03440	W0T7N8	KLMA_10497	0	0	0	2	3	0	0	4	2	3	2	2
KMXK_0F00630	W0TDV4	KLMA_60501	3	0	0	5	6	2	4	4	4	8	6	2
KMXK_0B07760	W0T714	KLMA_20762	0	0	5	4	0	8	7	5	6	10	9	0
KMXK_0G01680	W0TGI5	KLMA_80159	2	9	4	10	14	8	8	11	10	15	15	7
KMXK_0C06080	W0TA48	KLMA_30608	0	3	4	1	1	2	0	0	0	0	1	1
KMXK_0D05940			0	2	0	0	0	0	0	4	0	5	2	0
KMXK_0D03870	W0T9T9	KLMA_40363	0	1	0	0	0	0	1	4	1	0	0	1
KMXK_0F02550	W0TEV0	KLMA_60317	25	26	28	30	40	28	41	47	34	37	41	34
KMXK_0F03330	W0TD21	KLMA_60241	0	0	0	2	4	0	2	4	0	0	4	2
KMXK_0A04850	W0T5B2	KLMA_10379	0	0	0	3	1	2	2	3	1	2	3	1
KMXK_0G02080	W0TK22	KLMA_80198	1	3	0	5	2	7	3	1	1	4	4	6
KMXK_0G02750	W0TGR7	KLMA_80264	2	1	1	5	5	1	3	9	4	6	5	6
KMXK_0B04800	W0T5P0	KLMA_20469	3	2	3	2	0	1	4	6	6	0	3	4
KMXK_0C02030	W0T9L5	KLMA_30201	0	0	3	2	6	2	6	4	4	5	3	7
KMXK_0H03310	W0TGI1	KLMA_70330	0	0	0	2	2	1	2	1	2	3	2	2
KMXK_0H01990	W0TGU8	KLMA_70198	0	0	0	0	4	1	3	2	2	3	2	0
KMXK_0B03600	W0T6Z3	KLMA_20345	0	0	3	0	0	2	2	4	1	0	0	0
KMXK_0H03260	W0TGH5	KLMA_70325	0	1	1	2	3	2	1	1	1	0	0	0
KMXK_0C00170	W0T7E3	KLMA_30015	0	0	0	2	5	0	2	0	0	3	0	0
KMXK_0D04080	W0TE85	KLMA_40385	5	1	2	5	2	4	6	7	5	12	8	4
KMXK_0E00340	W0TAL2	KLMA_50028	5	3	4	4	6	4	9	9	9	3	5	2
KMXK_0C03710	W0TA31	KLMA_30376	0	2	0	2	3	2	4	4	3	6	3	4
KMXK_0A07760	W0T3S5	KLMA_10076	1	1	0	1	1	0	3	4	4	1	4	1
KMXK_0D06000	W0TAZ8	KLMA_40571	8	5	12	10	6	14	9	2	4	14	14	9
KMXK_0B01690	W0T938	KLMA_20156	14	13	12	16	25	25	11	17	13	9	22	9
KMXK_0A02060	W0T4C3	KLMA_10633	5	2	2	4	6	4	4	4	4	6	8	12
KMXK_0D01080	W0TDB2	KLMA_40090	0	0	0	1	1	5	4	0	1	2	1	1
KMXK_0B00890	W0T552	KLMA_20077	0	0	1	0	3	0	1	2	0	2	2	6
KMXK_0E03780	W0TBK8	KLMA_50373	0	1	2	5	2	6	2	0	1	1	3	4
KMXK_0C02960	W0T850	KLMA_30300	0	0	0	1	1	1	2	4	0	3	1	2
KMXK_0E01120	W0TAU5	KLMA_50103	0	0	0	2	1	3	2	3	1	1	0	2
KMXK_0C04140	W0T7W4	KLMA_30417	0	0	0	0	1	0	2	2	1	2	2	1
KMXK_0B03050	W0T6R3	KLMA_20290	0	0	0	1	3	2	1	1	3	1	5	0
KMXK_0C07160	W0TD23	KLMA_30709	21	18	20	26	30	37	28	30	31	30	33	27
KMXK_0B02470	W0T5I4	KLMA_20232	0	3	5	9	4	7	9	11	5	6	6	8
KMXK_0C00470	W0TB87	KLMA_30044	0	0	0	0	2	2	1	0	2	2	1	4
KMXK_0E02100	W0TBU2	KLMA_50206	2	2	3	0	0	0	1	1	1	0	1	3
KMXK_0H04350	W0TGT3	KLMA_70435	4	3	5	6	6	9	8	9	8	9	15	8
KMXK_0B02570	W0T5J7	KLMA_20242	15	16	19	26	16	25	33	27	26	24	17	30
KMXK_0H03690	W0THC5	KLMA_70373	0	0	0	4	0	3	1	2	1	0	1	3
KMXK_0G01100	W0TH80	KLMA_80102	0	0	0	0	1	0	2	1	0	4	0	2
KMXK_0B07410	W0TAQ7	KLMA_20726	0	0	1	0	0	0	1	0	2	4	0	2
KMXK_0B05230	W0T7E1	KLMA_20510	0	3	0	3	4	6	1	0	2	0	6	0
KMXK_0B05900	W0T7K3	KLMA_20575	23	21	17	31	32	26	30	36	31	41	23	27
KMXK_0A04190	W0T5E4	KLMA_10419	0	0	0	1	1	4	2	1	1	4	1	1
KMXK_0D06060	W0TCR0	KLMA_40577	12	15	15	19	22	27	15	21	15	22	29	19
KMXK_0A06580			16	14	12	19	19	25	20	19	19	29	23	23
KMXK_0H00840	W0TIH4	KLMA_70086	3	3	3	4	5	10	3	3	2	5	9	7
KMXK_0A04980	W0T321	KLMA_10365	2	0	2	6	5	2	4	7	5	5	7	4
KMXK_0C02830	W0T836	KLMA_30285	0	1	0	1	2	3	0	0	0	0	0	2
KMXK_0H04440	W0TGX0	KLMA_70445	0	0	1	0	0	0	1	3	2	0	0	2
KMXK_0B07380	W0T8P0	KLMA_20723	0	0	0	0	0	2	1	0	0	2	2	2
KMXK_0G01970	W0TFT2	KLMA_80186	5	10	7	12	14	9	15	18	11	16	14	14
KMXK_0B07590	W0T821	KLMA_20745	2	0	2	7	4	3	4	5	5	10	3	4
KMXK_0A08030	W0T4B9	KLMA_10049	10	17	10	27	16	21	14	13	15	20	19	18
KMXK_0E04870	W0TBW3	KLMA_50483	10	8	12	11	18	10	21	20	17	18	14	13
KMXK_0E00560	W0TF11	KLMA_50050	10	9	7	9	15	11	19	12	21	11	12	10
KMXK_0A00540	W0T8K0	KLMA_10787	0	9	7	3	7	7	8	15	12	11	5	8
KMXK_0B05060	W0T827	KLMA_20493	5	5	8	13	12	10	8	16	10	15	13	12
KMXK_0A05990	W0T2S9	KLMA_10260	3	1	1	4	2	2	0	1	0	7	3	0
KMXK_0E01490	W0TDC9	KLMA_50142	8	6	10	11	12	8	15	19	15	12	13	11
KMXK_0A06780	W0T6V6	KLMA_10177	0	1	1	3	2	1	2	2	4	3	5	5
KMXK_0H03560	W0TEY9	KLMA_70359	0	0	1	1	0	6	2	4	2	4	4	2
KMXK_0G02030	W0TK18	KLMA_80193	3	2	3	8	7	5	5	10	9	5	3	7
KMXK_0E05370	W0TDP6	KLMA_50534	1	2	3	4	5	3	6	10	5	3	4	4
KMXK_0C05510	W0TCN1	KLMA_30554	13	11	9	18	19	12	17	18	16	24	19	19
KMXK_0D05600	W0TA93	KLMA_40533	0	0	3	0	0	0	2	0	3	0	1	5
KMXK_0C01060	W0TBD3	KLMA_30099	64	20	21	22	19	26	31	22	27	26	29	23
KMXK_0B03010	W0T9H5	KLMA_20286	2	0	0	4	5	0	0	4	1	3	6	3
KMXK_0F05610	W0TD95	KLMA_60019	0	0	2	4	2	3	3	0	2	10	2	0
KMXK_0H02710	W0TIY9	KLMA_70271	0	1	0	2	0	0	2	2	0	3	3	3
KMXK_0E06000	W0TDV2	KLMA_50604	0	1	2	5	6	2	3	3	5	0	3	2
KMXK_0A04920	W0T4M0	KLMA_10371	0	2	3	4	4	3	1	0	2	6	3	4
KMXK_0F05040	W0TCL5	KLMA_60071	0	0	0	0	1	4	2	2	0	2	2	2
KMXK_0E05650	W0TDS6	KLMA_50569	7	9	3	9	11	13	11	13	12	18	12	11
KMXK_0D04380	W0TEB4	KLMA_40415	3	0	0	1	0	0	4	5	0	3	1	3
KMXK_0B01350	W0T6Y4	KLMA_20123	1	2	3	2	1	1	0	0	0	0	0	2
KMXK_0H01350	W0TF52	KLMA_70137	0	0	0	1	1	2	3	3	0	1	0	1
