NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK0C00110	W0TB61	KLMA_30009	0	0	4	139	0	0	0	0	0	58	20	14
KMXK0E00250	W0TCB9	KLMA_50019	44	43	42	7	0	0	54	42	53	46	47	47
KMXK0D05520	W0TAW0	KLMA_40526	123	142	176	51	57	63	137	111	120	127	157	122
KMXK0E04920	W0TBW7	KLMA_50488	35	31	10	44	55	53	26	27	11	26	115	94
KMXK0B03470	W0T5V9	KLMA_20332	16	35	35	133	22	29	15	14	9	80	57	39
KMXK0H03120	W0TFK1	KLMA_70312	36	85	108	38	37	38	71	76	68	101	132	116
KMXK0A03230	W0T408	KLMA_10518	45	36	39	6	11	13	18	13	39	1	9	7
KMXK0C00130	W0T942	KLMA_30011	12	68	66	70	26	30	53	49	65	104	98	107
KMXK0A03250	W0T504	KLMA_10516	6	20	3	6	30	29	4	9	1	0	0	0
KMXK0B06330	W0T633	KLMA_20619	30	31	17	47	5	4	47	55	49	27	4	0
KMXK0E03090	W0TD39	KLMA_50304	93	104	109	61	28	42	94	84	105	72	72	38
KMXK0B08260	W0TAZ2	KLMA_20811	11	3	2	0	40	33	0	2	2	5	19	26
KMXK0A02470	W0T7Z3	KLMA_10592	47	31	36	9	6	6	27	19	19	47	32	40
KMXK0G00680	W0TG93	KLMA_80059	255	218	186	116	124	128	157	158	161	182	191	191
KMXK0F00940	W0TEH6	KLMA_60469	118	101	125	41	61	58	75	78	84	103	116	96
KMXK0A03790	W0T3V3	KLMA_10458	72	38	39	11	12	12	30	22	18	35	22	27
KMXK0A02960	W0T3I1	KLMA_10545	6	14	28	0	0	0	9	9	4	0	4	4
KMXK0D05180	W0TBW6	KLMA_40494	49	51	47	16	14	10	35	42	40	43	57	31
KMXK0G03090	W0TGV0	KLMA_80299	28	18	15	0	4	0	19	8	16	18	29	15
KMXK0D03860	W0TC72	KLMA_40362	3	7	10	0	0	4	21	30	15	12	14	9
KMXK0F02490	W0THK9	KLMA_60323	0	0	0	0	0	0	0	4	0	10	11	10
KMXK0B06430	W0T644	KLMA_20629	6	10	0	0	0	0	12	8	10	0	0	0
KMXK0D01880	W0T9T0	KLMA_40161	27	21	20	2	3	2	12	12	16	17	23	20
KMXK0E02020	W0TDH9	KLMA_50197	40	44	34	10	10	14	41	44	25	30	53	30
KMXK0E01130	W0TCJ3	KLMA_50104	47	46	41	14	12	13	30	39	42	38	41	36
KMXK0C05210	W0T899	KLMA_30527	22	18	17	5	0	0	10	8	14	20	21	15
KMXK0E01660	W0TBQ4	KLMA_50161	23	28	49	22	47	39	41	53	36	74	77	69
KMXK0C03840	W0T7T0	KLMA_30387	33	35	41	10	13	16	29	37	36	39	53	42
KMXK0D02430	W0TDP8	KLMA_40220	54	18	20	4	7	7	9	16	20	10	16	16
KMXK0C01560	W0T8S6	KLMA_30153	134	103	88	59	56	57	75	77	91	118	103	77
KMXK0B03480	W0T7N1	KLMA_20333	4	10	7	70	3	4	7	5	6	21	8	17
KMXK0A05270	W0T4J0	KLMA_10336	68	56	47	28	23	34	62	66	66	52	61	59
KMXK0A00480	W0T498	KLMA_10795	16	20	16	2	4	2	17	17	18	19	18	19
KMXK0D02830	W0TB52	KLMA_40259	29	30	17	6	5	4	24	16	19	20	26	17
KMXK0A03180	W0T7R5	KLMA_10522	12	9	11	0	0	1	10	10	14	6	11	15
KMXK0E03650	W0TFY3	KLMA_50360	8	23	7	0	6	6	20	14	9	14	33	25
KMXK0H00920	W0TFW4	KLMA_70095	68	63	68	29	33	26	43	46	45	54	60	51
KMXK0B03460	W0T9M7	KLMA_20331	6	6	4	55	0	0	5	1	3	23	7	6
KMXK0C04790			9	11	12	0	0	0	7	6	5	5	4	5
KMXK0F03550	W0TDT2	KLMA_60219	128	127	104	69	75	83	107	117	95	111	143	124
KMXK0D05750	W0TAA8	KLMA_40548	13	6	5	0	0	0	6	2	3	9	9	10
KMXK0D06610	W0TAI1	KLMA_40628	4	3	9	0	0	0	8	2	6	0	0	0
KMXK0B00510	W0T614	KLMA_20040	11	10	12	2	0	0	14	12	12	4	14	7
KMXK0G00710	W0TFG9	KLMA_80061	37	42	31	16	15	12	30	34	42	43	40	33
KMXK0B05260	W0T844	KLMA_20513	8	24	4	8	16	4	19	23	18	3	1	5
KMXK0E04320	W0TCE4	KLMA_50431	53	44	39	20	16	15	34	31	46	34	27	26
KMXK0B02340	W0T6J0	KLMA_20220	51	98	105	46	53	55	56	71	69	89	100	86
KMXK0H03880	W0TFU6	KLMA_70392	0	3	3	0	0	0	0	1	0	6	13	3
KMXK0C05490	W0T8B2	KLMA_30552	32	31	25	8	11	9	30	23	24	32	37	20
KMXK0F03040	W0TD46	KLMA_60271	58	71	62	46	56	46	60	68	53	86	101	88
KMXK0C00570			16	14	10	1	1	2	3	6	5	11	13	8
KMXK0A02290	W0T3Q1	KLMA_10610	33	15	23	6	11	8	18	21	45	32	28	20
KMXK0F05420	W0TE50	KLMA_60037	83	80	54	30	32	43	51	55	62	53	53	44
KMXK0F02690	W0TDZ5	KLMA_60304	29	15	18	4	6	5	9	10	14	18	26	16
KMXK0E04230	W0TDD2	KLMA_50419	36	54	57	58	91	115	76	87	39	85	90	72
KMXK0G01200	W0TH90	KLMA_80112	12	6	10	0	0	0	6	5	5	9	7	3
KMXK0A06740	W0T459	KLMA_10181	24	27	13	9	7	8	27	28	33	21	19	21
KMXK0B01850	W0T5D1	KLMA_20172	53	52	41	32	28	26	54	52	49	62	64	60
KMXK0C03060	W0T7K6	KLMA_30312	165	173	184	131	108	103	135	148	127	151	152	143
KMXK0B00390	W0T505	KLMA_20027	5	5	6	1	4	3	6	9	2	17	18	14
KMXK0A04610			31	36	25	16	8	7	30	34	24	24	27	22
KMXK0H02310	W0TG76	KLMA_70230	0	11	17	4	3	4	0	6	0	17	14	10
KMXK0F03260	W0THE8	KLMA_60248	34	34	26	13	13	5	16	24	18	24	30	26
KMXK0B01430	W0T598	KLMA_20132	24	40	9	12	17	14	30	27	33	12	6	14
KMXK0D01560	W0TBF9	KLMA_40132	0	0	0	9	2	2	0	0	0	0	0	0
KMXK0C06890	W0TD03	KLMA_30684	7	5	12	0	3	3	4	0	7	0	0	0
KMXK0C02640	W0TBT2	KLMA_30264	134	131	100	79	82	76	101	108	91	130	117	114
KMXK0A05810	W0T527	KLMA_10279	88	81	70	52	39	49	69	75	50	73	88	82
KMXK0E03160	W0TC29	KLMA_50311	28	21	20	8	5	6	21	20	22	18	21	19
KMXK0A02520	W0T7Y5	KLMA_10587	4	7	0	0	0	0	6	12	4	2	0	2
KMXK0F01840	W0TE87	KLMA_60389	4	3	4	1	2	0	1	4	3	12	14	7
KMXK0E03080	W0TBE6	KLMA_50303	4	7	6	4	0	0	1	1	2	13	10	7
KMXK0C06610	W0T8K8	KLMA_30662	6	9	0	0	0	0	3	0	4	0	0	0
KMXK0B02930	W0T7E5	KLMA_20278	43	38	28	19	14	17	32	34	35	41	41	36
KMXK0F03070	W0THG5	KLMA_60268	39	51	39	30	20	19	45	45	57	53	29	50
KMXK0D04130	W0TAI6	KLMA_40391	10	14	16	3	1	2	13	8	12	15	13	8
KMXK0C01110	W0T7M0	KLMA_30105	42	49	49	17	27	24	25	38	26	42	43	43
KMXK0C06020	W0T8F1	KLMA_30602	73	128	130	58	65	80	97	103	91	93	95	90
KMXK0B07870	W0T6I3	KLMA_20774	19	20	26	8	10	9	16	7	12	7	5	6
KMXK0B04790	W0T804	KLMA_20468	24	15	15	9	6	4	22	17	23	22	22	21
KMXK0E05440	W0TEF8	KLMA_50547	6	8	4	1	0	0	2	0	0	4	7	6
KMXK0F00670	W0TFF0	KLMA_60497	38	29	29	16	11	13	27	34	35	21	26	18
KMXK0C00500	W0T6V5	KLMA_30047	7	4	2	1	3	2	0	0	0	2	10	9
KMXK0E05880	W0TEK8	KLMA_50592	149	139	119	85	91	87	113	120	117	125	116	106
KMXK0H02650	W0TGB1	KLMA_70265	35	27	35	17	14	8	21	25	31	31	37	27
KMXK0G02290	W0TFW7	KLMA_80221	8	8	5	0	0	0	0	0	6	2	3	1
KMXK0D00970	W0T9L0	KLMA_40081	64	66	56	33	34	28	54	45	60	52	50	47
KMXK0E01590	W0TCR6	KLMA_50154	30	27	32	19	6	6	19	23	30	23	18	15
KMXK0E01340	W0TBH2	KLMA_50126	21	14	13	4	5	5	9	14	4	19	22	13
KMXK0E06170	W0TCX5	KLMA_50621	7	9	8	0	0	1	9	11	4	5	2	10
KMXK0H01900	W0TEH0	KLMA_70189	3	7	0	0	2	0	5	8	8	0	0	1
KMXK0F01240	W0TEE2	KLMA_60439	3	3	0	4	4	6	0	0	0	0	0	0
KMXK0A03690	W0T3V9	KLMA_10468	94	97	91	62	56	71	96	90	85	101	108	95
KMXK0B07840	W0TAV4	KLMA_20771	20	23	11	13	8	9	28	28	15	12	6	7
KMXK0F04890	W0TE99	KLMA_60087	84	77	59	34	44	46	45	51	66	69	64	63
KMXK0B01110	W0T6W1	KLMA_20098	13	23	22	4	16	6	10	16	11	24	19	33
KMXK0D01520	W0T939	KLMA_40128	0	0	0	5	3	3	0	0	0	0	0	0
KMXK0A00610	W0T6I7	KLMA_10779	5	3	2	0	1	1	3	3	0	10	11	6
KMXK0F01350	W0TF72	KLMA_60427	34	26	24	15	7	8	21	24	24	21	10	18
KMXK0E03550	W0TFX2	KLMA_50350	9	4	6	0	0	0	4	5	6	5	6	6
KMXK0C04880	W0TAG0	KLMA_30491	36	30	31	15	14	19	36	24	35	19	16	17
KMXK0F00810	W0TDP7	KLMA_60481	4	8	3	6	4	2	15	6	15	2	0	3
KMXK0B04090	W0T737	KLMA_20395	4	4	1	1	1	0	0	0	0	7	4	6
KMXK0E02870	W0TBC7	KLMA_50283	20	18	18	6	3	7	12	11	22	28	16	12
KMXK0C05770	W0T8D0	KLMA_30577	4	13	13	2	8	5	10	15	5	22	17	20
KMXK0B07940	W0TAW4	KLMA_20781	28	91	91	46	48	44	69	80	79	78	79	70
KMXK0C00660	W0T6W9	KLMA_30062	9	6	5	0	0	0	2	4	4	6	5	4
KMXK0E00450	W0TCD4	KLMA_50039	22	8	12	3	7	7	3	9	3	19	16	13
KMXK0C07040	W0T8P1	KLMA_30697	30	26	15	7	9	9	14	18	26	29	26	16
KMXK0D03880	W0TBK2	KLMA_40364	13	0	0	1	3	2	0	0	0	0	0	0
KMXK0A07730	W0T4F1	KLMA_10079	46	38	36	17	17	18	29	33	32	26	27	26
KMXK0B03690	W0T5D8	KLMA_20354	38	23	29	12	10	11	16	18	17	23	15	18
KMXK0C04640	W0TAB9	KLMA_30466	8	6	10	0	2	0	7	9	6	10	9	6
KMXK0B08130	W0T873	KLMA_20800	38	34	30	15	17	16	24	33	31	39	36	33
KMXK0A02100	W0T619	KLMA_10629	0	0	0	0	0	0	5	3	2	0	0	0
KMXK0E02090	W0TB66	KLMA_50203	0	0	0	0	0	0	0	0	0	4	4	2
KMXK0C06330	W0TCV6	KLMA_30634	64	99	78	62	54	40	90	70	93	79	67	81
KMXK0B04100	W0T9U3	KLMA_20396	0	0	2	0	0	0	1	3	0	5	6	5
KMXK0H01730	W0TG27	KLMA_70175	27	28	13	7	8	6	16	18	20	14	21	16
KMXK0D04930	W0TEG4	KLMA_40470	65	62	58	51	23	34	58	55	68	55	61	63
KMXK0G01090	W0TFK2	KLMA_80101	8	21	16	1	5	5	17	14	12	9	17	13
KMXK0H01440	W0TF61	KLMA_70147	8	5	0	0	0	0	2	0	2	11	5	0
KMXK0B07300	W0T6C1	KLMA_20714	3	5	8	0	0	0	1	2	1	7	4	2
KMXK0B07830	W0T847	KLMA_20770	0	1	0	0	1	1	0	1	0	6	5	5
KMXK0E05830	W0TEK4	KLMA_50587	0	13	14	3	2	4	1	4	7	9	16	14
KMXK0F04170	W0TCT8	KLMA_60151	12	25	4	6	9	4	22	23	12	5	4	13
KMXK0C00350	W0T8H0	KLMA_30033	33	21	27	10	13	12	19	16	40	34	30	22
KMXK0G01070	W0TGD1	KLMA_80099	23	15	16	8	5	4	14	15	11	21	18	17
KMXK0C05920	W0T8E4	KLMA_30592	24	17	21	8	8	6	19	16	15	20	26	19
KMXK0C06070	W0T8F6	KLMA_30607	3	5	5	0	2	2	7	9	4	8	10	14
KMXK0G04240	W0TH74	KLMA_80419	5	5	0	0	0	0	4	5	0	0	0	0
KMXK0B03700	W0T703	KLMA_20355	3	7	1	0	0	0	5	2	5	0	1	0
KMXK0A08150	W0T4A3	KLMA_10034	19	24	5	7	9	6	19	18	17	5	6	9
KMXK0E01180	W0TCJ8	KLMA_50109	6	3	0	1	1	0	8	2	5	0	0	0
KMXK0E01930	W0TB54	KLMA_50188	9	11	0	2	0	0	0	7	4	12	6	7
KMXK0B02780	W0T7C7	KLMA_20263	36	68	66	35	40	48	58	49	46	59	79	76
KMXK0B02660	W0T6M3	KLMA_20250	25	26	14	13	12	11	28	32	33	17	27	21
KMXK0E02930	W0TBD1	KLMA_50288	15	20	5	0	8	5	14	16	18	6	7	10
KMXK0A00150	W0T4C9	KLMA_10830	23	5	2	11	5	3	9	6	4	1	0	2
KMXK0G04160	W0TI27	KLMA_80412	8	10	9	1	2	2	8	11	13	9	10	10
KMXK0B05490	W0T5V4	KLMA_20534	4	6	4	0	0	0	5	6	6	5	5	3
KMXK0H02790	W0TIZ7	KLMA_70281	36	38	37	23	19	10	28	33	29	34	29	42
KMXK0A07870	W0T294	KLMA_10065	27	16	18	6	7	7	13	9	16	16	23	16
KMXK0A04020	W0T3S7	KLMA_10433	5	6	0	3	0	0	5	6	4	0	0	0
KMXK0H02160	W0TG63	KLMA_70215	18	7	9	2	3	0	8	7	11	9	8	4
KMXK0C02740	W0T828	KLMA_30275	4	1	0	0	0	0	5	4	3	4	6	6
KMXK0C00640	W0T7I5	KLMA_30060	4	4	0	0	0	0	3	4	3	0	0	0
KMXK0A00360	W0T8M0	KLMA_10807	4	5	6	0	0	0	2	3	2	5	6	4
KMXK0F00420	W0TGA9	KLMA_60525	0	1	1	0	0	0	2	1	2	5	7	3
KMXK0C05420	W0TAM9	KLMA_30546	32	26	25	13	6	12	17	18	27	27	19	15
KMXK0B06720	W0T670	KLMA_20659	11	24	9	8	11	8	25	35	14	21	18	20
KMXK0B01120	W0T4M1	KLMA_20099	0	2	7	0	0	0	0	0	0	0	0	0
KMXK0D02370			0	5	5	0	4	0	0	4	0	7	13	5
KMXK0A01420	W0T4L3	KLMA_10698	31	23	27	13	7	10	17	22	16	23	22	17
KMXK0B05750	W0T875	KLMA_20558	41	43	45	24	25	25	41	43	34	49	45	49
