"","logFC","-log10Pval"
"YGR234W",-1.67650363421987,70.1441236491023
"YMR096W",-1.14070328227142,29.085412023772
"YGL001C",-1.11719574724233,27.5863525001504
"YKL150W",-1.0926928290371,26.5018498016754
"YML004C",-1.20257703950042,25.2733421715069
"YIR034C",-0.831228107339836,24.2390227227483
"YFR030W",-0.865212637195841,21.3813851041598
"YLR364W",1.26571789177609,21.1527853839463
"YOR375C",-0.898848963269911,20.2765933276648
"YHR128W",0.860318280754697,20.1605783389339
"YLR249W",-0.816948490016711,19.3954518532645
"YMR318C",-0.835233672896333,17.5195485046753
"YOR027W",0.732814637726795,17.4736691970003
"CENPK1137D_203",-1.34617993045848,16.9714603592475
"YCR010C",1.9374888968678,16.7904877156631
"YOR133W; YDR385W",-0.722631380115026,16.7180976125511
"YIL043C",-1.07898237221118,15.6561467124946
"YPR074C",-0.946554946239206,15.6145117712524
"YJR137C",-0.716433283965308,15.4415498484935
"YLR354C",-0.841045258293927,15.4415498484935
"YKL029C",-0.802222124348388,15.2210294647185
"YJR096W",0.731203712604766,14.884806244323
"YLR027C",-0.669691257698523,14.8493198624581
"YBR016W",0.841726158720775,14.8440438048714
"YNL200C",0.950949920355383,14.5168778940532
"YGL037C",0.751160369132242,14.4205983980603
"YLR216C",0.904781448728174,14.3106070776384
"YLR259C",0.713006503020114,14.1250914693461
"YLR355C",-0.563805806219849,12.9501272223033
"YGR178C",0.859585842417718,12.5660253941613
"YHR008C",0.686735425847025,12.4867102724456
"YMR178W",-0.858592383126249,12.3601479023527
"YHR039C",-0.683404569145681,12.2379217473476
"YHR183W",-0.589565389537497,11.9631185893447
"YPL067C",0.897545795610092,11.8853423468322
"YIL138C",1.04320280693361,11.7998754163445
"YJL082W",0.868784179186981,11.7844348155111
"YPL231W",-0.540542219103438,11.5705322654872
"YKL129C",0.834348085015021,11.4008546953929
"YMR108W",-0.643753129486985,11.2931075707596
"YIL155C",0.688051995398271,11.2834708973637
"YML042W",0.6102150202397,11.0863936738301
"YBR169C",0.620914458963828,10.73448586113
"YJR016C",-0.575712231327999,10.7124898709234
"YJL123C",0.622714155492242,10.6408451798159
"YLR174W",0.537791701759687,10.554941486328
"YKL142W",0.668887053994651,10.5525346151502
"YML131W",-0.818485173382269,10.4216673814742
"YDR304C",0.751314395699784,10.420459398575
"YML054C",-0.647854899394019,10.1823844163752
"YOR243C",-1.38325192270801,9.9758914517299
"YCR053W",-0.614381293427131,9.93451230279268
"YPL226W",0.612581946975406,9.45275323040624
"YDR194C",-0.6438981583146,9.42756417477832
"YDL171C",-0.568254911469478,9.22480020987875
"YIL107C",1.01767401448706,9.20049547608868
"YGR118W YPR132W",-0.54727191920113,9.15935813927178
"YNL231C",0.775244292595331,9.15459880811143
"YPR001W",0.779836692898637,9.129629873267
"YPL211W",-0.683289011180969,9.11150072449176
"YGR088W",-0.734425980275611,9.00849418574365
"YHL021C",0.585054895007623,8.63627429772956
"YKR066C",0.551341079196398,8.62449891617912
"YJR135W-A",0.625988530491384,8.54377080195784
"YOR272W",-0.833306795379673,8.49837371486373
"YHR113W",0.590957296297945,8.48474693705729
"YDR174W",0.725665040230525,8.41733768663321
"YNL069C",-0.680300736455101,8.32275092927074
"YBR126C",0.553773377284025,8.23415212118793
"YDR099W",0.586207466842213,8.15152216853759
"YCR088W",0.859089547858348,8.15152216853759
"YLR153C",-0.553340523930856,7.73072529902517
"YJL137C",0.841834011502407,7.58557168664204
"YOR335C",-0.625952605732128,7.58326345239396
"YBL092W",-0.708588714824611,7.45254047768555
"YLR180W",-0.504339528444125,7.38462560330585
"YLR061W",-0.679535814898475,7.34555225822105
"YML100W",0.543284527600525,7.34555225822105
"YGR205W",0.676342591720009,7.27589388862143
"YGL253W",-0.532575361536396,7.24859941419125
"YAL049C",0.645165128353723,7.24859941419125
"YEL058W",-0.655574716857503,7.19166740229089
"YDL095W",-0.731911396714861,7.13915878671414
"YDL130W-A",0.564367160391457,6.99287686803089
"YPL262W",-0.546703150877221,6.77680125001178
"CENPK1137D_1958",-0.705420773005045,6.75810127921871
"YPR026W",0.912112097483734,6.73043065970003
