genes,HiT,LpH,Osm
YAL062W,1.41373456667158,2.41610116983421,1.65152868148589
YJL034W,0.925969432004918,1.76584351107462,2.47451008008967
YNL064C,0.849328335891118,1.1900586008216,2.38561512586496
YHR104W,0.651552627374406,1.88979578449343,1.90047881965119
YNL015W,2.50478002486569,2.88498056770752,1.0440812447388
YDR033W,1.14132647426955,0.913299669204956,1.06480803830818
YNL007C,0.62447417358087,1.23130301019969,1.04295977518695
YMR205C,0.74626945362974,0.706115931834787,1.35849362330679
YOR054C,1.12973673600974,1.27760830340579,0.779106637723026
YLL023C,0.734739650642528,1.06686443080189,1.26800486841667
YGR218W,0.812848082327285,0.853273223777212,1.1061829071026
YLR347C,1.17911170046733,0.534669711788653,1.04467442241612
YDR432W,0.92751169258079,0.611048769340748,0.721914801387739
YFL005W,0.753954585413841,0.550846569532325,0.800878395442772
YML128C,0.985621129726802,0.708518270695023,0.575006011508894
YLR335W,0.744476815958872,1.38816935924813,2.01110325068201
YML024W,0.531363778101679,0.579001290024753,1.54072225140347
YNL216W,1.46898489883996,0.944106008588358,1.12134358192314
YBR283C,0.855684349051673,0.912536644669548,0.889836125345515
YHL039W,0.735495436779397,0.739435318163141,0.683633001619239
YNR034W,0.672979549155671,0.662602814728188,1.11118823393058
YJL081C,0.571162158736872,0.573675341593213,1.57449097613999
CENPK1137D_206,0.625689015867921,1.3603813208888,0.642848032087704
YML026C YDR450W,0.67867442633063,0.596549987777838,0.59318959878903
YBR017C,0.85988448294458,0.878382435521861,0.924726890306542
YIL038C,0.888072244340195,0.636146642745238,0.578823659177521
YDR178W,1.22654442014716,0.667578741341912,0.813687434652063
YLR093C,1.06522796913578,0.630933262927866,0.727742749168004
YGR235C,0.569244328364156,1.23893910102276,0.775783090826381
YCR003W,0.690464387504184,0.964121585727077,0.532438302316511
YGL008C,0.784662702414875,0.563994319362556,0.948048073821951
YGR222W,0.649064332478947,0.686487316171257,0.875649043369611
YKL190W,0.531054918188117,0.615405620560834,0.596750305975092
YDL202W,0.626892527693426,0.637373341706229,0.505341904172585
