"genes","direction"
"CENPK1137D_3199","down"
"CENPK1137D_2119","mixed"
"CENPK1137D_44","down"
"CENPK1137D_3444","down"
"CENPK1137D_283","down"
"CENPK1137D_2041","up"
"CENPK1137D_2402","mixed"
"CENPK1137D_148","down"
"CENPK1137D_384","down"
"CENPK1137D_127","down"
"CENPK1137D_4927","up"
"CENPK1137D_2971","down"
"CENPK1137D_2237","down"
"CENPK1137D_1157","mixed"
"CENPK1137D_2759","up"
"CENPK1137D_4469","down"
"CENPK1137D_25","mixed"
"CENPK1137D_4488","down"
"CENPK1137D_3141","down"
"CENPK1137D_676","down"
"CENPK1137D_5100","down"
"CENPK1137D_136","up"
"CENPK1137D_1799","up"
"CENPK1137D_3413","down"
"CENPK1137D_735","up"
"CENPK1137D_4049","down"
"CENPK1137D_2390","mixed"
"CENPK1137D_5275","up"
"CENPK1137D_624","down"
"CENPK1137D_2104","down"
"CENPK1137D_3867","down"
"CENPK1137D_1819","mixed"
"CENPK1137D_1268","up"
"CENPK1137D_363","mixed"
"CENPK1137D_4296","down"
"CENPK1137D_2616","up"
"CENPK1137D_2049","up"
"CENPK1137D_4912","up"
"CENPK1137D_203","mixed"
"CENPK1137D_2575","down"
"CENPK1137D_1403","down"
"CENPK1137D_2945","down"
"CENPK1137D_4507","mixed"
"CENPK1137D_4214","down"
"CENPK1137D_1527","mixed"
"CENPK1137D_4583","down"
"CENPK1137D_2232","down"
"CENPK1137D_5240","up"
"CENPK1137D_4227","down"
"CENPK1137D_5017","down"
"CENPK1137D_1774","down"
"CENPK1137D_1434","down"
"CENPK1137D_723","down"
"CENPK1137D_20","down"
"CENPK1137D_975","down"
"CENPK1137D_2919","down"
"CENPK1137D_1389","mixed"
"CENPK1137D_874","down"
"CENPK1137D_4560","up"
"CENPK1137D_1111","mixed"
"CENPK1137D_3497","down"
"CENPK1137D_2482","up"
"CENPK1137D_2933","up"
"CENPK1137D_594","up"
"CENPK1137D_5249","up"
"CENPK1137D_634","up"
"CENPK1137D_2661","up"
"CENPK1137D_697","down"
"CENPK1137D_877","down"
"CENPK1137D_3854","up"
"CENPK1137D_609","up"
"CENPK1137D_5399","down"
"CENPK1137D_724","down"
"CENPK1137D_1962","down"
"CENPK1137D_3608","up"
"CENPK1137D_3503","down"
"CENPK1137D_2568","down"
"CENPK1137D_3143","up"
"CENPK1137D_5400","up"
"CENPK1137D_213","down"
"CENPK1137D_2911","down"
"CENPK1137D_3400","up"
"CENPK1137D_2372","down"
"CENPK1137D_923","down"
"CENPK1137D_5435","down"
"CENPK1137D_3856","down"
"CENPK1137D_3870","down"
"CENPK1137D_5334","down"
"CENPK1137D_1632","up"
"CENPK1137D_5118","up"
"CENPK1137D_1220","up"
"CENPK1137D_225","down"
"CENPK1137D_5371","down"
"CENPK1137D_1888","down"
"CENPK1137D_1178","up"
"CENPK1137D_4208","down"
"CENPK1137D_1759","down"
"CENPK1137D_3011","up"
"CENPK1137D_2668","up"
"CENPK1137D_139","down"
"CENPK1137D_5033","up"
"CENPK1137D_242","up"
"CENPK1137D_1155","down"
"CENPK1137D_2074","up"
"CENPK1137D_5411","down"
"CENPK1137D_694","up"
"CENPK1137D_412","up"
"CENPK1137D_1421","up"
"CENPK1137D_3092","down"
"CENPK1137D_4723","up"
"CENPK1137D_3185","up"
"CENPK1137D_1314","down"
"CENPK1137D_3810","up"
"CENPK1137D_1510","up"
"CENPK1137D_1222","down"
"CENPK1137D_4427","up"
"CENPK1137D_553","up"
"CENPK1137D_1165","up"
"CENPK1137D_1","mixed"
"CENPK1137D_4127","up"
"CENPK1137D_4500","up"
"CENPK1137D_3841","down"
"CENPK1137D_401","down"
"CENPK1137D_2315 CENPK1137D_2659","down"
"CENPK1137D_3972","up"
"CENPK1137D_2258","down"
"CENPK1137D_3869","up"
"CENPK1137D_4407","down"
"CENPK1137D_5438","down"
"CENPK1137D_1898","up"
"CENPK1137D_4018","down"
"CENPK1137D_71","up"
"CENPK1137D_4319","mixed"
"CENPK1137D_5153","up"
"CENPK1137D_4074","down"
"CENPK1137D_2317","up"
"CENPK1137D_1824 CENPK1137D_3085","down"
"CENPK1137D_2809","up"
"CENPK1137D_1462","up"
"CENPK1137D_1702","up"
"CENPK1137D_1914","down"
"CENPK1137D_1837","down"
"CENPK1137D_3003","down"
"CENPK1137D_40","mixed"
"CENPK1137D_13","down"
"CENPK1137D_3054","mixed"
"CENPK1137D_2281","down"
"CENPK1137D_3477","down"
"CENPK1137D_717","up"
"CENPK1137D_1588","up"
"CENPK1137D_5330","up"
"CENPK1137D_1076","up"
"CENPK1137D_1432","up"
"CENPK1137D_1305","down"
"CENPK1137D_3393","down"
"CENPK1137D_2287","down"
"CENPK1137D_2476","up"
"CENPK1137D_4259","up"
"CENPK1137D_5259","up"
"CENPK1137D_3998","up"
"CENPK1137D_1214","down"
"CENPK1137D_2610","down"
"CENPK1137D_2542","down"
"CENPK1137D_2827","down"
"CENPK1137D_4673","up"
"CENPK1137D_3053","mixed"
"CENPK1137D_3570","down"
"CENPK1137D_3922","up"
"CENPK1137D_4436","up"
"CENPK1137D_3951","down"
"CENPK1137D_2729","down"
"CENPK1137D_1336","up"
"CENPK1137D_730","up"
"CENPK1137D_2349","down"
"CENPK1137D_5357","down"
"CENPK1137D_1370","down"
"CENPK1137D_2627","down"
"CENPK1137D_3377","up"
"CENPK1137D_541","down"
"CENPK1137D_2239","down"
"CENPK1137D_2433","down"
"CENPK1137D_1495","up"
"CENPK1137D_2351","down"
"CENPK1137D_3234","down"
"CENPK1137D_4774","down"
"CENPK1137D_4577","down"
"CENPK1137D_1528","down"
"CENPK1137D_559","down"
"CENPK1137D_138","mixed"
"CENPK1137D_447","down"
"CENPK1137D_235","up"
"CENPK1137D_4730","down"
"CENPK1137D_3171","mixed"
"CENPK1137D_3209","up"
"CENPK1137D_3481","down"
"CENPK1137D_3299","mixed"
"CENPK1137D_4929","mixed"
"CENPK1137D_4331","down"
"CENPK1137D_3505","down"
"CENPK1137D_3279","down"
"CENPK1137D_3120","down"
"CENPK1137D_3730","down"
"CENPK1137D_4054","down"
"CENPK1137D_1249","down"
"CENPK1137D_3693","mixed"
"CENPK1137D_334","up"
"CENPK1137D_791","up"
