genes,HiT,LpH
YALI1_F15357g,2.59572595417932,4.92779338087016
YALI1_B21155g,1.67303805577235,4.05302496000185
YALI1_E12561g,1.21260437233114,3.87057311599445
YALI1_A17749g,2.37862611052061,3.01085334630155
YALI1_A15105g,1.14073785502984,2.76649885802498
YALI1_E20794g,1.12162981107192,4.18574796266601
YALI1_B12966g,1.18597050716491,5.94023178489038
YALI1_C25391g,1.3910937120017,2.49908384885486
YALI1_C15454g,1.99967374811011,3.53159818013284
YALI1_B02047g,1.7220674207015,2.55782846109671
YALI1_A16681g,1.68718481074011,3.00391079238241
YALI1_F12649g,1.03820278750753,1.06601216911905
YALI1_A12540g,2.6905910424365,2.83940002517034
YALI1_E26492g,1.66737742778413,1.25002129905639
YALI1_F04848g,0.686257698637533,4.63324252165762
YALI1_F03215g,0.927092699252064,1.76240933072162
YALI1_A21594g,1.39943855504465,2.85762273059582
YALI1_A04164g,1.60707115455473,1.3598464955037
YALI1_E24245g,1.36244331051765,1.20830897036333
YALI1_E32776g,1.15016590486946,1.55214233557887
YALI1_B30382g,1.16313905757988,2.41049951206568
YALI1_E20463g,1.27394890335221,3.61189169665638
YALI1_C08040g,0.534643252583267,1.38466297295115
YALI1_C10318g,1.33684785097671,1.1943418443579
YALI1_E41569g,0.681284485922441,2.33209566661682
YALI1_B25868g,0.863224390172373,2.24795293564024
YALI1_D16864g,0.513832076596279,1.28133822188132
YALI1_B21935g,1.66384031718772,1.6225722088625
YALI1_F01755g,2.19961998809123,1.18594201537246
YALI1_A12037g,1.64007007077351,1.38625675052971
YALI1_F03992g,0.704295790893642,0.746880786458459
YALI1_E21786g,1.96249260898992,0.894560690351066
YALI1_D02804g,1.28748381371388,1.87238898433082
YALI1_A04261g,1.55350544528501,1.71182412517736
YALI1_E35249g,1.43704714949414,2.34797980566299
YALI1_A21236g,0.625454088990091,2.47395428888046
YALI1_F12578g,0.708700101817343,3.10147130682237
YALI1_E02744g,0.960212981859186,1.48734871585135
YALI1_F21467g,1.62947827861177,2.19723251065923
YALI1_F31215g,0.56004893331885,1.65493115121149
