"","genes","logFC","logCPM","PValue","FDR"
"911","CENPK1137D_2980",-2.62131544315959,9.95953665933813,1.62908030735961e-67,2.54299435978836e-64
"1383","CENPK1137D_1123",-2.67081430603105,10.7390728350988,1.29897983515717e-62,1.01385376134017e-59
"1369","CENPK1137D_3646",-2.62783051240481,11.5142172929063,1.33716491344122e-56,6.95771476627248e-54
"1407","CENPK1137D_203",4.91577006609106,9.83669498911617,6.42656618027563e-52,2.50796745185256e-49
"418","CENPK1137D_5411",-2.6007213509094,9.15403135735184,7.45600918606037e-41,2.32776606788805e-38
"266","CENPK1137D_3804",2.37189667915261,9.68881573413735,1.95122013475756e-37,5.0764243839276e-35
"627","CENPK1137D_1055",-2.66950485545184,9.24292644160401,5.22517983568244e-34,1.16521510335718e-31
"329","CENPK1137D_3141",-2.64515979117478,9.10680404835147,2.6405395452424e-32,5.15235278765423e-30
"1399","CENPK1137D_5446",2.60247055471211,11.1375164782013,3.99371922844811e-31,6.92688412845277e-29
"1378","CENPK1137D_4180",-2.34306468040382,8.96900603051492,1.20607194242479e-26,1.88267830212509e-24
"1372","CENPK1137D_1111",2.68651034792129,10.641980262787,2.49581412754144e-26,3.54178713917471e-24
"1412","CENPK1137D_2643",-2.47686256007835,8.37008067367062,4.62908179889649e-25,6.02166390673119e-23
"286","CENPK1137D_3314",2.1963016274232,8.47714029044701,6.92816447780474e-25,8.31912673065631e-23
"246","CENPK1137D_4279",-2.3152634084959,7.98856260853072,5.36003393276086e-21,5.97643783502835e-19
"356","CENPK1137D_5141",2.02169390513517,8.79982026752065,4.38322270065206e-20,4.56147375714524e-18
"852","CENPK1137D_5284",-2.67080080983242,7.78122482078611,5.3492908009984e-20,5.21890183772407e-18
"285","CENPK1137D_4858",2.18143383918732,8.36666555768151,4.33843044417135e-19,3.98369995491263e-17
"1390","CENPK1137D_1987",3.20623620102015,9.16606406756453,6.69957754127486e-18,5.81002252329448e-16
"530","CENPK1137D_3841",-1.34741608176313,8.97500789221067,1.15174076164881e-15,9.08984964418825e-14
"381","CENPK1137D_1851",-1.91967835200696,8.42145660197971,1.16461878849305e-15,9.08984964418825e-14
"293","CENPK1137D_382",1.13295432125353,9.39411740841997,1.41936144767986e-14,1.0550586761087e-12
"38","CENPK1137D_4500",1.09146518301143,9.20815076435755,2.61363893668759e-14,1.85449562734969e-12
"1555","CENPK1137D_19",-1.99284963243481,7.64950072210995,1.14936618289653e-13,7.80069831087604e-12
"56","CENPK1137D_4663",0.975745068626704,9.58343873364563,2.07846876975871e-13,1.35187072899723e-11
"1389","CENPK1137D_4929",-2.26742561208941,9.04893900591308,6.62397890303724e-13,4.13601242705645e-11
"182","CENPK1137D_1962",-1.09637204843928,10.1445906165148,3.01425340094633e-12,1.80971136879893e-10
"705","CENPK1137D_1993",1.47538050855568,8.87787277521313,4.9491908908669e-12,2.84897089782826e-10
"730","CENPK1137D_3854",1.67565977051698,8.35674214875741,5.11026170014037e-12,2.84897089782826e-10
"430","CENPK1137D_808",-1.08861520086345,9.44310772732969,7.88850584625561e-12,4.24619228482931e-10
"957","CENPK1137D_4571",-1.26356189182612,9.59694211217185,1.97921017996045e-11,1.02984903030609e-09
"552","CENPK1137D_5249",0.973698601738086,9.4346687647302,2.16828346234446e-11,1.09183564023216e-09
"165","CENPK1137D_3477",-1.02407055526451,9.47030894183891,4.27522017485229e-11,2.05201804881906e-09
"1397","CENPK1137D_4185",1.3512584704556,9.04290278877091,4.33802662466553e-11,2.05201804881906e-09
"771","CENPK1137D_2713",-1.76685965660618,10.2194977879241,1.15890311191187e-10,5.32072869910126e-09
"878","CENPK1137D_699",-1.88656512783048,9.91933450673555,4.32623735328983e-10,1.92950185956726e-08
"242","CENPK1137D_1157",0.868602124325421,10.4731126631838,6.45438436483642e-10,2.7986927759749e-08
"161","CENPK1137D_3146",-0.803612779070861,10.3682745353613,9.97637004395697e-10,4.2089496320586e-08
"453","CENPK1137D_5006",0.98588067230561,9.83710317356794,3.85107158635113e-09,1.5819796700774e-07
"457","CENPK1137D_557",-0.829466920882219,10.253931124548,4.42049358982836e-09,1.74171659839106e-07
"910","CENPK1137D_597",-2.2840710616779,7.03972226751123,4.46307904776698e-09,1.74171659839106e-07
"97","CENPK1137D_4617",-0.799611643882587,11.8551342712803,4.83173331349601e-09,1.83959407374812e-07
"3","CENPK1137D_3481",-1.10380140590182,9.11568413493052,5.29197650049991e-09,1.96685126601913e-07
"606","CENPK1137D_4507",-1.78617835571853,8.57198127248362,5.80186398727817e-09,2.08399668365952e-07
"1376","CENPK1137D_5275",0.766359141153621,10.8214690982526,5.87417386809857e-09,2.08399668365952e-07
"34","CENPK1137D_673",-0.70176413414814,10.6718605537045,6.75367462616056e-09,2.34277468698592e-07
"1209","CENPK1137D_1588",2.0571042956267,7.30576920733491,9.26661222169709e-09,3.14460471262373e-07
"1419","CENPK1137D_2119",2.05123633685875,7.75590623651095,1.15208557845984e-08,3.82639486803364e-07
"454","CENPK1137D_3469",1.0518946505332,9.13518866622202,1.63555197920221e-08,5.31895133236387e-07
"894","CENPK1137D_5285",-2.51583220863225,7.34360121049672,1.81009780034574e-08,5.71751615153501e-07
"599","CENPK1137D_4778",1.46755743990789,8.63321869082842,1.8674111133498e-08,5.71751615153501e-07
"123","CENPK1137D_3368",-1.06827578581365,12.5350052601608,1.8679905427821e-08,5.71751615153501e-07
"747","CENPK1137D_4769",-1.59624240754527,8.04565397600279,2.8527529157433e-08,8.56374481052942e-07
"19","CENPK1137D_1403",-0.797165766094408,9.30440824071429,3.90899701616589e-08,1.1478718234072e-06
"291","CENPK1137D_2642",0.681552496326449,10.0753692519617,3.97085704445797e-08,1.1478718234072e-06
"718","CENPK1137D_2071",1.03841167520098,9.55691662600616,5.38617075670944e-08,1.52869319113153e-06
"666","CENPK1137D_232",-1.62527012136535,7.3122915568705,6.06786507708308e-08,1.69141739023691e-06
"598","CENPK1137D_1",1.00720800839582,9.1681104979309,6.78441963155357e-08,1.83122976202366e-06
"1235","CENPK1137D_1352",2.11436588459044,6.2145892811478,6.80405677113213e-08,1.83122976202366e-06
"1406","CENPK1137D_4894",-2.02395173741902,6.81059021478396,7.57448044513133e-08,2.00402779234746e-06
"159","CENPK1137D_20",-0.671826196501554,10.4716759855706,7.87066292240835e-08,2.02927613972789e-06
"82","CENPK1137D_2390",0.581923234497887,10.8317007539622,7.92990675998727e-08,2.02927613972789e-06
"370","CENPK1137D_206",0.757540488572835,10.1288871350158,9.27625570803908e-08,2.33552180004016e-06
"720","CENPK1137D_4934",-0.874774276763509,9.40130879518928,1.15045641519954e-07,2.85057533988331e-06
"160","CENPK1137D_1274",-0.649716641572538,10.2486223647281,1.2454203907926e-07,3.03765817191759e-06
"1057","CENPK1137D_3310",1.89374235756257,6.76740874793639,2.05164735730033e-07,4.92711003807049e-06
"1282","CENPK1137D_1498",1.25217933422956,8.18709336246632,2.54473500144244e-07,6.01868384432068e-06
"404","CENPK1137D_2104",-0.88683061279003,9.53724119608511,3.1146370688548e-07,7.25663949922739e-06
"213","CENPK1137D_3610",1.26896304837689,8.68474763087381,4.03913546121841e-07,9.27219184553226e-06
"1028","CENPK1137D_1572",-1.81572159505969,7.83581455128618,5.78030725745666e-07,1.30768980128838e-05
"770","CENPK1137D_5134",-1.10005212424536,8.64286283076834,7.406354742479e-07,1.65161710757282e-05
"1375","CENPK1137D_3890",-1.29999615512998,12.2274117300027,8.3884120396184e-07,1.84426918223159e-05
"849","CENPK1137D_25",1.08179127239445,8.35667517341238,9.02784697301664e-07,1.95728737845541e-05
"636","CENPK1137D_4280",-1.21183227362695,9.74851538122325,1.02886527968507e-06,2.20008041313479e-05
"781","CENPK1137D_4473",2.0400498915167,9.29014043610362,1.05507087876173e-06,2.22562924560414e-05
"856","CENPK1137D_5102",-1.14848984792927,8.50758902568203,1.10830409210007e-06,2.3067502503576e-05
"731","CENPK1137D_4598",1.44812588209319,8.12200563939341,1.20876255382833e-06,2.45811909925489e-05
"1152","CENPK1137D_2042",-1.45804374269613,8.91313786128711,1.21252511622438e-06,2.45811909925489e-05
"317","CENPK1137D_4698",-0.654465688515533,10.0249248245622,1.28036892224768e-06,2.56237934311364e-05
"1377","CENPK1137D_4926",-2.59109675328736,13.0954898491814,1.31628749691831e-06,2.60091744644238e-05
"601","CENPK1137D_3693",-1.0141310109206,10.995265598185,1.52174976376645e-06,2.96931422654928e-05
"1489","CENPK1137D_1563",1.63808048117584,8.46329869648447,1.59103275916014e-06,3.06617547783825e-05
"1509","CENPK1137D_1521",1.41482796184124,6.41164072344384,3.89508601440767e-06,7.41491374206144e-05
"1415","CENPK1137D_1607",-2.5320266266382,7.77425969158221,3.9836416878669e-06,7.49212611416894e-05
"751","CENPK1137D_1389",-1.04052654532261,8.90950221853756,4.4276626627627e-06,8.22807311496736e-05
"5","CENPK1137D_1304",0.53949346385518,12.8587003795902,5.44963301885831e-06,0.000100080907558092
"786","CENPK1137D_1583",-1.03887039269059,8.75430608499732,6.73204189660247e-06,0.000122194388379028
"1001","CENPK1137D_2665",-1.38684508517414,8.33264182890117,6.82771714707228e-06,0.000122506511110113
"924","CENPK1137D_1303",-1.6770295716918,8.11364427240831,8.16399514409767e-06,0.000143471089424718
"2","CENPK1137D_1639",0.552383520218356,11.4035240956371,8.1799660210121e-06,0.000143471089424718
"65","CENPK1137D_2666",-0.826155937837104,8.87087616815334,8.80493187101815e-06,0.000152716651673993
"1423","CENPK1137D_4730",-1.18754685708468,8.12861509890267,9.38696672308073e-06,0.000161022583019
"1392","CENPK1137D_632",-0.906982801024715,9.89439120122255,9.5992922764164e-06,0.000162874948298761
"506","CENPK1137D_2766",0.738138423508406,9.49139408013933,1.04367362662189e-05,0.000175180057113631
"1122","CENPK1137D_619",-1.58447402262123,6.69186543657529,1.2175229255836e-05,0.00020218651987617
"1382","CENPK1137D_289",-1.12263484214642,9.11902520463138,1.38972387929812e-05,0.000228353576377301
"37","CENPK1137D_2676",0.484191005411725,11.0533181973413,1.46190945002573e-05,0.000237712567863558
"1549","CENPK1137D_4213",-0.706804818751763,9.36302913290416,1.56292351755963e-05,0.000251517898032018
"1488","CENPK1137D_1084",-1.83420739873177,9.50605307423426,3.53362200835291e-05,0.000559170004073135
"1422","CENPK1137D_2305",-1.59563338757247,8.04667856149705,3.5463055991826e-05,0.000559170004073135
"1498","CENPK1137D_1197",0.947899470866135,8.35079926049491,4.01513812421457e-05,0.000626763061189894
"945","CENPK1137D_127",-1.42983596444806,7.56777983084905,5.60218162165376e-05,0.000865842129841734
"1394","CENPK1137D_766",1.62900734314207,11.6021146140277,6.34415283164715e-05,0.000970904173549137
"901","CENPK1137D_4887",1.86953386788389,8.21545770774959,8.17291566896847e-05,0.00123863314167571
"1046","CENPK1137D_1979",-1.69977646405246,7.1061280498047,9.53239075538038e-05,0.00143077518934123
"580","CENPK1137D_1877",-1.12701861415434,8.4487235032927,0.000102582371863278,0.0015250579283674
"558","CENPK1137D_4131",-0.664597889815572,9.62072081922382,0.000106355160961215,0.00156623024774015
"671","CENPK1137D_5104",-1.38835166082583,9.28945777292393,0.000114530475029031,0.0016708604814983
"83","CENPK1137D_4927",0.660546506366405,9.32478643487369,0.000118794465091446,0.00171702000007174
"1303","CENPK1137D_3095",1.55515009588392,5.88787169948153,0.000128238028494121,0.00183650974751673
"1171","CENPK1137D_290",1.19842683414255,7.97822917888214,0.000144270582408453,0.00204733071945086
"1538","CENPK1137D_2750",-1.78927594169605,6.34087534730583,0.000151130322875223,0.00212535526133534
"798","CENPK1137D_1810",0.711959640712235,8.90347531095373,0.000154132093391042,0.00214821605163765
"623","CENPK1137D_3817",0.735257951554159,8.83397195085186,0.000171821229342075,0.00236153769932829
"564","CENPK1137D_899",-0.792895939260723,8.41505958426847,0.000172463355364142,0.00236153769932829
"102","CENPK1137D_2964",0.508352489745737,9.68124257368994,0.000181965975330651,0.0024390680131132
"1440","CENPK1137D_3209",1.82970151501833,7.91771361476216,0.000182493532240472,0.0024390680131132
"527","CENPK1137D_4075",-0.703826678313649,9.40597859482503,0.000182812913218606,0.0024390680131132
"1398","CENPK1137D_4236",-1.98435609943475,8.45434476153537,0.00019368145358634,0.00256217583939218
"58","CENPK1137D_4822",-0.50962633231481,9.45000063411295,0.000207283946934371,0.00271907765684499
"269","CENPK1137D_2246",-0.590084544476208,9.75931223167221,0.000210042674801894,0.00273230512804798
"14","CENPK1137D_4754",-0.443667825846762,10.7213696095884,0.000219151544335616,0.00282723603890824
"1263","CENPK1137D_2276",1.56969457303446,5.99172847457952,0.000236247174459478,0.00302280196173152
"921","CENPK1137D_886",0.839533875869847,9.74219527222512,0.000241492148084041,0.00306479059479015
"1008","CENPK1137D_2468",-1.47799969489579,6.60859034723693,0.00025822771330778,0.00325075371349552
"469","CENPK1137D_363",0.596849619575579,9.45728793735474,0.000274455985424765,0.00342740634598447
"680","CENPK1137D_2372",-0.8947382141639,8.03780581488804,0.000278166918903814,0.00344617905086392
"1408","CENPK1137D_2854",-2.31512927625448,9.30595995949956,0.000298093903417152,0.00366397309633208
"185","CENPK1137D_1151",-0.673364103717697,8.96092188523965,0.000312003967410957,0.00380498588381644
"661","CENPK1137D_1876",-1.30775077577889,6.80069948499158,0.000353836730256954,0.00425018994263088
"337","CENPK1137D_4047",-0.592786237581085,10.8869158412371,0.000353955600603469,0.00425018994263088
"647","CENPK1137D_225",-1.01075863628624,7.50462900162728,0.000367510920200851,0.00437927134682082
"497","CENPK1137D_1214",-0.701476157313507,9.31611393526068,0.000417867779583066,0.00494160306006944
"1401","CENPK1137D_5258",-1.58805248491413,7.21028616595186,0.000421123451953704,0.00494265946240399
"1544","CENPK1137D_683",0.947281738654202,8.18779232895429,0.000432649859960427,0.00504004799550915
"336","CENPK1137D_4925",-0.505839250899833,11.0830303029065,0.000456775606209233,0.00528167941698232
"1059","CENPK1137D_4353",1.36527442898467,7.55647491736427,0.000476322030251653,0.00546719624428552
"870","CENPK1137D_609",1.25451622739173,7.49374868978425,0.000480866902994422,0.00547907471222112
"76","CENPK1137D_1697",-0.496884255198799,10.2957844895584,0.000512829371016812,0.00580091774026988
"45","CENPK1137D_3207",0.469465252676575,9.41306128193968,0.0005294091891052,0.00594537945462746
"1446","CENPK1137D_4035",1.11548364930199,7.46326855934969,0.000552792895029,0.00616364077957335
"241","CENPK1137D_1444",-0.942080937330377,8.89439802310289,0.000563522496701619,0.00623871359823565
"587","CENPK1137D_378",0.75057195960821,8.46207358122058,0.000588765341718052,0.00647227252409774
"877","CENPK1137D_2280",-1.07287022609907,9.68044887086775,0.0006060144770441,0.0066153048857751
"633","CENPK1137D_3367",0.737234115752113,8.33945385471152,0.000619041898152462,0.0067105861320555
"538","CENPK1137D_2826",-0.627441399369853,9.05048875813079,0.00062669579149115,0.00674670434839782
"1426","CENPK1137D_2696",-1.57647442769968,7.39503440735682,0.000636407064562776,0.0068043248478253
"439","CENPK1137D_384",-0.528074119561078,9.08587230477126,0.000711061555056964,0.00755079651322395
"1428","CENPK1137D_4183",-1.46593889031727,8.62423864745273,0.000784668479616647,0.00823658892289949
"998","CENPK1137D_4815",-1.06118865096653,8.29531579232469,0.000786195867720707,0.00823658892289949
"452","CENPK1137D_4499",-0.476064563141931,9.93910659202815,0.000818756550122124,0.00852052649827091
"1409","CENPK1137D_2935",-1.36671513835804,7.71937265372877,0.000829137187202963,0.00857141158426374
"388","CENPK1137D_4570",0.45619362883689,9.52649952726606,0.000840987537959554,0.00863672070233463
"1221","CENPK1137D_96",1.32545237447537,6.82309112167792,0.00089821159240439,0.00916410650812583
"164","CENPK1137D_3856",-0.517968772240129,9.45998444125138,0.000946228192772715,0.00957099098953702
"492","CENPK1137D_4048",-0.550124630309848,10.4456350189322,0.000953318254206473,0.00957099098953702
"425","CENPK1137D_3275",0.484104072903846,10.6657373040768,0.000956485966923623,0.00957099098953702
"674","CENPK1137D_5103",-0.567722716369618,9.68515310475032,0.000983157272653921,0.00973401847719968
"1413","CENPK1137D_1857",-0.880042520680483,9.54396365711808,0.000985249788211115,0.00973401847719968
"1320","CENPK1137D_1700",1.32041147197125,6.68560265814534,0.00103703057218761,0.0101330523145856
"1453","CENPK1137D_2430",-0.955077746561631,7.61740843040816,0.00103862163378199,0.0101330523145856
"1300","CENPK1137D_71",1.39064911057957,6.56272462129825,0.00121642733978232,0.0117940563813677
"668","CENPK1137D_4865",0.715859024717319,8.54901105817287,0.00123574884880772,0.0119074318085731
"1074","CENPK1137D_5424",-1.15185912927754,7.7149711542766,0.00125039046712167,0.011974598277159
"35","CENPK1137D_1594",0.347009193222894,10.6121444948939,0.00134286572814008,0.0127817890343089
"687","CENPK1137D_1753",-0.385497760722343,10.1984205980212,0.00135563679330398,0.0128251456627122
