genes,logFC,logCPM,PValue,FDR
YKL182W,-1.29318361092958,4.09483808415916,2.28245146977086e-18,2.48597005915877e-17
YJL088W,-1.30060179571403,5.47788338761077,3.44487156171848e-18,3.72103068691409e-17
YLR328W,1.4643984653889,6.26533253732959,5.24218640794053e-17,5.48123010814262e-16
YDL130W-A,-1.04249156673838,10.45039536095,5.3134129592042e-17,5.51161169657134e-16
YCR083W,-1.35885038315977,10.9992248843949,5.39866435150067e-17,5.55594827355226e-16
YCR010C,-2.36793024394378,9.71899257209244,8.49590596143669e-17,8.67511647781075e-16
YLR258W,-1.07393770139595,5.94409676436979,1.7102222733627e-16,1.69337917521595e-15
YER042W,-1.07618851508274,10.2740854650842,1.93487458330894e-16,1.90141434615397e-15
YMR011W,1.30328281719977,9.38643944362855,2.34192695434722e-16,2.28425263382971e-15
YBR256C,-1.24129060880952,8.84335988411407,4.67045257531358e-15,4.36020108281061e-14
YOR265W,-1.01179067003969,11.0579219557724,5.17310882475078e-15,4.69531474579811e-14
YJR104C,-1.06597858112706,7.44959047815562,5.90439238343688e-15,5.32209713458759e-14
YBR230C,-1.16553364610717,7.20249480509817,6.34389613017267e-15,5.67909057680526e-14
YHR029C,-1.00475530413968,7.96512735230786,1.13650004631341e-14,1.01047997315076e-13
YAL044C,-1.33168364542897,9.16053929558421,1.79282311735705e-14,1.56214654292377e-13
YPR149W,-1.01156340508223,9.08858240698601,2.73268800481461e-14,2.36531339224681e-13
YLR377C,-1.2164024678705,6.34639946615639,2.90767776085123e-14,2.500220285153e-13
YNL191W,1.06879136702375,10.3852454240124,3.67101160426533e-14,3.13595566455868e-13
YMR039C,1.19075129004278,5.8240376921589,5.45553595534586e-14,4.63012045041366e-13
YKL033W-A,-1.35000512547335,7.18891384305547,1.52382112899523e-13,1.26052798455492e-12
YNL009W,-1.00667858731268,5.53113754448782,2.05793762333234e-13,1.68107779605961e-12
YGR127W,-1.50384008739782,6.00385273225678,2.61273035987931e-13,2.10792504960633e-12
YNL015W,1.98620988878775,8.70151829621717,1.36108279395138e-12,1.05889000696099e-11
YGL008C,1.51567097980561,4.90124971361594,1.63599602865233e-12,1.26523479849029e-11
YHL024W,-1.4479782902611,6.86683922595623,1.73204154536427e-12,1.33163429399477e-11
YMR174C,-1.03432301158669,7.34175549906248,1.80386586820763e-12,1.37874426301016e-11
YNL173C,-1.09006582908612,6.03294629305496,1.82890312727929e-12,1.38975371357793e-11
YML128C,1.23301212828854,5.26351102901807,2.05542994307457e-11,1.42896113595663e-10
YOL032W,1.08121317426572,6.03808791005124,4.39101280015713e-11,2.94310447682326e-10
YPR080W; YBR118W,-1.02602284144189,9.57920691329504,4.88150643555117e-11,3.25516781187009e-10
YDR233C,-1.06125877396741,6.57729035077307,7.94532368569685e-11,5.09045983196362e-10
YOR122C,-1.44814688296103,9.80860322995528,2.1945673784256e-10,1.33409282028012e-09
YDR379C-A,1.06386167714751,9.6924910941236,3.41939402025154e-10,2.02223890699944e-09
YCR003W,1.09286374688589,7.25379110476586,3.82338624375826e-10,2.2209625869298e-09
YLR056W,-1.27286339995035,6.97445072500669,5.54860615473552e-10,3.18071414221023e-09
YHR097C,-1.06824175894112,7.84593143950928,5.6770054911815e-10,3.24010750086211e-09
YLR043C,-1.04659836734002,9.61380106036038,8.50884084522992e-10,4.79355818306703e-09
YGL148W,-1.05703227121359,6.66019234090676,8.7472665395008e-10,4.90672848374573e-09
YBR249C,-1.59537602672036,8.85153732768372,1.60420291320664e-09,8.71933078578238e-09
YGL147C,-1.23996454767597,8.69862862484682,2.55970763714991e-09,1.37112208268645e-08
YBL002W,-1.12051916710344,6.70908951905987,3.48725195917347e-09,1.85277980107306e-08
YML075C,-1.19734937436249,5.23566274322128,1.19357287208208e-08,5.88679148608027e-08
YJR008W,-1.01162018260529,7.02116130643297,1.76976965655465e-08,8.47285326416456e-08
YDR432W,1.00673198365594,6.52866685801283,2.54915872450988e-08,1.189910876048e-07
YHR057C,-1.08336603925245,6.74178032864405,2.65334362867018e-08,1.23413527497221e-07
YHL039W,1.06938255706601,6.25964247910379,2.71956297020348e-08,1.25157352185069e-07
YHR190W,-1.1273610291724,5.7930410542579,2.76773694765103e-08,1.26927445283505e-07
YDR377W,1.02601254412024,9.54444404482727,3.25073823843511e-08,1.47025799074469e-07
YNL055C,-1.12784678666047,11.0939044401488,5.08664627458999e-08,2.23095526204333e-07
YGR049W,-1.00295128104038,5.63688576242216,1.16755162908226e-07,4.89099352311063e-07
YDR178W,1.56233695996523,8.50849607050863,1.23619804479489e-07,5.1620154777857e-07
YDR158W,-1.13687860203576,5.80774293783137,1.29377557696633e-07,5.35115404776895e-07
YDR515W,1.07231015209626,6.52327973120744,1.64487058043597e-07,6.73932867909031e-07
YNL135C,-1.44624427733149,9.71568565303341,1.68083343715616e-07,6.84376729708133e-07
YNL117W,-1.34713937561813,7.13161750521234,2.06161575226088e-07,8.21503593964931e-07
YDR070C,-2.10968908403839,11.2686437039029,2.14366797348204e-07,8.49022436770007e-07
YHR049W,1.89054539757969,10.4928766541379,2.89982078601023e-07,1.12464859564254e-06
YIL116W,-1.25088699601491,9.05109676096074,3.34802109747989e-07,1.28701869835477e-06
YGR201C,-1.18360821536721,7.8804498024847,4.13597557844238e-07,1.58061990673222e-06
YGR222W,1.07341357438629,5.58492928469915,6.01442598393224e-07,2.2395597609685e-06
YPL117C,-1.25846181865724,5.98803377591181,1.36030590207253e-06,4.92498563437341e-06
YNL180C,1.12298812317739,7.36356966876896,1.40850200267931e-06,5.08539258978414e-06
YJL164C,1.0132448398535,11.0640417213141,1.63922102262333e-06,5.82190727328448e-06
YMR202W,-1.32210906883146,6.37874738910049,3.15937886910387e-06,1.08952722478067e-05
YGL185C,1.27899825667842,5.45201134801622,8.32081607174579e-06,2.70530015068949e-05
YNL157W,-1.05783872034098,8.5573644306201,3.23141716850351e-05,9.64260785213262e-05
YDL234C,-1.24096614810612,5.154970371434,3.59948848994733e-05,0.000106197098337724
YDR229W,-1.36454968356183,7.09255574216034,4.85158041180545e-05,0.000140911457738438
YPL188W,-1.62106075074423,6.97296255844923,7.1557097115954e-05,0.000202874459719201
YGR248W,-1.36818999049723,7.32818823681161,7.38896616564388e-05,0.000209034172694731
YER067W,-1.20723856055338,6.69118483204657,0.00011147621689428,0.000310659734500691
YGL167C,1.08920341572552,5.60867259332893,0.000157559634280448,0.000422855117052454
YLR220W,1.04576056310861,7.29726892596603,0.000388129458028072,0.000964420535442377
YBR227C,-1.07573132041638,4.5150261215114,0.000481645229815448,0.00117009352299032
YIL005W,-1.20566570235895,5.11116237955693,0.000573113042086236,0.00136440573043117
YMR203W,-1.21684819853457,5.80163945071557,0.000821374654739521,0.00188009925349309
YPR028W,-1.2221069258999,7.81360043278238,0.00133971057059816,0.00293300119894772
