genes,direction
YGR234W,down
YOR100C,up
YGR175C,down
YMR015C,down
YLR364W,up
YOR020C,up
YML004C,mixed
YNL281W,up
YAL062W,up
YKL150W,mixed
YER043C,down
YLR325C,down
YMR116C,down
YDR047W,down
YOL127W,down
YGL001C,down
YLR303W,down
YMR096W,down
YDR470C,down
YCR010C,mixed
YML008C,down
YOR215C,down
YJR109C,down
YGL147C,down
YNL015W,up
YNL067W,down
YHR007C,down
YOL140W,down
YIL138C,up
YAL046C,down
YNR050C,down
YIL043C,down
YML126C,down
YDR070C,mixed
YFR011C,down
YLR347C,up
YOR054C,up
YER067W,mixed
YOL084W,down
YGL055W,down
YHR190W,down
YDR051C,down
YOR243C,down
YDR033W,up
YJL052W,down
YCR076C,up
YEL026W,down
YLR056W,down
YCR005C,up
YPR035W,down
YNL216W,up
YNL259C,up
YMR011W,mixed
YGR231C,down
YML081C-A,down
YPR167C,down
YJL125C,down
YBR230C,down
YNL005C,down
YDR178W,up
YIL116W,down
YLR163C,up
YMR203W,down
YLR093C,up
YPL143W,down
YGR088W,up
YDR226W,down
YML128C,up
YDR533C,mixed
YLL023C,up
YDR502C,down
YKL080W,down
YBR145W,down
YPL117C,down
YJR010W,down
YDR224C,down
YFR050C,down
YBR283C,up
YBR039W,down
YLR044C,down
YOR261C,down
YDL222C,up
YBL002W,down
YDR432W,up
YDR032C,down
YML131W,up
YPL037C,down
YEL020W-A,down
YDR158W,down
YOR122C,down
YJR048W,down
YGL008C,up
YER024W,down
YNL117W,down
YER012W,down
YGR264C,down
YDR229W,down
YKL040C,down
YKL003C,down
YPL188W,down
YER095W,down
YDL022W,up
YCL026C-B,up
YIL162W,up
YMR107W,down
YOR230W,down
YOL151W,up
YFL014W,down
YHR018C,down
YML070W,up
YOL143C,up
YBR117C,up
YEL011W,down
YJR009C,up
YOL058W,down
YER062C,up
YPL223C,down
YMR175W,down
YER069W,down
YDL168W,up
YLR327C,down
YHR104W,up
YNR001C,up
YKR046C,down
YDR055W,down
YPR160W,down
YPL036W,down
YNR002C,down
YOR369C,down
YNR034W,up
YEL034W,down
YKR097W,up
YJR096W,down
YEL020C,up
YIR036C,down
YBR072W,down
YGL121C,down
YGR180C,down
YLR438W,down
YBR222C,up
YDR019C,down
YIL053W,up
YGR243W,up
YBL001C,down
YPL170W,down
YNL274C,up
YCL035C,down
YER175C,down
YKL103C,down
YIL124W,down
YFL030W,up
YDR519W,down
YPL061W,up
YNR034W-A,down
YBR214W,down
YHR137W,down
YGL184C,down
YGR008C,down
YPL127C,down
YGR037C,down
YEL060C,down
YNL037C,up
YLL026W,down
YJR148W,down
YDL085W,down
YJL026W,down
YMR189W,down
YAL049C,down
YEL071W,up
YPR128C,up
YGL253W,up
YLR178C,down
YHR025W,down
YAL030W,down
YHR163W,down
YPL004C,down
YNL064C,up
YGR267C,down
YER073W,down
YKL217W,down
YPL206C,up
YDR035W,down
YOR375C,up
YMR205C,up
YDL124W,down
YNL014W,down
YKR074W,down
YDR454C,down
YPL135W,up
YMR196W,down
YPL186C,down
YDR361C,up
YBR299W,up
YKL157W,down
YIL108W,up
YKL182W,down
YJL088W,down
YLR328W,up
YDL130W-A,down
YCR083W,down
YLR258W,down
YER042W,down
YBR256C,down
YOR265W,down
YJR104C,down
YHR029C,down
YAL044C,down
YPR149W,down
YLR377C,down
YNL191W,up
YMR039C,up
YKL033W-A,down
YNL009W,down
YGR127W,down
YHL024W,down
YMR174C,down
YNL173C,down
YOL032W,up
YPR080W; YBR118W,down
YDR233C,down
YDR379C-A,up
YCR003W,up
YHR097C,down
YLR043C,down
YGL148W,down
YBR249C,down
YML075C,down
YJR008W,down
YHR057C,down
YHL039W,up
YDR377W,up
YNL055C,down
YGR049W,down
YDR515W,up
YNL135C,down
YHR049W,up
YGR201C,down
YGR222W,up
YNL180C,up
YJL164C,up
YMR202W,down
YGL185C,up
YNL157W,down
YDL234C,down
YGR248W,down
YGL167C,up
YLR220W,up
YBR227C,down
YIL005W,down
YPR028W,down
