,logFC,-log10Pval
CENPK1137D_3199,-1.66506732363339,53.4352765336924
CENPK1137D_735,1.27680729290683,28.2282220029346
CENPK1137D_2041,1.12042136077146,27.9278096252597
CENPK1137D_44,-1.34674036308252,26.7136499324983
CENPK1137D_2759,1.34757739347566,26.4031080238818
CENPK1137D_25,-1.19340890993476,23.6460727243429
CENPK1137D_1157,-1.07980109244481,21.7696001560578
CENPK1137D_3444,-1.01138857796143,20.8189667215309
CENPK1137D_136,1.03527112491998,19.7342772090304
CENPK1137D_2971,-1.10281604822593,17.8592974195676
CENPK1137D_203,-1.33823911948057,17.7450182042203
CENPK1137D_4507,1.94149252061758,17.6350332681959
CENPK1137D_127,-1.13117466932642,17.4174723809537
CENPK1137D_4296,-1.12243866414197,17.3178523308173
CENPK1137D_2232,-1.21502921195177,16.3226103625609
CENPK1137D_5118,1.05610020886147,15.7966226477553
CENPK1137D_4932,-1.21345520409022,13.3523156256631
CENPK1137D_3890,1.37672393506298,12.813863816145
CENPK1137D_717,1.19367420927807,12.5489036944375
CENPK1137D_5017,-1.06302713310919,11.9207120111141
CENPK1137D_3475,1.0810133272678,11.6801259280609
CENPK1137D_2919,-1.14393302922578,9.32167227928317
CENPK1137D_5240,1.01281824182291,9.13835092889691
CENPK1137D_4427,1.15594841614491,8.79827828353469
CENPK1137D_5153,1.02774753645203,8.4824998042911
CENPK1137D_2258,-1.37779010882229,8.47782758497204
CENPK1137D_2780,1.08225569763679,7.43902830100956
CENPK1137D_625,1.00872497171648,7.13106653483234
CENPK1137D_1737,-1.27780228020628,6.66861096968329
CENPK1137D_40,-1.06826985635518,5.61464127535581
CENPK1137D_5279,1.00470833928613,5.59056939711159
CENPK1137D_1859,-1.42623887792368,4.84909513058395
CENPK1137D_289,1.03325959436278,4.73299845208462
CENPK1137D_543,1.08225551774862,4.03488387744503
CENPK1137D_480,1.0619219319049,2.41512165411865
CENPK1137D_1556,-1.18783522136626,2.13831645276743
