"genes","direction"
"KMXK0D01720","down"
"KMXK0D01300","up"
"KMXK0G00220","down"
"KMXK0H00910","down"
"KMXK0D01260","down"
"KMXK0B04700","down"
"KMXK0A08290","down"
"KMXK0H03460","up"
"KMXK0D04670","down"
"KMXK0F00970","down"
"KMXK0A06440","down"
"KMXK0E03710","up"
"KMXK0B02360","down"
"KMXK0B06020","down"
"KMXK0A01380","down"
"KMXK0E00250","down"
"KMXK0A06810","up"
"KMXK0F04540","down"
"KMXK0E00700","up"
"KMXK0C04790","down"
"KMXK0C03390","down"
"KMXK0B04730","up"
"KMXK0D03830","up"
"KMXK0F02060","up"
"KMXK0C05870","down"
"KMXK0G02530","down"
"KMXK0H02920","down"
"KMXK0B02770","down"
"KMXK0B02780","down"
"KMXK0B02110","down"
"KMXK0C04210","up"
"KMXK0B08090","down"
"KMXK0D01880","down"
"KMXK0C00950","down"
"KMXK0A06730","up"
"KMXK0E04600","up"
"KMXK0C00370","down"
"KMXK0C06240","down"
"KMXK0H03590","down"
"KMXK0A04470","down"
"KMXK0H03480","down"
"KMXK0G03800","down"
"KMXK0G03730","up"
"KMXK0H00120","up"
"KMXK0B00590","up"
"KMXK0E04070","down"
"KMXK0C06680","down"
"KMXK0C05200","down"
"KMXK0B02910","down"
"KMXK0D00840","up"
"KMXK0B04980","down"
"KMXK0B06400","up"
"KMXK0F00540","up"
"KMXK0E04560","down"
"KMXK0B02340","down"
"KMXK0F04730","up"
"KMXK0A06560","up"
"KMXK0F04530","down"
"KMXK0C00850","up"
"KMXK0F02740","down"
"KMXK0A04110","down"
"KMXK0H03120","down"
"KMXK0A05160","down"
"KMXK0E04860","down"
"KMXK0C04690","down"
"KMXK0F03310","up"
"KMXK0B02070","down"
"KMXK0H02880","down"
"KMXK0B06180","up"
"KMXK0E02060","down"
"KMXK0C06270","up"
"KMXK0A01830","up"
"KMXK0H02200","down"
"KMXK0E05330","down"
"KMXK0E00550","up"
"KMXK0B03310","down"
"KMXK0B05080","down"
"KMXK0C01510","down"
"KMXK0C03410","down"
"KMXK0G03090","down"
"KMXK0D04300","up"
"KMXK0F04690","up"
"KMXK0D01460","up"
"KMXK0F01270","down"
"KMXK0B04960","down"
"KMXK0G04240","down"
"KMXK0G00670","up"
"KMXK0D02500","up"
"KMXK0C00360","down"
"KMXK0G00210","down"
"KMXK0C07380","down"
"KMXK0D05440","up"
"KMXK0D02960","up"
"KMXK0A06580","down"
"KMXK0B01990","down"
"KMXK0E02480","down"
"KMXK0D05700","up"
"KMXK0E01320","up"
"KMXK0C01680","up"
"KMXK0G03550","down"
"KMXK0E02660","down"
"KMXK0G03270","up"
"KMXK0D05390","up"
"KMXK0G01050","down"
"KMXK0D02880","up"
"KMXK0D01860","down"
"KMXK0E06330","up"
"KMXK0E05410","up"
"KMXK0D03410","up"
"KMXK0H01000","up"
"KMXK0A01160","down"
"KMXK0B02760","up"
"KMXK0C07260","up"
"KMXK0G01260","down"
"KMXK0B02570","down"
"KMXK0B06260","up"
"KMXK0B02000","down"
"KMXK0G01270","down"
"KMXK0C03090","up"
"KMXK0A05070","up"
"KMXK0B01550","up"
"KMXK0F05840","up"
"KMXK0E00150","down"
"KMXK0H03900","down"
"KMXK0C00210","up"
"KMXK0C05050","down"
"KMXK0F00530","up"
"KMXK0D06310","up"
"KMXK0D01140","down"
"KMXK0A03240","down"
"KMXK0F04400","up"
"KMXK0D02730","down"
"KMXK0B04400","up"
"KMXK0E00610","up"
"KMXK0D05850","down"
"KMXK0C03160","up"
"KMXK0A04590","up"
"KMXK0H01760","down"
"KMXK0H00920","down"
"KMXK0A00370","up"
"KMXK0D05150","down"
"KMXK0F00730","down"
"KMXK0A00750","down"
"KMXK0E00620","up"
"KMXK0A02060","down"
"KMXK0D02920","up"
"KMXK0C00390","up"
"KMXK0E00270","up"
"KMXK0D02900","up"
"KMXK0A00250","up"
"KMXK0G00310","up"
"KMXK0D01220","down"
"KMXK0E00280","up"
"KMXK0E00880","up"
"KMXK0F05820","up"
"KMXK0C06230","down"
"KMXK0G03120","down"
"KMXK0A04940","up"
"KMXK0D05520","down"
"KMXK0A07690","down"
"KMXK0C01530","down"
"KMXK0E04050","up"
"KMXK0G01390","down"
"KMXK0D01560","up"
"KMXK0D00110","up"
"KMXK0G02800","up"
"KMXK0F03480","down"
"KMXK0C07390","down"
"KMXK0E04320","down"
"KMXK0D02910","up"
"KMXK0E02700","up"
"KMXK0E06210","up"
"KMXK0H03520","up"
"KMXK0B05890","up"
"KMXK0C00380","up"
"KMXK0B00720","up"
"KMXK0F00350","down"
"KMXK0A03520","down"
"KMXK0B02560","down"
"KMXK0B06390","up"
"KMXK0B08280","up"
"KMXK0F02660","down"
"KMXK0D02260","down"
"KMXK0C03220","up"
"KMXK0C01060","up"
"KMXK0F05620","up"
"KMXK0B07250","up"
"KMXK0B04860","down"
"KMXK0B00650","down"
"KMXK0A02800","down"
"KMXK0A00740","down"
"KMXK0A01100","up"
"KMXK0B04170","down"
"KMXK0D02940","up"
"KMXK0H04280","down"
"KMXK0G00120","down"
"KMXK0C07310","down"
"KMXK0D00700","up"
"KMXK0F03950","down"
"KMXK0C03420","down"
"KMXK0H03090","down"
