gene	condition	significance	direction	P_ref	P_cond	group
KMXK_0A03220	Osm	TRUE	1	NaN	NaN	3
KMXK_0A04670	Osm	TRUE	-1	NaN	NaN	2
KMXK_0A05220	Osm	TRUE	-1	NaN	NaN	3
KMXK_0A07850	Osm	TRUE	1	NaN	NaN	1
KMXK_0G00650	Osm	TRUE	-1	NaN	NaN	1
KMXK_0E03540	Osm	TRUE	-1	NaN	NaN	4
KMXK_0D06540	Osm	TRUE	1	NaN	NaN	2
KMXK_0A03640	Osm	TRUE	1	NaN	NaN	2
KMXK_0D06560	Osm	TRUE	-1	NaN	NaN	2
KMXK_0A06630	Osm	TRUE	-1	NaN	NaN	2
KMXK_0B01170	Osm	TRUE	-1	NaN	NaN	4
KMXK_0G00270	Osm	TRUE	-1	0.291172124916667	0.0708466565583333	2
KMXK_0F01200	Osm	TRUE	-1	NaN	NaN	2
KMXK_0A00150	Osm	TRUE	-1	NaN	NaN	1
KMXK_0H04340	Osm	TRUE	1	NaN	NaN	2
