Ref_1	Ref_2	Ref_3	HiT_1	HiT_2	HiT_3	LpH_1	LpH_2	LpH_3	Osm_1	Osm_2	Osm_3
CENPK1137D_1642	0	2.02825537765403e-06	2.92495653928518e-06	0	0	0	2.19836687241393e-05	1.54671315579779e-05	1.17866541482888e-05	0	0	0
CENPK1137D_3311	0	0	1.87589530172322e-06	0	3.88179604602545e-06	4.95850899174292e-06	1.87987116254524e-06	0	0	2.77386641110414e-05	3.16994407842288e-05	2.61340956145154e-05
CENPK1137D_4363	0	0	0	0	0	0	0	0	0	1.64078063383413e-05	1.75006168688091e-05	1.80351286666076e-05
CENPK1137D_1521	0	0	0	0	0	0	0	0	0	1.21247296188522e-05	4.84960275893786e-06	6.66362870863618e-06
CENPK1137D_4761	0	0	0	6.16304550390308e-07	0	0	3.62041672394272e-06	2.68129479811898e-06	3.23517428121059e-06	0	0	0
CENPK1137D_307	0	0	0	0	0	0	6.97110670349936e-06	9.03495059859346e-06	0	0	0	0
CENPK1137D_1123	7.93516176239556e-06	9.53460316864296e-06	1.03124217720065e-05	1.20631343996396e-05	1.06697633985086e-05	9.73520598712193e-06	1.0334278404232e-05	6.56023460606443e-06	1.42477075344514e-05	0	0	0
CENPK1137D_1173	0	0	0	0	0	0	0	0	0	6.04665920111154e-06	8.06173170203401e-06	4.98477406636968e-06
CENPK1137D_3853	1.87740420245952e-05	1.93356080481718e-05	2.09129779062772e-05	2.14054041003069e-05	2.52439197125598e-05	3.22459504305301e-05	2.09573018562615e-05	3.49223845354376e-05	1.87272706814556e-05	0	0	0
CENPK1137D_4754	0.000176065222463014	0.000160554070526345	0.000161734547932085	0.000175998156928487	0.000177907677181824	0.000182253856307444	0.000170607721839622	0.000166785625577909	0.000186603257384957	0.00011867849754046	0.000120829085688791	0.000124519502563922
CENPK1137D_2448	0	0	0	0	4.23403309464628e-05	1.8028159235411e-05	3.41742010721959e-05	3.79643206369469e-05	0	0	0	0
CENPK1137D_2944	2.8578013550044e-06	9.81094477994474e-06	6.63206682301908e-06	4.07293703469225e-06	4.1171270188037e-06	1.75303829299915e-06	7.97534776522796e-06	4.42993033122598e-06	8.55204533880639e-06	0	0	0
CENPK1137D_5429	0	0	0	0	0	0	0	0	0	2.75887760239841e-06	1.17705094543173e-05	9.09750727952102e-06
CENPK1137D_288	0	0	0	0	0	0	0	0	0	1.49424484739376e-06	2.39064924736373e-06	2.46366554368591e-06
CENPK1137D_1480	0	0	0	0	0	0	0	0	0	2.64627035332092e-06	8.46756037274864e-06	1.16349072690473e-05
CENPK1137D_3314	2.1424936758468e-05	2.04312925042349e-05	3.31470699814493e-05	2.94038900991216e-05	2.51501565821989e-05	2.92056179613658e-05	2.65738587537396e-05	3.69013196591124e-05	3.56192688361286e-05	6.06842717423554e-05	6.22365687397025e-05	5.90064322149733e-05
CENPK1137D_5104	7.62996323307265e-05	7.85818942470574e-05	8.02706822912591e-05	7.24947980747574e-05	7.32813420227241e-05	8.73672332177609e-05	0.000108831686491455	9.98753665987374e-05	0.000101479398393529	4.48848163774818e-05	3.19161890972833e-05	3.83728191661848e-05
CENPK1137D_104	1.8893242291418e-05	2.70255191854959e-05	1.75381322653171e-05	2.99184880943443e-05	1.81458561199126e-05	3.86317697901664e-05	1.75753034085579e-05	2.60326770081922e-05	1.88461739873696e-05	0	0	0
CENPK1137D_4338	2.68482916772782e-05	3.0723748126669e-05	1.66150726724057e-05	5.10188954871977e-05	2.57862165914548e-05	0	0	0	0	0	9.3588825172485e-06	0
CENPK1137D_1797	0	0	0	0	0	0	0	0	0	2.71081353267021e-06	1.44568103924977e-06	5.95934274756081e-06
CENPK1137D_3558	0	0	0	0	0	0	8.22210976291446e-06	0	0	5.77725359314122e-06	6.16203650888144e-06	1.27004804595293e-05
CENPK1137D_230	0.000368985021951394	0.000163450340033879	0.000187833396561546	0.000124401073496284	0.000160046450977629	0.000175233707768195	0.000132869293768698	8.61030792045957e-05	9.4984716896343e-05	0.000151710679355889	0.000124473137479405	0.00016675730843362
CENPK1137D_2120	0	9.91810315739559e-06	1.07272071137376e-05	1.82996577664436e-05	2.21978434088252e-05	2.36291407454416e-05	0	0	7.68484764533519e-06	1.1330147823442e-05	0	0
CENPK1137D_972	2.0174140073887e-05	1.73146546646059e-05	2.80907372724147e-05	4.79202902528058e-06	9.68804182673301e-06	0	1.40751370517688e-05	5.21205079930967e-06	1.00619403491889e-05	4.94493739751918e-06	0	0
CENPK1137D_3398	1.00870700369435e-05	1.15431031097372e-05	1.24847721210732e-05	1.43760870758417e-05	6.45869455115534e-06	1.44378054893757e-05	1.09473288180424e-05	1.04241015986193e-05	6.70796023279258e-06	4.94493739751918e-06	1.75809516213849e-06	0
CENPK1137D_982	0	0	0	8.16547906112791e-06	2.06351793421389e-05	0	0	0	8.57262787873132e-06	0	0	0
CENPK1137D_1490	2.94987426111359e-06	1.26587933731319e-06	2.73829574402721e-06	4.20415929355471e-06	2.83318199641758e-06	5.42855352441743e-06	0	0	1.47126265328908e-06	0	0	0
CENPK1137D_2068	1.18317521308085e-06	3.04641538333523e-06	2.19662491593435e-06	0	0	0	0	0	0	1.16004495607806e-06	1.23730752961635e-06	2.55019587755957e-06
