"genes","direction"
"YPR043W","down"
"YMR120C","down"
"YPL198W","down"
"YJL189W","down"
"YHL033C","down"
"YLR367W","down"
"YDR399W","down"
"YJL144W","up"
"YMR189W","down"
"YPL143W","down"
"YGL103W","down"
"YFL034C-A","down"
"YDR019C","down"
"YLR058C","down"
"YNL301C","down"
"YLR406C","down"
"YIL133C","down"
"YML116W","down"
"YBL098W","down"
"YEL054C","down"
"YIL117C","up"
"YDL227C","down"
"YDR171W","up"
"YIL069C","down"
"YBR067C","up"
"YFR032C-B","down"
"YER103W","up"
"YGL188C-A","down"
"YOL032W","up"
"YGR161C","up"
"YBR169C","up"
"YPL081W","down"
"YPL249C-A","down"
"YDR471W","down"
"YNR034W","up"
"YDR418W","down"
"YLR327C","up"
"YGL234W","down"
"YHR011W","down"
"YLR448W","down"
"YBL075C","up"
"YDR173C","up"
"YLR185W","down"
"YJR129C","down"
"YML073C","down"
"YMR119W-A","down"
"YER117W","down"
"YGR199W","down"
"YMR300C","down"
"YJR005C-A","up"
"YCR021C","up"
"YNL303W","down"
"YNR016C","down"
"YML063W","down"
"YDR127W","down"
"YKR075C","up"
"YKL006W","down"
"YKL180W","down"
"YGL028C","down"
"YLR305C","down"
"YAR015W","down"
"YER056C","down"
"YBR187W","down"
"YJL157C","down"
"YER056C-A","down"
"snR3","down"
"YGR191W","down"
"YAL044C","down"
"YOR234C","down"
"YDL083C","down"
"YLR029C","down"
"YGR294W","up"
"YHR010W","down"
"YGR023W","up"
"YKL182W","down"
"YOR128C","down"
"YFR031C-A","down"
"YBL078C","up"
"YNL096C","down"
"YNL162W","down"
"YDR522C","up"
"YNL067W","down"
"YBR189W","down"
"YKL156W","down"
"YPL231W","down"
"YEL038W","up"
"YJL191W","down"
"YPR158W","up"
"YPL092W","down"
"YGR142W","up"
"YIL122W","up"
"YOR301W","down"
"YMR194W","down"
"YNL178W","down"
"YOR355W","down"
"YOL039W","down"
"YBR133C","down"
"YMR116C","down"
"YJR116W","up"
"YBR072W","up"
"YBR181C","down"
"YER060W-A","down"
"YBR191W","down"
"YDR259C","up"
"YGR061C","down"
"YGR190C","down"
"YJL218W","up"
"YJR147W","down"
"YJR094W-A","down"
"YDR025W","down"
"YML026C","down"
"YLR359W","down"
"YDL075W","down"
"YPR061C","up"
"YOR096W","down"
"YGL126W","down"
"YKR080W","down"
"YDL214C","up"
"YPR151C","up"
"YGR249W","up"
"snR76","down"
"YOL120C","down"
"YGL222C","up"
"YDR064W","down"
"YEL017W","down"
"YGL135W","down"
"YER066C-A","up"
"YIL052C","down"
"YJL105W","up"
"YLR254C","up"
"YGL031C","down"
"YGR148C","down"
"YEL039C","up"
"YOR365C","up"
"YDR277C","up"
"YLR264C-A","down"
"YLR264W","down"
"YGR085C","down"
"YKL029C","down"
"YER045C","up"
"YJL136C","down"
"YOR182C","down"
"YGR169C","down"
"YHR032W","down"
"YNL077W","up"
"YGR091W","down"
"YER091C","down"
"YOR018W","up"
"YIL107C","up"
"YPL058C","up"
"YBR284W","up"
"YMR143W","down"
"YLR167W","down"
"YGL195W","down"
"YDR385W","down"
"YDR012W","down"
"YIL024C","up"
"YML024W","down"
"YGL236C","down"
"YPR002W","up"
"YBL092W","down"
"YIL011W","up"
"YGL030W","down"
"YLR333C","down"
"YBL086C","up"
"YDR313C","up"
"YHL001W","down"
"YBR084C-A","down"
"YGL123W","down"
"YLR344W","down"
"YER001W","down"
"YMR142C","down"
"YDR408C","down"
"YGL147C","down"
"YGL186C","down"
"YLR388W","down"
"YOL122C","down"
"YBL027W","down"
"YNL069C","down"
"YGR108W","down"
"YPR157W","up"
"YBR157C","up"
"YDL220C","down"
"YJR078W","down"
"YJL078C","down"
"YFR032C-A","down"
"YGL143C","down"
"YLR045C","down"
"YBL084C","up"
"YPL152W","up"
"YBR034C","down"
"YIL148W","down"
"YHR021C","down"
"YDL061C","down"
"YER069W","down"
"YMR321C","down"
"YLR397C","down"
"YHR141C","down"
"YBR230W-A","up"
