genes,direction
KMXK0D03410,up
KMXK0C07260,up
KMXK0F03310,up
KMXK0D02910,up
KMXK0B03310,down
KMXK0D01300,up
KMXK0H00910,down
KMXK0E04050,up
KMXK0C03100,up
KMXK0D04670,down
KMXK0D01520,up
KMXK0D02960,up
KMXK0E02690,up
KMXK0C06270,up
KMXK0H03280,down
KMXK0G03730,up
KMXK0F00530,up
KMXK0H03120,down
KMXK0E03710,up
KMXK0B04700,down
KMXK0F05620,up
KMXK0E00610,up
KMXK0D01720,down
KMXK0A04140,mixed
KMXK0D01260,down
KMXK0G02530,down
KMXK0C00370,down
KMXK0A05070,up
KMXK0F00540,up
KMXK0E00700,up
KMXK0E05350,down
KMXK0H03460,up
KMXK0F04540,down
KMXK0H04310,up
KMXK0A06440,down
KMXK0A06730,up
KMXK0C03420,down
KMXK0A02460,mixed
KMXK0B02360,down
KMXK0D06590,down
KMXK0A01100,up
KMXK0D04300,up
KMXK0A06560,up
KMXK0A08360,up
KMXK0B01120,down
KMXK0C05200,down
KMXK0G04240,down
KMXK0C07380,down
KMXK0E04700,down
KMXK0G00120,down
KMXK0B05890,up
KMXK0F00970,down
KMXK0C00390,up
KMXK0C00850,up
KMXK0D05590,mixed
KMXK0C03390,down
KMXK0G03270,up
KMXK0D01860,down
KMXK0B06020,down
KMXK0H02920,down
KMXK0A04840,mixed
KMXK0A01380,down
KMXK0F03920,up
KMXK0D05440,up
KMXK0C04390,up
KMXK0D03400,mixed
KMXK0E05410,up
KMXK0G03090,down
KMXK0C03160,up
KMXK0A01830,up
KMXK0D04010,up
KMXK0F04530,down
KMXK0A08290,down
KMXK0D01560,up
KMXK0C04430,up
KMXK0B04400,up
KMXK0D00130,mixed
KMXK0F05630,up
KMXK0E04790,up
KMXK0B02340,down
KMXK0A02950,down
KMXK0B08280,up
KMXK0G02800,up
KMXK0B02780,down
KMXK0B02770,down
KMXK0G00130,down
KMXK0E00250,down
KMXK0F03060,up
KMXK0H04290,down
KMXK0G03800,down
KMXK0C00200,up
KMXK0A00650,down
KMXK0E00270,up
KMXK0B05990,up
KMXK0H00120,up
KMXK0D02500,up
KMXK0B01990,down
KMXK0A03210,down
KMXK0E00880,up
KMXK0E06330,up
KMXK0G00390,down
KMXK0H03880,down
KMXK0A00970,up
KMXK0H01000,up
KMXK0F04730,up
KMXK0C04790,down
KMXK0C00950,down
KMXK0A01670,up
KMXK0H04430,down
KMXK0F02740,down
KMXK0A06250,mixed
KMXK0C00210,up
KMXK0F02790,down
KMXK0F04400,up
KMXK0A04470,down
KMXK0D00330,up
KMXK0A02310,up
KMXK0F03580,up
KMXK0E04600,up
KMXK0H03590,down
KMXK0F03150,down
KMXK0H00100,up
KMXK0B05340,up
KMXK0B00720,up
KMXK0A05080,up
KMXK0H00950,down
KMXK0E02060,down
KMXK0E04920,up
KMXK0H01060,up
KMXK0C04230,up
KMXK0D02940,up
KMXK0G00180,down
KMXK0B04960,down
KMXK0G00210,down
KMXK0F01440,mixed
KMXK0D00930,up
KMXK0F03540,up
KMXK0A07100,down
KMXK0C01510,down
KMXK0C03410,down
KMXK0H02880,down
KMXK0B03320,down
KMXK0H01010,up
KMXK0C06410,up
KMXK0E03420,mixed
KMXK0B06260,up
KMXK0B05620,up
KMXK0H02200,down
KMXK0B02560,down
KMXK0A03660,up
KMXK0C05990,mixed
KMXK0A08350,up
KMXK0F01910,mixed
KMXK0C07390,down
KMXK0D03630,mixed
KMXK0B04680,down
KMXK0E05830,down
KMXK0F04690,up
KMXK0A04650,up
KMXK0A06580,down
KMXK0B02070,down
KMXK0B02760,up
KMXK0D02680,up
KMXK0C03250,down
KMXK0F05820,up
KMXK0A07950,down
KMXK0A02180,down
KMXK0H03020,down
KMXK0B03110,up
KMXK0C01960,up
KMXK0H04280,down
KMXK0A04110,down
KMXK0A03680,down
KMXK0B06000,up
KMXK0H01830,up
KMXK0A00380,up
KMXK0F05840,up
KMXK0C00990,down
KMXK0B02000,down
KMXK0E03540,mixed
KMXK0D06540,up
KMXK0C07310,down
KMXK0F05590,up
KMXK0D00120,up
KMXK0F03530,up
KMXK0B03940,up
KMXK0D06600,up
KMXK0C04560,up
KMXK0F03750,mixed
KMXK0A05220,down
KMXK0A02920,up
KMXK0F02810,up
KMXK0A00370,up
KMXK0D00110,up
KMXK0H03130,down
KMXK0G01090,down
KMXK0A02930,up
KMXK0G02050,up
KMXK0C02180,up
KMXK0D05840,up
KMXK0D04920,up
KMXK0E01570,down
KMXK0A06630,up
KMXK0E06300,up
KMXK0B03290,up
KMXK0F02660,down
KMXK0D06610,down
KMXK0A06270,up
KMXK0C00560,up
KMXK0C03800,up
KMXK0D01390,mixed
KMXK0G01840,up
KMXK0F01560,up
KMXK0A00680,down
KMXK0E04650,up
KMXK0E03530,mixed
KMXK0H03800,mixed
KMXK0D00150,up
KMXK0D02670,up
KMXK0F00130,down
KMXK0F03890,up
KMXK0C00170,up
KMXK0G00720,up
KMXK0F01570,up
KMXK0C00230,down
KMXK0B00180,down
KMXK0E03750,up
KMXK0A04660,down
KMXK0E05850,down
KMXK0B00120,mixed
KMXK0C06080,up
KMXK0G01850,up
KMXK0E04580,up
KMXK0G00730,down
KMXK0H03780,down
KMXK0H04340,up
KMXK0D00170,up
KMXK0H02310,down
KMXK0E02590,down
KMXK0E03680,up
KMXK0E04590,down
KMXK0H03050,down
KMXK0G00930,down
KMXK0G04250,up
KMXK0B01110,down
KMXK0H00860,down
KMXK0C00790,up
KMXK0H04040,down
KMXK0A06760,up
KMXK0B08170,up
KMXK0D01050,up
KMXK0A03190,up
KMXK0H03090,down
KMXK0A00200,up
KMXK0F02400,down
KMXK0C07290,down
KMXK0E02790,down
KMXK0C02810,down
KMXK0A01850,down
KMXK0E05010,up
KMXK0A07740,down
KMXK0E06310,up
KMXK0C04630,up
KMXK0A01430,down
KMXK0C05760,down
KMXK0D02250,down
KMXK0G00230,down
KMXK0C06530,down
KMXK0C06160,up
KMXK0A07780,down
KMXK0C02480,down
KMXK0E03360,down
KMXK0D03110,up
KMXK0A00530,down
KMXK0D01780,down
KMXK0B01780,down
KMXK0F04480,down
KMXK0F00180,up
KMXK0F05010,down
KMXK0G01980,down
KMXK0C01550,up
KMXK0A05660,up
KMXK0B01680,down
KMXK0B07320,down
KMXK0E01380,down
KMXK0D02420,down
KMXK0E02630,down
KMXK0A05650,up
KMXK0G02070,down
KMXK0C06280,down
KMXK0D00630,down
KMXK0G00160,down
KMXK0B07880,down
KMXK0D00650,down
KMXK0F02610,up
KMXK0D03050,up
KMXK0A00810,down
KMXK0B07870,down
KMXK0D01040,up
KMXK0F05050,up
KMXK0D01060,down
KMXK0H03570,down
KMXK0D05930,up
KMXK0B02720,down
KMXK0B00170,down
KMXK0E00110,up
KMXK0C07370,down
KMXK0A01440,down
KMXK0E06320,up
KMXK0A08370,up
KMXK0D02710,up
KMXK0E03090,down
KMXK0A01860,down
KMXK0H01020,down
